Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Slotted/Unslotted","Size","Length","Thickness","Material","Plating"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S7874-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 2M,445,0,"7.32000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","78.740"" (2000.00mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S7874-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 2M,162,0,"8.08000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","78.740"" (2000.00mm)","0.059"" (1.50mm)","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1201730.pdf,//media.digikey.com/photos/Phoenix%20Photos/MFG_1201730.jpg,277-2297-ND,1201730,Phoenix Contact,DIN RAIL 35MMX15MM SLOTTED 2M,179,6702,"9.39000","0","1","-","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","78.740"" (2000.00mm)","0.059"" (1.50mm)","Steel","Galvanized"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/0514510000.pdf,//media.digikey.com/photos/Weidmuller/51451.jpg,281-1534-ND,0514510000,Weidmüller,DIN RAIL 35MMX7.5MM SLOTTED 1M,121,4750,"10.74000","0","1","-","Active","-","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","39.370"" (1000.00mm)","0.039"" (1.00mm)","Steel","Galvanized"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0807012.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0807012.jpg,277-2064-ND,0807012,Phoenix Contact,DIN RAIL 35MMX7.5MM SLOTTED 1M,1802,1075,"10.83000","0","1","362","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","39.370"" (1000.00mm)","0.039"" (1.00mm)","Steel","Galvanized"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437685-3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2TK2-48.jpg,A111892-ND,2TK2-48,TE Connectivity AMP Connectors,DIN RAIL 73.66MMX17.78MM SLOTTED,366,0,"18.18000","0","1","Buchanan","Active","C Section","Slotted","2.900"" W x 0.700"" H (73.66mm x 17.78mm)","48.000"" (1219.20mm)","-","Poly-Vinyl Chloride (PVC)","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0801733.pdf,//media.digikey.com/photos/Phoenix%20Photos/MFG_0801733.jpg,277-2293-ND,0801733,Phoenix Contact,DIN RAIL 35MMX7.5MM SLOTTED 2M,1100,19478,"19.38000","0","1","-","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","78.740"" (2000.00mm)","0.039"" (1.00mm)","Steel","Galvanized"
-,-,1920-1123-ND,CA601/S,Altech Corporation,DIN RAIL 15 X 5.5MM 1M,121,1500,"3.46000","0","1","-","Active","Top Hat","Slotted","0.591"" W x 0.217"" H (15.00mm x 5.50mm)","39.370"" (1000.00mm)","0.039"" (1.00mm)","Steel","Zinc"
-,-,1920-1122-ND,2511120/1M,Altech Corporation,DIN RAIL 35 X 7.5MM 1M,476,6220,"3.52000","0","1","-","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","39.370"" (1000.00mm)","0.039"" (1.00mm)","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1207658.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1207658.jpg,277-10191-ND,1207658,Phoenix Contact,DIN RAIL 35MMX15MM SLOTTED 1M,121,320,"5.17000","0","1","-","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","39.370"" (1000.00mm)","0.059"" (1.50mm)","Steel","Galvanized"
