Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Size / Dimension","Thickness","Density","Material","Material Flammability Rating","Color"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF45EG.jpg",EAR1025-ND,CF45EG 3MM A4,"3M - Aearo Technologies, LLC",CONFOR CF45EG 3.0MMT X A4,910,0,"2.23000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.118"" (3.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF47EG.jpg",EAR1031-ND,CF47EG 3MM A4,"3M - Aearo Technologies, LLC",CONFOR CF47EG 3.0MMT X A4,130,0,"2.23000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.118"" (3.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1278450O/e-a-r-confor-cfnt-egs-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CFNT-EGS-xxxxx.jpg",EAR1040-ND,CFNT-EGS 12MM,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 12 MMT X 5"" X 7"",119,0,"2.99000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.472"" (12.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42EG.jpg",EAR1011-ND,CF42EG 3MM A4,"3M - Aearo Technologies, LLC",CONFOR CF42EG 3.0MMT X A4,490,0,"2.23000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.118"" (3.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF40EG.jpg",EAR1005-ND,CF40EG 3MM A4,"3M - Aearo Technologies, LLC",CONFOR CF40EG 3.0MMT X A4,124,0,"2.23000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.118"" (3.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1278450O/e-a-r-confor-cfnt-egs-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CFNT-EGS-xxxxx.jpg",EAR1042-ND,CFNT-EGS 15MM,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 15 MMT X 5"" X 7"",103,0,"3.69000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.591"" (15.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1398-ND,CF42SC/PSA 1MM A4,"3M - Aearo Technologies, LLC",CF-42SC/PSA 1.0MM X A4,138,0,"5.49000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.039"" (1.00mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://www.taica.co.jp/wp-content/themes/taica/gel_en/imgs/catalog/pro_1702.pdf,-,1880-1109-ND,NP-GEL-WHITE,Taica North America Corporation,"SILICONE FOAM SHEET, T6.0 X 300",26,0,"174.53000","0","1","-","Active","39.37"" L x 11.81"" W x 0.24"" H (1000.0mm x 300.0mm x 6.0mm)","-","-","-","-","White"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1019-ND,CF42SC 1.2MM A4,"3M - Aearo Technologies, LLC",CONFOR CF42SC 1.2MMT X A4,100,0,"4.78000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.047"" (1.20mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF40EG.jpg",EAR1000-ND,CF40EG 1.5MM,"3M - Aearo Technologies, LLC",CONFOR CF40EG 1.5MMT X 5"" X 7"",392,0,"0.41000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF45EG.jpg",EAR1020-ND,CF45EG 1.5MM,"3M - Aearo Technologies, LLC",CONFOR CF45EG 1.5MMT X 5"" X 7"",359,0,"0.41000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF47EG.jpg",EAR1026-ND,CF47EG 1.5MM,"3M - Aearo Technologies, LLC",CONFOR CF47EG 1.5MMT X 5"" X 7"",358,0,"0.41000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42EG.jpg",EAR1006-ND,CF42EG 1.5MM,"3M - Aearo Technologies, LLC",CONFOR CF42EG 1.5MMT X 5"" X 7"",357,0,"0.41000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.059"" (1.50mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-47EG-0.125-SQUARE-PAD.jpg",EAR1312-ND,CF-47EG 0.125 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.125 SQUARE PAD,397,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-42EG-0.125-SQUARE-PAD.jpg",EAR1290-ND,CF-42EG 0.125 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-42EG 0.125 SQUARE PAD,395,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-47EG-0.125-DISK-PAD.jpg",EAR1310-ND,CF-47EG 0.125 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.125 DISK PAD,395,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-40EG-0.125-RING-PAD.jpg",EAR1279-ND,CF-40EG 0.125 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.125 RING PAD,390,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-42EG-0.125-DISK-PAD.jpg",EAR1288-ND,CF-42EG 0.125 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-42EG 0.125 DISK PAD,390,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-40EG-0.125-DISK-PAD.jpg",EAR1278-ND,CF-40EG 0.125 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.125 DISK PAD,385,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-45EG-0.125-DISK-PAD.jpg",EAR1300-ND,CF-45EG 0.125 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-45EG 0.125 DISK PAD,371,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CF-47EG-0.125-RING-PAD.jpg",EAR1311-ND,CF-47EG 0.125 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-47EG 0.125 RING PAD,300,0,"0.49000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Green"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF40EG.jpg",EAR1002-ND,CF40EG 2MM,"3M - Aearo Technologies, LLC",CONFOR CF40EG 2.0MMT X 5"" X 7"",308,0,"0.53000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42EG.jpg",EAR1008-ND,CF42EG 2MM,"3M - Aearo Technologies, LLC",CONFOR CF42EG 2.0MMT X 5"" X 7"",303,0,"0.53000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.079"" (2.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
