Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rotation Angle","Material","Plating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/12991x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_129912.jpg,RPC2430-ND,129912,Essentra Access Solutions,MINI LEAF HINGE 30X30 ZAMAK BLAC,102,0,"3.06000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/12991x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_129911.jpg,RPC2429-ND,129911,Essentra Access Solutions,MINI LEAF HINGE 30X29 ZAMAK CHRO,168,0,"3.06000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09130.jpg,RPC2380-ND,09130,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,111,0,"4.05000","0","1","-","Active","Side Hinge","180°","Brass","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09134.jpg,RPC2381-ND,09134,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,123,0,"4.72000","0","1","-","Active","Side Hinge","180°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_299203.jpg,RPC2537-ND,299203,Essentra Access Solutions,LEAF HINGE 40X40 POLYMER BLACK F,141,0,"5.10000","0","1","-","Active","Leaf Hinge","270°","Zamak","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/32003192_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_089.jpg,RPC2377-ND,089,Essentra Access Solutions,CONCEALED PIN HINGE STEEL ZN FIN,244,0,"5.29000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/389_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_389.jpg,RPC2295-ND,389,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,248,0,"6.14000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Concealed_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_289631002.jpg,RPC2525-ND,289631002,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,250,0,"6.38000","0","1","-","Active","Concealed Hinge","135°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Concealed_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_289631001.jpg,RPC2524-ND,289631001,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,246,0,"6.38000","0","1","-","Active","Concealed Hinge","135°","Steel","Zinc"
"//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39911x,39912x_DS.pdf",//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_399124.JPG,RPC2650-ND,399124,Essentra Access Solutions,LEAF HINGE 60X60 ZAMAK BLACK POW,120,0,"6.46000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/2x9920.JPG,RPC2497-ND,239920,Essentra Access Solutions,ADJUSTABLE TORQUE LEAF HINGE 38X,139,0,"6.66000","0","1","-","Active","Leaf Hinge","-","Polyamide","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09230(6,8)(90,180).jpg",RPC2382-ND,092306180,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,150,0,"6.70000","0","1","-","Active","Side Hinge","180°","Brass","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09230(6,8)(90,180).jpg",RPC2383-ND,09230690,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,150,0,"6.70000","0","1","-","Active","Side Hinge","90°","Brass","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09230(6,8)(90,180).jpg",RPC2384-ND,092308180,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,150,0,"6.70000","0","1","-","Active","Side Hinge","180°","Brass","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09230(6,8)(90,180).jpg",RPC2385-ND,09230890,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,146,0,"6.70000","0","1","-","Active","Side Hinge","90°","Brass","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Concealed_Hinge_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_28963200(1,2).jpg",RPC2526-ND,289632001,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,239,0,"8.24000","0","1","-","Active","Concealed Hinge","135°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Concealed_Hinge_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_28963200(1,2).jpg",RPC2527-ND,289632002,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,239,0,"8.24000","0","1","-","Active","Concealed Hinge","135°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_299111.jpg,RPC2529-ND,299111,Essentra Access Solutions,LEAF HINGE 40X40 ZAMAK CHROME FI,115,0,"8.26000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09231(6,8)(90,180).jpg",RPC2387-ND,09231690,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,150,0,"8.80000","0","1","-","Active","Side Hinge","90°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09231(6,8)(90,180).jpg",RPC2388-ND,092318180,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,150,0,"8.80000","0","1","-","Active","Side Hinge","180°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09231(6,8)(90,180).jpg",RPC2386-ND,092316180,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,148,0,"8.80000","0","1","-","Active","Side Hinge","180°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Flat_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_699121002.jpg,RPC2678-ND,699121002,Essentra Access Solutions,LIFT OFF HINGE LH 32.5X64 ZAMAK,105,0,"8.86000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Flat_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/699122002.JPG,RPC2680-ND,699122002,Essentra Access Solutions,LIFT OFF HINGE LH 50X64 ZAMAK BL,160,0,"9.04000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/32003192_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_32003192.jpg,RPC2296-ND,32003192,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,244,0,"1.43000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
https://www.essentraaccesssolutions.com/YuklenenDosyalar/UrunKataloglari/cf240858-58c9-44d2-b0b0-bbf6e5a56a38.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_19163.jpg,RPC2483-ND,19163,Essentra Access Solutions,SIDE MOUNTED HINGE STEEL ZN FINI,100,0,"3.34000","0","1","-","Active","Side Hinge","180°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/0903x_92306xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09030.jpg,RPC2378-ND,09030,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS NONE FI,100,0,"3.68000","0","1","-","Active","Side Hinge","180°","Brass","-"
