Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Material","Hole Diameter","Flange Diameter","Panel Thickness"
http://www.keyelco.com/product-pdf.cfm?p=2718,//media.digikey.com/Photos/Keystone%20Elect%20Photos/8601.JPG,36-8601-ND,8601,Keystone Electronics,PLUG HOLE NYLON .312"" DIA,18728,33500,"0.16000","0","1","-","Active","Body Plug","Black","Nylon","0.312"" (7.92mm) 5/16""","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16"""
http://www.keyelco.com/product-pdf.cfm?p=2717,//media.digikey.com/photos/Keystone%20Elect%20Photos/8600.JPG,36-8600-ND,8600,Keystone Electronics,PLUG HOLE NYLON .250"" DIA,8797,12900,"0.16000","0","1","-","Active","Body Plug","Black","Nylon","0.250"" (6.35mm) 1/4""","0.312"" (7.92mm)","0.062"" (1.57mm) 1/16"""
http://www.keyelco.com/product-pdf.cfm?p=2719,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_860x.jpg,36-8602-ND,8602,Keystone Electronics,PLUG HOLE NYLON .375"" DIA,3871,11300,"0.16000","0","1","-","Active","Body Plug","Black","Nylon","0.375"" (9.53mm) 3/8""","0.468"" (11.89mm)","0.125"" (3.18mm) 1/8"""
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC2034-ND,PGM-6,Essentra Components,GROMMET HOLE PLUG .248 - .256"",20813,0,"0.19000","0","1","M","Active","Body Plug","Black","Nylon","0.252"" (6.40mm)","0.299"" (7.59mm)","0.067"" (1.70mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC4608-ND,PGM-1,Essentra Components,HOLE PLUG RIGID BLACK .25"" HOLE,7917,0,"0.19000","0","1","M","Active","Body Plug","Black","Nylon","0.250"" (6.35mm) 1/4""","0.312"" (7.92mm)","0.062"" (1.57mm) 1/16"""
http://www.keyelco.com/product-pdf.cfm?p=2720,//media.digikey.com/photos/Keystone%20Elect%20Photos/8603.JPG,36-8603-ND,8603,Keystone Electronics,PLUG HOLE NYLON .500"" DIA,5137,17900,"0.19000","0","1","-","Active","Body Plug","Black","Nylon","0.500"" (12.70mm) 1/2""","0.578"" (14.68mm)","0.125"" (3.18mm) 1/8"""
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC3143-ND,PGM-2,Essentra Components,HOLE PLUG RIGID BLACK .312"" HOLE,3298,0,"0.20000","0","1","M","Active","Body Plug","Black","Nylon","0.312"" (7.92mm) 5/16""","0.375"" (9.53mm) 3/8""","0.062"" (1.57mm) 1/16"""
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC3151-ND,PGM-7,Essentra Components,HOLE PLUG RIGID .276-.280"" HOLE,13617,0,"0.21000","0","1","M","Active","Body Plug","Black","Nylon","0.278"" (7.06mm)","0.433"" (11.00mm)","0.063"" (1.60mm)"
http://www.keyelco.com/product-pdf.cfm?p=2721,//media.digikey.com/Photos/Keystone%20Elect%20Photos/8604.jpg,36-8604-ND,8604,Keystone Electronics,PLUG HOLE NYLON .625"" DIA,1141,1300,"0.21000","0","1","-","Active","Body Plug","Black","Nylon","0.625"" (15.88mm) 5/8""","0.734"" (18.64mm)","0.125"" (3.18mm) 1/8"""
http://www.essentracomponents.com.sg/images-line/pdfs/PGM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20109.jpg,RPC1587-ND,PGM-3,Essentra Components,HOLE PLUG RIGID BLACK .468"" HOLE,14162,0,"0.22000","0","1","M","Active","Body Plug","Black","Nylon","0.468"" (11.89mm)","0.531"" (13.49mm)","0.062"" (1.57mm) 1/16"""
http://www.essentracomponents.com/wcsstore7.00.00.1079/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/26795.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20155.jpg,RPC3521-ND,BP-16230,Essentra Components,BODY PLUG .39"" HOLE SIZE,3733,0,"0.22000","0","1","BP","Active","Body Plug","Black","Thermoplastic Elastomer","0.394"" (10.00mm)","0.760"" (19.30mm)","0.031"" ~ 0.079"" (0.79mm ~ 2.00mm)"
