Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Type","Shaft Size","Diameter","Height","Indicator","Material","Color","Features"
"//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/Control_Knobs,Molded_Phenolic.pdf",//media.digikey.com/Photos/APEM%20Comp%20Photos/MPKES90B14.JPG,679-3545-ND,MPKES90B14,APEM Inc.,KNOB FLUTED W/SKIRT 0.250"" PLAST,3309,0,"2.13000","0","1","MPKES","Active","Cylindrical with Skirt","Fluted","0.250"" (6.35mm)","0.890"" (22.60mm), 1.000"" (25.40mm) Skirt","0.570"" (14.48mm)","Line on Side and Skirt","Plastic","Black","6-32 Set Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=4-1437624-6&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/PKES60B1^4.JPG,450-1736-ND,PKES60B1/4,TE Connectivity ALCOSWITCH Switches,KNOB FLUTED W/SKIRT 0.250"" PLAST,1977,0,"2.44000","0","1","PKES","Active","Cylindrical with Skirt","Fluted","0.250"" (6.35mm)","0.618"" (15.70mm), 0.748"" (19.00mm) Skirt","0.470"" (11.94mm)","Line on Side and Skirt","Plastic","Black","6-32 Set Screw"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/P%20Series.pdf,//media.digikey.com/photos/Tyco%20Photos/PKB90B1^4.JPG,450-1730-ND,PKB90B1/4,TE Connectivity ALCOSWITCH Switches,KNOB FLUTED W/SKIRT 0.250"" PLAST,1100,0,"4.09000","0","1","PKB","Active","Cylindrical with Skirt","Fluted","0.250"" (6.35mm)","1.020"" (25.80mm), 1.500"" (38.10mm) Skirt","0.820"" (20.83mm)","Line on Skirt","Plastic","Black","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-50%20BLK.jpg,226-4092-ND,OEJL-50-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,1008,0,"6.44000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.236"" (6.00mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-50%20BLK.jpg,226-4088-ND,OEJL-50-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,914,0,"6.44000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-63%20BLK.jpg,226-4089-ND,OEJL-63-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,915,0,"6.53000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.625"" (15.88mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-75%20BLK.jpg,226-4094-ND,OEJL-75-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,812,0,"6.55000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.236"" (6.00mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
http://www.keyelco.com/product-pdf.cfm?p=1627,//media.digikey.com/photos/Keystone%20Elect%20Photos/8555.jpg,36-8555-ND,8555,Keystone Electronics,KNOB KNURLED 0.250"" PLAST,894,0,"6.88000","0","1","-","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.700"" (17.78mm)","0.780"" (19.80mm)","Line on Top","Plastic","Black","M3 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-75%20BLK.jpg,226-4011-ND,JD-75-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,1775,0,"8.24000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-90%20BLK.jpg,226-4012-ND,JD-90-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,1010,0,"8.30000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
