Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size / Dimension"
-,//media.digikey.com/Photos/IXYS%20Photos/ZY180L350.jpg,ZY180L350-ND,ZY180L350,IXYS,X SERIES KEY PLUG W/WIRE 350MM,0,0,"2.08000","0","1","-","Active","Keyed Gate Cathode Twin Plugs","-","-"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/851-00.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_851-00.jpg,851-00PV-ND,851-00,Panavise,KNUCKLE W/MALE & FEMALE 1/4- 20,123,0,"15.99000","0","1","-","Active","Knuckle","Black","2.50"" H (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/727-04.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_727-04.jpg,727-04PV-ND,727-04,Panavise,SLIMLINE 4"" RISE KNOB SET SCREW,228,0,"24.99000","0","1","-","Active","Mount","Black","4.00"" H (101.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/V-CLIPS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/V-1030.JPG,RPC2144-ND,V-1028,Essentra Components,CLIP SCREW MNT BLACK 1.75"" DIA,355,0,"6.01000","0","1","-","Active","Clips","Black","1.75"" Dia x 1.75"" H (44.4mm x 44.4mm)"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/727-06.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_727-06.jpg,727-06PV-ND,727-06,Panavise,SLIMLINE 6"" RISE KNOB SET SM FT,384,0,"29.99000","0","1","-","Active","Mount","Black","6.00"" H (152.4mm)"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/809-AMP.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_809-AMP.jpg,809-AMPPV-ND,809-AMP,Panavise,WINDOW MNT W/AMPS PLATE,121,0,"29.99000","0","1","-","Active","Mount","Black","4.50"" H (114.3mm)"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/797-14.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_797-14.jpg,797-14PV-ND,797-14,Panavise,UNI-FLEX MNT 14"" RISE-KNOB & SET,340,0,"36.99000","0","1","-","Active","Mount","Black","14.00"" H (355.6mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437837-1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-1437837-1.jpg,A128513-ND,2-1437837-1,TE Connectivity AMP Connectors,"104684=RR LAMP RETAINER, NAT",4000,0,"0.30000","0","1","-","Active","Retaining Clip","Natural","-"
https://cadlinks.rafhdwe.com/dk2d/M0400-ss/,//media.digikey.com/Photos/RAF%20Electronic%20Hardware/M0400-SS.jpg,1772-3188-ND,M0400-SS,RAF Electronic Hardware,CAPTIVE SCREW SPRING.....,4995,8500,"0.36000","0","1","*","Active","-","-","-"
https://cadlinks.rafhdwe.com/dk2d/M0401-ss/,-,1772-3960-ND,M0401-SS,RAF Electronic Hardware,STAINLESS STEEL SPRING,2500,4358,"0.43000","0","1","*","Active","-","-","-"
