Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Thread/Screw/Hole Size","Material"
http://www.keyelco.com/product-pdf.cfm?p=2502,//media.digikey.com/photos/Keystone%20Elect%20Photos/612.jpg,36-612-ND,612,Keystone Electronics,BRACKET RT ANG MOUNT 4-40 STEEL,40536,68100,"0.28000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.130"" (3.30mm), 4-40","Steel, Zinc Plated"
http://www.keyelco.com/product-pdf.cfm?p=2506,//media.digikey.com/photos/Keystone%20Elect%20Photos/621.jpg,36-621-ND,621,Keystone Electronics,BRACKET RT ANG MOUNT 4-40 STEEL,62042,4700,"0.36000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","#4-40 (2)","Steel, Zinc Plated"
http://www.keyelco.com/product-pdf.cfm?p=2504,//media.digikey.com/photos/Keystone%20Elect%20Photos/616.jpg,36-616-ND,616,Keystone Electronics,BRACKET RT ANG MOUNT 4-40 BRASS,19368,33600,"0.54000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.136"" (3.45mm), 4-40","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2509,//media.digikey.com/photos/Keystone%20Elect%20Photos/634.jpg,36-634-ND,634,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 BRASS,15908,18100,"0.57000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.140"" (3.56mm), 6-32","Brass, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2510,//media.digikey.com/photos/Keystone%20Elect%20Photos/708.jpg,36-708-ND,708,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 STEEL,7094,8600,"0.95000","0","1","-","Active","Bracket, Threaded Hole(s)","Tall L","0.130"" (3.30mm) (2), 6-32","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2520,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_633.jpg,36-633-ND,633,Keystone Electronics,BRACKET MOUNTING UNIVERSAL .375"",8371,32000,"0.22000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.140"" (3.56mm) (2)","Brass, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2515,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_615.jpg,36-615-ND,615,Keystone Electronics,BRACKET UNIVERSAL .420X.343"" BRS,7996,83500,"0.27000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.144"" (3.66mm), 0.128"" (3.25mm)","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2532,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4337.jpg,36-4337-ND,4337,Keystone Electronics,BRACKET MOUNTING .187""HOLE ALUM,6379,26400,"0.30000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.196"" (4.98mm), Oval 0.203"" L x 0.196"" W (5.16mm x 4.98mm)","Aluminum"
http://www.keyelco.com/product-pdf.cfm?p=2503,//media.digikey.com/photos/Keystone%20Elect%20Photos/614.jpg,36-614-ND,614,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 BRASS,77860,46600,"0.32000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.144"" (3.66mm), 6-32","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2501,//media.digikey.com/photos/Keystone%20Elect%20Photos/KEYSTONE%20ELECTRONICS-611.jpg,36-611-ND,611,Keystone Electronics,BRACKET RT ANG MOUNT 8-32 BRASS,6468,29200,"0.35000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.135"" (3.43mm), 8-32","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2530,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4335.jpg,36-4335-ND,4335,Keystone Electronics,BRACKET UNIVERSAL CLEAR HOLE,2578,7500,"0.43000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.120"" (3.05mm) (2)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2531,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4336.jpg,36-4336-ND,4336,Keystone Electronics,BRACKET UNIVERSAL CLEAR HOLE,2264,6100,"0.43000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.144"" (3.66mm) (2)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2514,//media.digikey.com/photos/Keystone%20Elect%20Photos/613.JPG,36-613-ND,613,Keystone Electronics,BRACKET UNIVERSAL .390X.453"" BRS,20689,37300,"0.44000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.147"" (3.73mm), 0.128"" (3.25mm)","Brass, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2513,//media.digikey.com/photos/Keystone%20Elect%20Photos/4334.jpg,36-4334-ND,4334,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 STEEL,9322,37600,"0.45000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","#6-32 (2)","Steel, Nickel Plated"
https://www.parallax.com/sites/default/files/downloads/720-00011-L-Shaped-Mounting-Bracket-Dimensions.pdf,//media.digikey.com/Photos/Parallax%20Photos/720-00011.JPG,720-00011-ND,720-00011,Parallax Inc.,BRACKET UNIV L ALUMINUM,1843,0,"0.50000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","-","Aluminum"
http://www.keyelco.com/product-pdf.cfm?p=2521,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1556.jpg,36-1556-ND,1556,Keystone Electronics,BRACKET BOARD L 1 5/8""L STEEL,1139,21300,"0.51000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2507,//media.digikey.com/photos/Keystone%20Elect%20Photos/631.jpg,36-631-ND,631,Keystone Electronics,BRACKET RT ANG MOUNT 8-32 STEEL,3399,30200,"0.52000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.136"" (3.45mm) (2), 8-32","Steel, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2516,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_618.jpg,36-618-ND,618,Keystone Electronics,BRACKET UNIVERSAL .628X.628"" BRS,4421,47900,"0.53000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Short L","0.169"" (4.29mm) (2)","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2505,//media.digikey.com/photos/Keystone%20Elect%20Photos/617.jpg,36-617-ND,617,Keystone Electronics,BRACKET RT ANG MOUNT 6-32 STEEL,8480,35400,"0.54000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","0.165"" (4.19mm), 6-32","Steel, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=2523,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1570.jpg,36-1570-ND,1570,Keystone Electronics,BRACKET BOARD L STEEL 1 3/16""L,1294,0,"0.55000","0","1","-","Active","Bracket, Non-Threaded Hole(s)","Tall L","0.156"" (3.96mm) (2), Oval 0.218"" L x 0.156"" W (5.54 x 3.96mm)","Steel, Nickel Plated"
http://www.keyelco.com/product-pdf.cfm?p=2508,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_632.jpg,36-632-ND,632,Keystone Electronics,GROUND TAB MTG BRCKT,6490,23900,"0.57000","0","1","-","Active","Bracket, Threaded Hole(s)","Short L","#6-32","Brass"
