Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Length","Width","Diameter","Mounting Type","Features","Material","Color"
http://multimedia.3m.com/mws/media/82990O/dual-locktm-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3463.JPG,SJ3463-ND,SJ-3463,3M,DUAL LOCK FASTENER 20.6MM DIA,25569,0,"0.71000","0","1","Dual Lock™  SJ3463","Active","Interlocking Stems","Circular","-","-","0.811"" (20.60mm)","Screw Mount","400 Stem Density","Polyolefin (PO)","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3526N%20(BLACK)%201.jpg,SJ352758B-50-ND,SJ-3527N (BLACK) 5/8"",3M,LOOP PRESS BACK 5/8"" X 50YD BLK,38,0,"156.57000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","0.625"" (15.88mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3550%20(BLACK)%201^.JPG,SJ355010-50-ND,SJ-3550 (BLACK) 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 250,45,0,"413.48000","0","1","Dual Lock™  SJ3550","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density","Polyolefin (PO)","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/Photos/3M%20Photos/SJ-3551%201%5E.JPG,SJ355110-50-ND,SJ-3551 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 400,27,0,"423.82000","0","1","Dual Lock™  SJ3551","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","400 Stem Density","Polyolefin (PO)","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3550%20(BLACK)%201^2^.JPG,SJ355012-100-ND,SJ-3550 (BLACK) 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,32,0,"248.14000","0","2","Dual Lock™  SJ3550","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Acrylic","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/187249O/dual-lock-reclosable-fasteners-sj3560-sj3561-sj3562-data-page.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3560(CLEAR)%201^2^.JPG,SJ356012-100-ND,SJ-3560 (CLEAR) 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL CLR,62,0,"285.02000","0","2","Dual Lock™  SJ3560","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Acrylic","250 Stem Density, UV Resistant","Polyolefin (PO)","Clear"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Dual%20Lock%20Selection%20Guide.pdf,//media.digikey.com/photos/3M%20Photos/sj3252.JPG,SJ3252-ND,SJ3252,3M,DUAL LOCK FASTENER 38.1MM SQ,2828,0,"1.06000","0","1","Dual Lock™  SJ3252","Active","Interlocking Stems","Square","1.500"" (38.10mm)","1.500"" (38.10mm)","-","Screw Mount","400 Stem Density","Polyolefin (PO)","Black"
https://multimedia.3m.com/mws/media/1174470O/3m-recloslable-fastener-brochure-hr.pdf,-,3M157663-ND,SJ4580 CLR 1""X50YD,3M,DUAL LOCK RECLOSABLE FASTENER SJ,94,0,"203.10000","0","1","-","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive, Acrylic","705 Stem Density","Polypropylene","Clear"
http://multimedia.3m.com/mws/media/100236O/mini-packs-data-sheets.pdf,//media.digikey.com/photos/3M%20Photos/MP-3526^27%20BLACK.jpg,MP-3526/27B-ND,MP-3526/27N-BLACK,3M,HOOK&LOOP 1""X4.9YD BLK ADHESIVE,40,0,"72.07000","0","1","Scotchmate™","Active","Hook and Loop","-","14.70' (4.48m)","1.000"" (25.40mm)","-","Adhesive","-","Polyamide (PA66), Nylon 6/6","Black"
http://multimedia.3m.com/mws/media/142923O/scotchmate-hook-loop-dual-lock-reclosable-fasteners.PDF,//media.digikey.com/photos/3M%20Photos/MP-3551^52%20BLACK.jpg,MP-3551/52B-ND,MP-3551/52 BLACK,3M,DUAL LOCK 1""X4.9YD BLK,11,0,"147.27000","0","1","Dual Lock™  MP3551","Active","Interlocking Stems","-","14.70' (4.48m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","170/400 Stem Density","Polyolefin (PO)","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3526N%20(BLACK)%201.jpg,SJ352658B-50-ND,SJ-3526N (BLACK) 5/8"",3M,HOOK PRESS BACK 5/8"" X 50YD BLK,7,0,"156.57000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","0.625"" (15.88mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3527N%20(BLACK)%201.jpg,SJ352710B-50-ND,SJ-3527N (BLACK) 1"",3M,LOOP PRESS BACK 1"" X 50YD BLACK,18,0,"172.79000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3526N%20(BLACK)%201.jpg,SJ352610B-50-ND,SJ-3526N (BLACK) 1"",3M,HOOK PRESS BACK 1"" X 50YD BLACK,16,0,"172.79000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/Photos/3M%20Photos/SJ-3542%20(BLACK)%2012%5E.JPG,SJ354212-100-ND,SJ-3542 (BLACK) 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,18,0,"178.66500","0","2","Dual Lock™  SJ3542","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Rubber","170 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3540%20(BLACK)%201^2^.JPG,SJ354012-100-ND,SJ-3540 (BLACK) 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,2,0,"178.66500","0","2","Dual Lock™  SJ3540","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3540%20(BLACK)%201^.JPG,SJ354010-50-ND,SJ-3540 (BLACK) 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 250,13,0,"297.69000","0","1","Dual Lock™  SJ3540","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3542%20(BLACK)%201^.JPG,SJ354210-50-ND,SJ-3542 (BLACK) 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 170,14,0,"297.69000","0","1","Dual Lock™  SJ3542","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","170 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3541%20(BLACK)1^.JPG,SJ354110-50-ND,SJ-3541 (BLACK) 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 400,8,0,"297.69000","0","1","Dual Lock™  SJ3541","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","400 Stem Density","Polyolefin (PO)","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/Photos/3M%20Photos/SJ-3552%201%5E.JPG,SJ355210-50-ND,SJ-3552 1"",3M,DUAL LOCK PRESS 1""X50YD BLK 170,10,0,"423.82000","0","1","Dual Lock™  SJ3552","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","170 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/187249O/dual-lock-reclosable-fasteners-sj3560-sj3561-sj3562-data-page.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3560%20(CLEAR)%201.jpg,SJ356010-50-ND,SJ-3560 (CLEAR) 1"",3M,DUAL LOCK 1""X50YD CLR 250,12,0,"475.02000","0","1","Dual Lock™  SJ3560","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density, UV Resistant","Polyolefin (PO)","Clear"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF4711.jpg,3M156896-ND,RF4711,3M,SCOTCH GENERAL PURPOSE FASTENERS,59,0,"3.75000","0","1","Scotch™","Active","Hook and Loop","-","18.000"" (457.20mm)","0.750"" (19.05mm)","-","Adhesive","-","-","Black"
"//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/TB3571,TB3572_Ds.pdf",//media.digikey.com/Photos/3M%20Photos/MFG_TB3571TB3572.jpg,3M157554-ND,TB3571/TB3572,3M,FASTENER TB3571/TB3572 HOOK/LOOP,23,0,"24.16000","0","1","-","Active","Hook and Loop","-","10.00' (3.05m)","1.000"" (25.40mm)","-","Adhesive, Acrylic","-","Nylon","Black"
http://multimedia.3m.com/mws/media/142923O/scotchmate-hook-loop-dual-lock-reclosable-fasteners.PDF,//media.digikey.com/photos/3M%20Photos/MP-3541^42%20BLACK.jpg,MP-3541/42B-ND,MP-3541/42 BLACK,3M,DUAL LOCK 1""X4.9YD BLK ADHESIVE,1,0,"106.29000","0","1","Dual Lock™  MP3541/MP3542","Active","Interlocking Stems","-","14.70' (4.48m)","1.000"" (25.40mm)","-","Adhesive - Rubber","170/400 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/142919O/dual-lock-low-profile-reclosable-fastener-sj4570-sj4575.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_dual%20lock%20recloseable%20fastener.jpg,3M162227-ND,SJ4570-1""X50YD-CLEAR,3M,CLEAR LOW PROFILE FASTENERS,23,0,"163.35000","0","1","Dual Lock™  SJ4570","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","-","Polypropylene (PP)","Clear"
http://multimedia.3m.com/mws/media/142919O/dual-lock-low-profile-reclosable-fastener-sj4570-sj4575.pdf,//media.digikey.com/Photos/3M%20Photos/SJ4575-1'XxxYD.jpg,SJ457510B-50-ND,SJ4575 1""X50YD,3M,RECLOS FASTEN DL LOC 1""X50YD BLK,18,0,"164.94000","0","1","Dual Lock™  SJ4575","Active","Interlocking Stems","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","-","Polypropylene (PP)","Black"
