Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rivet Diameter","Rivet Length","Head Diameter","Head Height","Hole Diameter","Grip Range","Features","Color","Material"
http://www.keyelco.com/product-pdf.cfm?p=8632,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-23-ND,23,Keystone Electronics,EYELET 0.093"" BRASS TIN PLATED,61065,157800,"0.10000","0","1","-","Active","Eyelets","0.059"" (1.50mm)","0.093"" (2.36mm)","0.105"" (2.67mm)","-","0.062"" (1.57mm) 1/16""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8638,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-34-ND,34,Keystone Electronics,EYELET 0.125"" BRASS TIN PLATED,56964,82900,"0.10000","0","1","-","Active","Eyelets","0.089"" (2.26mm)","0.125"" (3.18mm) 1/8""","0.150"" (3.81mm)","-","0.093"" (2.36mm)","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8637,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-33-ND,33,Keystone Electronics,EYELET 0.093"" BRASS TIN PLATED,32264,63000,"0.10000","0","1","-","Active","Eyelets","0.089"" (2.26mm)","0.093"" (2.36mm)","0.150"" (3.81mm)","-","0.093"" (2.36mm)","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8633,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-24-ND,24,Keystone Electronics,EYELET 0.125"" BRASS TIN PLATED,29703,35200,"0.10000","0","1","-","Active","Eyelets","0.059"" (1.50mm)","0.125"" (3.18mm) 1/8""","0.105"" (2.67mm)","-","0.062"" (1.57mm) 1/16""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=5212,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-22-ND,22,Keystone Electronics,EYELET 0.062"" BRASS TIN PLATED,16770,55300,"0.10000","0","1","-","Active","Eyelets","0.059"" (1.50mm)","0.062"" (1.57mm) 1/16""","0.105"" (2.67mm)","-","0.062"" (1.57mm) 1/16""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8639,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-35-ND,35,Keystone Electronics,EYELET 0.156"" BRASS TIN PLATED,7256,36000,"0.10000","0","1","-","Active","Eyelets","0.089"" (2.26mm)","0.156"" (3.96mm)","0.150"" (3.81mm)","-","0.093"" (2.36mm)","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8640,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-36-ND,36,Keystone Electronics,EYELET 0.187"" BRASS TIN PLATED,2005,107100,"0.10000","0","1","-","Active","Eyelets","0.089"" (2.26mm)","0.187"" (4.75mm) 3/16""","0.150"" (3.81mm)","-","0.093"" (2.36mm)","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8644,//media.digikey.com/photos/Keystone%20Elect%20Photos/45.jpg,36-45-ND,45,Keystone Electronics,EYELET 0.156"" BRASS TIN PLATED,86059,49000,"0.11000","0","1","-","Active","Eyelets","0.121"" (3.07mm)","0.156"" (3.96mm)","0.200"" (5.08mm)","-","0.125"" (3.18mm) 1/8""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8643,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-44-ND,44,Keystone Electronics,EYELET 0.125"" BRASS TIN PLATED,53069,71700,"0.11000","0","1","-","Active","Eyelets","0.121"" (3.07mm)","0.125"" (3.18mm) 1/8""","0.200"" (5.08mm)","-","0.125"" (3.18mm) 1/8""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8645,//media.digikey.com/Photos/Keystone%20Elect%20Photos/46.jpg,36-46-ND,46,Keystone Electronics,EYELET 0.187"" BRASS TIN PLATED,8855,45000,"0.11000","0","1","-","Active","Eyelets","0.121"" (3.07mm)","0.187"" (4.75mm) 3/16""","0.200"" (5.08mm)","-","0.125"" (3.18mm) 1/8""","-","Requires Installation Tool","-","Brass, Tin Plated"
