Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Screw Size","Head Diameter","Mounting Hole Diameter","Head Height","Material","Color"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-1.jpg",EAR1114-ND,G-410-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,76458,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-1.jpg",EAR1120-ND,G-411-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,7733,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","0.323"" (8.20mm)","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252519O/e-a-r-p-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-410.jpg",EAR1216-ND,P-410-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,7818,0,"0.26000","0","1","ISODAMP™ C-1000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1391554O/e-a-r-b-531-x-bushing-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/B-531-1.jpg",EAR1330-ND,B-531-1,"3M - Aearo Technologies, LLC",B-531-C1002 BUSHING,53596,0,"0.32000","0","1","ISODAMP™ C-1000","Active","-","0.500"" (12.70mm) 1/2""","0.360"" (9.14mm)","0.055"" (1.40mm)","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252187O/e-a-r-g-402-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-402.jpg",EAR1099-ND,G-402-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,19255,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252177O/e-a-r-g-462-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-462.jpg",EAR1158-ND,G-462-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,8957,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","-","-","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252512O/e-a-r-g-504-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-504.jpg",EAR1177-ND,G-504-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,5239,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.438"" (11.13mm) 7/16""","0.309"" (7.85mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252174O/e-a-r-g-503-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-503.jpg",EAR1172-ND,G-503-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,3581,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.385"" (9.78mm)","0.244"" (6.20mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-V2xxx.jpg",EAR1245-ND,G-410-V2525,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,2116,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-C8002.jpg",EAR1118-ND,G-410-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,2290,0,"0.35000","0","1","ISODAMP™ C-8000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Blue"
http://www.keyelco.com/product-pdf.cfm?p=1943,//media.digikey.com/Photos/Keystone%20Elect%20Photos/766.jpg,36-766-ND,766,Keystone Electronics,ANTI-VIBRATE GROMMET,5616,0,"0.95000","0","1","-","Active","#6-32","0.378"" (9.60mm)","0.250"" (6.35mm) 1/4""","-","Rubber","Blue"
http://www.keyelco.com/product-pdf.cfm?p=1945,//media.digikey.com/Photos/Keystone%20Elect%20Photos/768.jpg,36-768-ND,768,Keystone Electronics,ANTI-VIBRATE GROMMET,3920,2700,"0.95000","0","1","-","Active","M3","0.378"" (9.60mm)","0.250"" (6.35mm) 1/4""","-","Rubber","Blue"
http://www.keyelco.com/product-pdf.cfm?p=1942,//media.digikey.com/Photos/Keystone%20Elect%20Photos/765.jpg,36-765-ND,765,Keystone Electronics,ANTI-VIBRATE GROMMET,1587,2000,"0.95000","0","1","-","Active","#6-32","0.378"" (9.60mm)","0.250"" (6.35mm) 1/4""","-","Rubber","Black"
http://www.keyelco.com/product-pdf.cfm?p=1944,//media.digikey.com/Photos/Keystone%20Elect%20Photos/767.jpg,36-767-ND,767,Keystone Electronics,ANTI-VIBRATE GROMMET,1533,2600,"0.95000","0","1","-","Active","M3","0.378"" (9.60mm)","0.250"" (6.35mm) 1/4""","-","Rubber","Black"
http://multimedia.3m.com/mws/media/1252519O/e-a-r-p-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-410.jpg",EAR1218-ND,P-410-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,4737,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252517O/e-a-r-p-415-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-415-C8002.jpg",EAR1226-ND,P-415-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1955,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252518O/e-a-r-p-411-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-411.jpg",EAR1222-ND,P-411-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1910,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252518O/e-a-r-p-411-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-411-C8012.jpg",EAR1223-ND,P-411-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1867,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252519O/e-a-r-p-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-410-C8012.jpg",EAR1219-ND,P-410-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1864,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252517O/e-a-r-p-415-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-415.jpg",EAR1227-ND,P-415-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1837,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-V2xxx.jpg",EAR1247-ND,G-410-V2599,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL NAT,45622,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Natural"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-V2xxx.jpg",EAR1253-ND,G-411-V2325,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,19655,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
