Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Screw Head Type","Drive Type","Features","Thread Size","Head Diameter","Head Height","Length - Below Head","Length - Overall","Material","Plating"
http://www.keyelco.com/product-pdf.cfm?p=286,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_99xy.jpg,36-9900-ND,9900,Keystone Electronics,MACHINE SCREW PAN PHILLIPS 4-40,102968,82600,"0.10000","0","1","-","Active","Machine Screw","Pan Head","Phillips","-","#4-40","-","0.065"" (1.65mm)","0.250"" (6.35mm) 1/4""","0.315"" (8.00mm)","Stainless Steel","-"
http://multimedia.3m.com/mws/media/1252522O/e-a-r-sb-41xx-shoulder-bolt-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_SB-4102.jpg",EAR1236-ND,SB-4102,"3M - Aearo Technologies, LLC",SHOULDER SCREW PHILLIPS #6-32,25920,0,"0.29000","0","1","-","Active","Shoulder Screw","-","Phillips","-","#6-32","0.350"" (8.89mm)","0.100"" (2.54mm)","0.400"" (10.16mm)","0.500"" (12.70mm) 1/2""","Steel","Zinc"
http://multimedia.3m.com/mws/media/1252522O/e-a-r-sb-41xx-shoulder-bolt-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_SB-4105.jpg",EAR1237-ND,SB-4105,"3M - Aearo Technologies, LLC",SHOULDER SCREW PHILLIPS M3X0.5,10475,0,"0.29000","0","1","-","Active","Shoulder Screw","-","Phillips","-","M3x0.5","0.350"" (8.89mm)","0.100"" (2.54mm)","0.340"" (8.64mm)","0.440"" (11.18mm)","Steel","Zinc"
http://www.keyelco.com/product-pdf.cfm?p=4569,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_2930x.jpg,36-29301-ND,29301,Keystone Electronics,MACH SCREW PAN SLOTTED M2.5X0.45,15947,9400,"0.38000","0","1","-","Active","Machine Screw","Pan Head","Slotted","-","M2.5x0.45","0.189"" (4.80mm)","0.055"" (1.40mm)","0.236"" (6.00mm)","0.291"" (7.40mm)","Steel","Zinc, Clear Chromate"
http://keyelco.com/product-pdf.cfm?p=13989,//media.digikey.com/Photos/Keystone%20Elect%20Photos/29300.jpg,36-29300-ND,29300,Keystone Electronics,MACH SCREW PAN SLOTTED M2.5X0.45,7291,0,"0.38000","0","1","-","Active","Machine Screw","Pan Head","Slotted","-","M2.5x0.45","0.189"" (4.80mm)","0.055"" (1.40mm)","0.157"" (4.00mm)","-","Steel","Zinc, Clear Chromate"
-,//media.digikey.com/Photos/APM%20Hexseal%20Photos/RM3X6MM-2701.jpg,335-1156-ND,RM3X6MM 2701,APM Hexseal,MACH SCREW PAN HEAD PHILLIPS M3,14144,0,"0.56000","0","1","SEELSKREW®","Active","Machine Screw","Pan Head","Phillips","Self Sealing","M3","-","0.094"" (2.40mm)","0.236"" (6.00mm)","0.342"" (8.69mm)","Stainless Steel","-"
-,//media.digikey.com/Photos/APM%20Hexseal%20Photos/RM3X4MM%202701.JPG,335-1150-ND,RM3X4MM 2701,APM Hexseal,MACH SCREW PAN HEAD PHILLIPS M3,6509,0,"0.56000","0","1","SEELSKREW®","Active","Machine Screw","Pan Head","Phillips","Self Sealing","M3","0.264"" (6.70mm)","0.094"" (2.40mm)","0.157"" (4.00mm)","0.250"" (6.35mm) 1/4""","Stainless Steel","-"
-,//media.digikey.com/Photos/APM%20Hexseal%20Photos/RM3X8MM-2701.jpg,335-1149-ND,RM3X8MM 2701,APM Hexseal,MACH SCREW PAN HEAD PHILLIPS M3,116765,0,"0.63000","0","1","SEELSKREW®","Active","Machine Screw","Pan Head","Phillips","Self Sealing","M3","0.264"" (6.70mm)","0.094"" (2.40mm)","0.315"" (8.00mm)","0.409"" (10.40mm)","Stainless Steel","-"
-,//media.digikey.com/photos/APM%20Hexseal%20Photos/RM3X10MM%202701.JPG,335-1148-ND,RM3X10MM 2701,APM Hexseal,MACH SCREW PAN HEAD PHILLIPS M3,37306,0,"0.63000","0","1","SEELSKREW®","Active","Machine Screw","Pan Head","Phillips","Self Sealing","M3","0.264"" (6.70mm)","0.094"" (2.40mm)","0.394"" (10.00mm)","0.488"" (12.40mm)","Stainless Steel","-"
https://cadlinks.rafhdwe.com/dk2d/m3440-ss/,//media.digikey.com/Photos/RAF%20Electronic%20Hardware/M3440-SS.JPG,1772-1916-ND,M3440-SS,RAF Electronic Hardware,THUMB SCREW KNOB M3X0.5,9759,5152,"2.25000","0","1","-","Active","Thumb Screw","Knob","-","-","M3x0.5","0.394"" (10.01mm)","0.197"" (5.00mm)","0.433"" (11.00mm)","0.630"" (16.00mm)","Stainless Steel","-"
http://www.hammondmfg.com/pdf/1551H.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1551ATS100.jpg,HM1177-ND,1551ATS100,Hammond Manufacturing,SHT MTL SCREW PAN PHIL #2 100/PK,1606,510,"8.55000","0","1","1551","Active","Sheet Metal Screw","Pan Head","Phillips","Self Tapping","#2","-","-","0.188"" (4.78mm) 3/16""","-","-","Nickel"
//media.digikey.com/PDF/Data%20Sheets/BUD%20Industries%20PDFs/Accessories%20Hardware.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/7346.jpg,377-1403-ND,7346,Bud Industries,MACH SCREW TRUSS PHILLIPS #10-32,22464,745688,"0.10000","0","1","-","Active","Machine Screw","Truss Head","Phillips","Pilot Point","#10-32","-","-","0.620"" (15.75mm)","-","Steel","Zinc"
http://www.essentracomponents.com.sg/images-line/pdfs/NSS-NSP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/NSP-6-3-01.JPG,RP957-ND,NSP-6-3-01,Essentra Components,MACHINE SCREW PAN PHILLIPS 6-32,19300,0,"0.10000","0","1","NSS-NSP","Active","Machine Screw","Pan Head","Phillips","-","#6-32","0.260"" (6.60mm)","0.090"" (2.29mm)","0.188"" (4.78mm) 3/16""","0.277"" (7.04mm)","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/NSS-NSP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20303.jpg,RPC1579-ND,NSP-4-3-01,Essentra Components,MACHINE SCREW PAN PHILLIPS 4-40,18130,0,"0.10000","0","1","NSS-NSP","Active","Machine Screw","Pan Head","Phillips","-","#4-40","0.209"" (5.30mm)","0.080"" (2.03mm)","0.188"" (4.78mm) 3/16""","0.267"" (6.78mm)","Nylon","-"
