Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications"
https://cdn.sparkfun.com/datasheets/Robotics/SNF-3P%20updated.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/ROB-13063.JPG,1568-1183-ND,ROB-13063,SparkFun Electronics,SLIP RING - 3 WIRE (10A),148,0,"29.95000","0","1","-","Active","Slip Ring","3 Wire, 16 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/736_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_736.jpg,1528-1152-ND,736,Adafruit Industries LLC,SLIP RING 22MM 6WR MAX 240V 2A,253,0,"14.95000","0","1","-","Active","Slip Ring","6 Wire, 26 AWG"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_40x6221.jpg,1758-1057-ND,4006221,Rose+Krieger,"SLOT STONE R 30MM, M6",444,0,"2.24000","0","1","Frameworks®","Active","Slot Stone","M6 Thread"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-12251_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12251.jpg,1568-1594-ND,ROB-12251,SparkFun Electronics,SHAFT COUPLER 1/4"" TO 1/4"",72,0,"4.99000","0","1","-","Active","Shaft Coupler","0.250"" (6.35mm) Diameter to 0.250"" (6.35mm) Diameter"
https://cdn.sparkfun.com/datasheets/Robotics/SNM022A-06%20update.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-13064_Primary.jpg,1568-1253-ND,ROB-13064,SparkFun Electronics,SLIP RING - 6 WIRE (2A),40,0,"14.95000","0","1","-","Active","Slip Ring","6 Wire, 28 AWG"
https://cdn.sparkfun.com/datasheets/Robotics/SNM022A-12%20updated.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/ROB-13065.jpg,1568-1252-ND,ROB-13065,SparkFun Electronics,SLIP RING - 12 WIRE (2A),28,0,"19.95000","0","1","-","Active","Slip Ring","12 Wire, 28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3782_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3782.jpg,1528-2615-ND,3782,Adafruit Industries LLC,TT MOTOR ENCODER (PACK OF 2),38,0,"0.95000","0","1","-","Active","Wheel","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4006714.JPG,1758-1044-ND,4006714,Rose+Krieger,"SLOT STONE F 40MM, M6",50,0,"1.43000","0","1","Frameworks®","Active","Slot Stone","M6 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4006713.JPG,1758-1043-ND,4006713,Rose+Krieger,"SLOT STONE F 40MM, M5",69,0,"1.43000","0","1","Frameworks®","Active","Slot Stone","M5 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4006712.JPG,1758-1041-ND,4006712,Rose+Krieger,"SLOT STONE F 30MM, M6",50,0,"1.43000","0","1","Frameworks®","Active","Slot Stone","M6 Thread"
