Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Thread/Screw/Hole Size","Diameter - Inside","Diameter - Outside","Thickness","Plating","Material"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=329632&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/1-329632-2.jpg,A1129-ND,1-329632-2,TE Connectivity AMP Connectors,WASHER INT TOOTH PHOSPHOR BRONZE,24013,0,"0.38000","0","1","AMP","Active","Internal Tooth","-","0.509"" (12.93mm)","0.625"" (15.88mm) 5/8""","0.022"" (0.56mm)","Nickel","Phosphor Bronze"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/75801.jpg,335-1113-ND,75801,APM Hexseal,WASHER SEALING #8 STN STEEL,4944,0,"2.42000","0","1","SEELOC®","Active","Sealing","#8","-","0.500"" (12.70mm) 1/2""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/Photos/APM%20Hexseal%20Photos/74501.JPG,335-1117-ND,75051,APM Hexseal,WASHER SEALING M5 STN STEEL,1534,0,"2.48000","0","1","SEELOC®","Active","Sealing","M5","-","0.500"" (12.70mm) 1/2""","0.078"" (1.98mm)","-","Stainless Steel"
https://apmhexseal.com/wp-content/uploads/2017/07/ShortCatalog-HEX-SC-01.pdf,//media.digikey.com/photos/APM%20Hexseal%20Photos/75082.JPG,335-1063-ND,75082,APM Hexseal,WASHER SEALING 1/4 STN STEEL,3830,0,"2.58000","0","1","SEELOC®","Active","Sealing","1/4""","0.250"" (6.35mm) 1/4""","1.000"" (25.40mm) 1""","0.078"" (1.98mm)","-","Stainless Steel"
http://www.keyelco.com/product-pdf.cfm?p=2114,//media.digikey.com/photos/Keystone%20Elect%20Photos/3348.jpg,36-3348-ND,3348,Keystone Electronics,WASHER FLAT #4 NYLON,141690,31300,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.250"" (6.35mm) 1/4""","0.032"" (0.81mm)","-","Nylon"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5205820&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/5205820-3.jpg,5205820-3-ND,5205820-3,TE Connectivity AMP Connectors,WASHER FLAT #4 STEEL,107232,0,"0.10000","0","1","AMPLIMITE","Active","Flat","#4","0.125"" (3.18mm) 1/8""","0.219"" (5.56mm)","0.032"" (0.81mm)","Zinc, Clear Chromate","Steel"
http://www.keyelco.com/product-pdf.cfm?p=2143,//media.digikey.com/photos/Keystone%20Elect%20Photos/4700.JPG,36-4700-ND,4700,Keystone Electronics,WASHER SPLIT LOCK #6 STEEL,84530,26900,"0.10000","0","1","-","Active","Split Lock","#6","0.144"" (3.66mm)","0.250"" (6.35mm) 1/4""","0.033"" (0.84mm)","Zinc","Steel"
http://www.keyelco.com/product-pdf.cfm?p=3868,//media.digikey.com/photos/Keystone%20Elect%20Photos/345.JPG,36-345-ND,345,Keystone Electronics,WASHER FLAT #4 NYLON,76320,114700,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.250"" (6.35mm) 1/4""","0.047"" (1.19mm) 3/64""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=1996,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3111.JPG,36-3111-ND,3111,Keystone Electronics,WASHER FLAT #2 FIBRE,63504,0,"0.10000","0","1","-","Active","Flat","#2","0.098"" (2.49mm)","0.188"" (4.78mm) 3/16""","0.032"" (0.81mm)","-","Fibre"
http://www.keyelco.com/product-pdf.cfm?p=2001,//media.digikey.com/photos/Keystone%20Elect%20Photos/3116.JPG,36-3116-ND,3116,Keystone Electronics,WASHER FLAT #4 FIBRE,54700,132500,"0.10000","0","1","-","Active","Flat","#4","0.120"" (3.05mm)","0.250"" (6.35mm) 1/4""","0.032"" (0.81mm)","-","Fibre"
