Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Inductance","Tolerance","Q @ Freq","Mounting Type","Package / Case","Size / Dimension","Height"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1086-ND,JLC03E048TRSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,3185,0,"7.54000","0","1","Bulk","-","Active","48nH","-","120 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1087-ND,JLC04E065TRSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,184,0,"7.54000","0","1","-","-","Active","60nH","-","101 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1089-ND,JLC05E088TRVSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,183,0,"7.54000","0","1","-","-","Active","74nH","-","114 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1088-ND,JLC05E088TRSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,168,0,"7.54000","0","1","-","-","Active","74nH","-","114 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1085-ND,JLC02E030TRSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,137,0,"7.54000","0","1","-","-","Active","30nH","-","120 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Johanson%20Mfg/JLC0yEyyyTRSM_Dwg.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/MFG_JLC0.jpg,1956-1090-ND,JLC06E110TRSM,Johanson Manufacturing,OVERALL HEIGHT OF ONLY 0.35"" COI,101,0,"7.54000","0","1","-","-","Active","88nH","-","50 @ 100MHz","Surface Mount","Radial, Horizontal Cylinder","0.276"" Dia x 0.236"" L (7.00mm x 6.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/MC152.pdf,//media.digikey.com/Photos/Toko%20Photos/E558HN-100099=P3.jpg,TKS2709TR-ND,E558HN-100099=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 73NH SMD,1500,0,"0.33912","0","1500","Tape & Reel (TR)","MC152","Obsolete","73nH","±10%","105 @ 100MHz","Surface Mount","Nonstandard","0.276"" L x 0.217"" W (7.00mm x 5.50mm)","0.205"" (5.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/MC152.pdf,//media.digikey.com/Photos/Toko%20Photos/E558HN-100099=P3.jpg,TKS2709CT-ND,E558HN-100099=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 73NH SMD,2120,0,"0.43000","0","1","Cut Tape (CT)","MC152","Obsolete","73nH","±10%","105 @ 100MHz","Surface Mount","Nonstandard","0.276"" L x 0.217"" W (7.00mm x 5.50mm)","0.205"" (5.20mm)"
-,//media.digikey.com/Photos/Toko%20Photos/E540SNA-15002.jpg,TK3006-ND,E540SNA-15002,Toko America Inc.,INDUCTOR ADJUST 422NH THRU HOLE,1371,0,"0.36000","0","1","Bulk","MC134","Obsolete","422nH","-","80 @ 50MHz","Through Hole","Radial","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.287"" (7.30mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/A119ANS-T1.pdf,//media.digikey.com/Photos/Toko%20Photos/A119ANS-T1038Z.jpg,TK2410-ND,A119ANS-T1038Z,Toko America Inc.,INDUCTOR ADJUST 27UH THRU HOLE,15457,0,"0.45000","0","1","Bulk","7PH","Obsolete","27µH","±10%","80 @ 2.52MHz","Through Hole","Radial, Can","0.295"" L x 0.295"" W (7.50mm x 7.50mm)","0.472"" (12.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/mc120.pdf,//media.digikey.com/Photos/Toko%20Photos/E526HN-100109.jpg,TK2723-ND,E526HN-100109,Toko America Inc.,INDUCTOR ADJUST 530NH THRU HOLE,2868,0,"0.52000","0","1","Bulk","MC120","Obsolete","530nH","±2%","100 @ 50MHz","Through Hole","Radial","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.512"" (13.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/7KMM.pdf,//media.digikey.com/Photos/Toko%20Photos/292SNS-T1366Z.jpg,TK3139-ND,292SNS-T1366Z,Toko America Inc.,INDUCTOR ADJUST 100NH THRU HOLE,2085,0,"0.57000","0","1","Bulk","7KMM","Obsolete","100nH","±6%","50 @ 80MHz","Through Hole","Radial","0.307"" L x 0.307"" W (7.80mm x 7.80mm)","0.512"" (13.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CCD_Series.pdf,//media.digikey.com/Photos/Toko%20Photos/614BN-9220Z=P3.jpg,TKS2258TR-ND,614BN-9220Z=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 22UH SMD,16000,0,"0.71737","0","1000","Tape & Reel (TR)","5CCD","Obsolete","22µH","±5%","45 @ 2.52MHz","Surface Mount","Nonstandard","0.244"" L x 0.240"" W (6.20mm x 6.10mm)","0.217"" (5.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CCD_Series.pdf,//media.digikey.com/Photos/Toko%20Photos/614BN-9220Z=P3.jpg,TKS2258CT-ND,614BN-9220Z=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 22UH SMD,16233,0,"0.91000","0","1","Cut Tape (CT)","5CCD","Obsolete","22µH","±5%","45 @ 2.52MHz","Surface Mount","Nonstandard","0.244"" L x 0.240"" W (6.20mm x 6.10mm)","0.217"" (5.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5K_5KM.pdf,//media.digikey.com/Photos/Toko%20Photos/294SN-T1014Z.jpg,TK5007-ND,294SN-T1014Z,Toko America Inc.,INDUCTOR ADJUST 680NH THRU HOLE,4900,0,"0.80000","0","1","Bulk","5K","Obsolete","680nH","±6%","45 @ 45MHz","Through Hole","Radial, Horizontal, 4 Leads","0.232"" L x 0.232"" W (5.90mm x 5.90mm)","0.244"" (6.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5K_5KM.pdf,//media.digikey.com/Photos/Toko%20Photos/294SN-T1013Z.jpg,TK5006-ND,294SN-T1013Z,Toko America Inc.,INDUCTOR ADJUST 470NH THRU HOLE,3946,0,"0.80000","0","1","Bulk","5K","Obsolete","470nH","±6%","45 @ 45MHz","Through Hole","Radial, Horizontal, 4 Leads","0.232"" L x 0.232"" W (5.90mm x 5.90mm)","0.244"" (6.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/mc120.pdf,//media.digikey.com/Photos/Toko%20Photos/E526HN-100315.jpg,TK2724-ND,E526HN-100315,Toko America Inc.,INDUCTOR ADJUST 40NH THRU HOLE,266,0,"0.24000","0","1","Bulk","MC120","Obsolete","40nH","±3%","100 @ 100MHz","Through Hole","Radial","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.512"" (13.00mm)"
