Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Number of Coils","Inductance - Connected In Parallel","Inductance - Connected In Series","Tolerance","Current Rating - Parallel","Current Rating - Series","Current Saturation - Parallel","Current Saturation - Series","DC Resistance (DCR) - Parallel","DC Resistance (DCR) - Series","Shielding","Ratings","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height"
https://www.bourns.com/docs/Product-Datasheets/SRF0703.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF0703.jpg,SRF0703-151MTR-ND,SRF0703-151M,Bourns Inc.,INDUCT ARRAY 2 COIL 150UH SMD,6000,0,"0.40000","0","1500","Tape & Reel (TR)","SRF0703","Active","2","150µH","600µH","±20%","580mA","289mA","650mA","320mA","986mOhm Max","3.63Ohm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.299"" L x 0.299"" W (7.60mm x 7.60mm)","0.142"" (3.60mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF0703.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF0703.jpg,SRF0703-151MCT-ND,SRF0703-151M,Bourns Inc.,INDUCT ARRAY 2 COIL 150UH SMD,7479,0,"1.01000","0","1","Cut Tape (CT)","SRF0703","Active","2","150µH","600µH","±20%","580mA","289mA","650mA","320mA","986mOhm Max","3.63Ohm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.299"" L x 0.299"" W (7.60mm x 7.60mm)","0.142"" (3.60mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF0703.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF0703.jpg,SRF0703-151MDKR-ND,SRF0703-151M,Bourns Inc.,INDUCT ARRAY 2 COIL 150UH SMD,7479,0,"Digi-Reel","0","1","Digi-Reel®","SRF0703","Active","2","150µH","600µH","±20%","580mA","289mA","650mA","320mA","986mOhm Max","3.63Ohm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.299"" L x 0.299"" W (7.60mm x 7.60mm)","0.142"" (3.60mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-220MTR-ND,SRF1260-220M,Bourns Inc.,INDUCT ARRAY 2 COIL 22UH SMD,4800,0,"0.75600","0","400","Tape & Reel (TR)","SRF1260","Active","2","22µH","88µH","±20%","3.7A","1.84A","4.71A","2.36A","45.1mOhm Max","172mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-220MCT-ND,SRF1260-220M,Bourns Inc.,INDUCT ARRAY 2 COIL 22UH SMD,5164,0,"1.45000","0","1","Cut Tape (CT)","SRF1260","Active","2","22µH","88µH","±20%","3.7A","1.84A","4.71A","2.36A","45.1mOhm Max","172mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-220MDKR-ND,SRF1260-220M,Bourns Inc.,INDUCT ARRAY 2 COIL 22UH SMD,5164,0,"Digi-Reel","0","1","Digi-Reel®","SRF1260","Active","2","22µH","88µH","±20%","3.7A","1.84A","4.71A","2.36A","45.1mOhm Max","172mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-100MTR-ND,SRF1260-100M,Bourns Inc.,INDUCT ARRAY 2 COIL 10UH SMD,3200,0,"0.75600","0","400","Tape & Reel (TR)","SRF1260","Active","2","10µH","40µH","±20%","5.35A","2.67A","7.17A","3.59A","24.6mOhm Max","93.4mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-100MCT-ND,SRF1260-100M,Bourns Inc.,INDUCT ARRAY 2 COIL 10UH SMD,3517,0,"1.45000","0","1","Cut Tape (CT)","SRF1260","Active","2","10µH","40µH","±20%","5.35A","2.67A","7.17A","3.59A","24.6mOhm Max","93.4mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_SRF1260.jpg,SRF1260-100MDKR-ND,SRF1260-100M,Bourns Inc.,INDUCT ARRAY 2 COIL 10UH SMD,3517,0,"Digi-Reel","0","1","Digi-Reel®","SRF1260","Active","2","10µH","40µH","±20%","5.35A","2.67A","7.17A","3.59A","24.6mOhm Max","93.4mOhm Max","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.492"" L x 0.492"" W (12.50mm x 12.50mm)","0.244"" (6.20mm)"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4311_DRQ_Series.pdf,//media.digikey.com/Photos/Cooper%20Industries%20Photos/DRQ73-3R3-R.JPG,513-1240-2-ND,DRQ73-3R3-R,Eaton - Electronics Division,INDUCT ARRAY 2 COIL 3.54UH SMD,1350,0,"0.82460","0","1350","Tape & Reel (TR)","DRQ","Active","2","3.54µH","14.16µH","±20%","3.31A","1.66A","4.22A","2.11A","25.9mOhm","103.5mOhm","Shielded","-","-40°C ~ 125°C","Surface Mount","Nonstandard","0.299"" L x 0.299"" W (7.60mm x 7.60mm)","0.140"" (3.55mm)"
