Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Delay Time","Tolerance","Operating Temperature","Mounting Type","Package / Case"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL15-2-020S/XDL15-2-020S_DataSheet(Rev_H).PDF,"//media.digikey.com/Photos/Anaren,%20Inc/XDL15-2-020S.jpg",1173-1124-2-ND,XDL15-2-020S,Anaren,IND DELAY LINE 2.0NS SMD,0,0,"2.19001","0","2000","Tape & Reel (TR)","Xinger®","Active","2.12ns","±0.28nS","-55°C ~ 85°C","Surface Mount","2-SMD"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL15-2-020S/XDL15-2-020S_DataSheet(Rev_H).PDF,"//media.digikey.com/Photos/Anaren,%20Inc/XDL15-2-020S.jpg",1173-1124-1-ND,XDL15-2-020S,Anaren,IND DELAY LINE 2.0NS SMD,1678,0,"4.85000","0","1","Cut Tape (CT)","Xinger®","Active","2.12ns","±0.28nS","-55°C ~ 85°C","Surface Mount","2-SMD"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL15-2-020S/XDL15-2-020S_DataSheet(Rev_H).PDF,"//media.digikey.com/Photos/Anaren,%20Inc/XDL15-2-020S.jpg",1173-1124-6-ND,XDL15-2-020S,Anaren,IND DELAY LINE 2.0NS SMD,1678,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","2.12ns","±0.28nS","-55°C ~ 85°C","Surface Mount","2-SMD"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL15-3-030S/XDL15-3-030S_DataSheet(Rev_C).pdf,-,XDL15-3-030S-ND,XDL15-3-030S,Anaren,INDUCTOR DELAY LINE 2.85NS SMD,0,0,"1.67001","0","2000","Tape & Reel (TR)","Xinger®","Active","2.85ns","±0.30nS","-55°C ~ 140°C","Surface Mount","Nonstandard, 4 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL20-3-050S/XDL20-3-050S_DataSheet(Rev_A).pdf,-,XDL20-3-050S-ND,XDL20-3-050S,Anaren,INDUCTOR DELAY LINE 3.975NS SMD,0,0,"7.22003","0","350","Tape & Reel (TR)","Xinger®","Active","3.975ns","±0.16nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 2 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL20-6-100S/XDL20-6-100S_DataSheet(Rev_A).pdf,-,XDL20-6-100S-ND,XDL20-6-100S,Anaren,INDUCTOR DELAY LINE 7.775NS SMD,0,0,"9.12000","0","350","Tape & Reel (TR)","Xinger®","Active","7.775ns","±0.31nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 3 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL20-7-115S/XDL20-7-115S_DataSheet(Rev_A).pdf,-,XDL20-7-115S-ND,XDL20-7-115S,Anaren,INDUCTOR DELAY LINE 11.45NS SMD,0,0,"9.12000","0","250","Tape & Reel (TR)","Xinger®","Active","11.45ns","±0.20nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 4 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL21-6-117/XDL21-6-117_DataSheet(Rev_C).pdf,-,XDL21-6-117-ND,XDL21-6-117,Anaren,INDUCTOR DELAY LINE 11.7NS SMD,0,0,"9.12000","0","350","Tape & Reel (TR)","Xinger®","Active","11.7ns","±0.25nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 3 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL21-7-110S/XDL21-7-110S_DataSheet(Rev_C).pdf,-,XDL21-7-110S-ND,XDL21-7-110S,Anaren,INDUCTOR DELAY LINE 11.0NS SMD,0,0,"9.12000","0","250","Tape & Reel (TR)","Xinger®","Active","11.0ns","±0.20nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 4 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL09-8-080S/XDL09-8-080S_DataSheet(Rev_C).pdf,-,XDL09-8-080S-ND,XDL09-8-080S,Anaren,INDUCTOR DELAY LINE 8.13NS SMD,0,0,"11.02004","0","250","Tape & Reel (TR)","Xinger®","Active","8.13ns","±0.18nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 4 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL20-8-140S/XDL20-8-140S_DataSheet(Rev_A).pdf,-,XDL20-8-140S-ND,XDL20-8-140S,Anaren,INDUCTOR DELAY LINE 13.9NS SMD,0,0,"11.02004","0","250","Tape & Reel (TR)","Xinger®","Active","13.9ns","±0.28nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 4 Lead"
https://cdn.anaren.com/product-documents/Xinger/DelayLines/XDL21-7-125S/XDL21-7-125S_DataSheet(Rev_D).pdf,-,XDL21-7-125S-ND,XDL21-7-125S,Anaren,INDUCTOR DELAY LINE 12.5NS SMD,0,0,"11.02004","0","250","Tape & Reel (TR)","Xinger®","Active","12.5ns","±0.25nS","-55°C ~ 85°C","Surface Mount","Nonstandard, 4 Lead"
