Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/8611320000.pdf,//media.digikey.com/Photos/Weidmuller/MFG_8611320000.JPG,281-3253-ND,8611320000,Weidmüller,RS RJ 45 8 POLE INTERFACE,135,2174,"46.34000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/Crouzet%20Photos/84150202.jpg,966-1035-ND,84150202,Crouzet,PNEUM ACCESS INDICATOR GREEN,150,0,"31.15000","0","1","-","Active","Indicator","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_terminations_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/SE-TA6-SM.jpg,F10453-ND,SE-TA6-SM,Littelfuse Inc.,STUD-MOUNT TERMINATION,26,0,"150.06000","0","1","*","Active","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2907761,//media.digikey.com/Photos/Phoenix%20Photos/2907761.jpg,277-14905-ND,2907761,Phoenix Contact,HOUSING UPPER FOR PCB TERM BLOCK,150,0,"3.58000","0","1","*","Active","-","-"
http://www.redlion.net/files/209/3648,//media.digikey.com/Photos/Red%20Lion%20Photos/VCM20000.jpg,RLC261-ND,VCM20000,Red Lion Controls,50-270 V,135,0,"36.44000","0","1","*","Active","-","-"
https://www.molex.com/pdm_docs/sd/1210120162_sd.pdf,//media.digikey.com/Photos/Molex/1210120162.jpg,WM15491-ND,1210120162,Molex,DIN WITH BASE B143000W2SA BRAD E,169,0,"2.71000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120173_sd.pdf,//media.digikey.com/Photos/Molex/1210120173.jpg,WM15490-ND,1210120173,Molex,B142 BASE 2P+T BLACK V0 BRAD EXP,183,0,"3.32000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210130199_sd.pdf,//media.digikey.com/Photos/Molex/1210130199.jpg,WM15495-ND,1210130199,Molex,DIN 18MM 2P+GND,191,0,"3.75000","0","1","121013","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120175_sd.pdf,//media.digikey.com/Photos/Molex/1210120175.jpg,WM15494-ND,1210120175,Molex,B26 BASE 3 P+E BK UL NBR FLAT+SC,199,0,"4.10000","0","1","121012","Active","Connector","-"
-,//media.digikey.com/Photos/Omron%20Auto/US08.JPG,Z5408-ND,US08,Omron Automation and Safety,SOCKET BACK MOUNT FOR E5C2,997,0,"5.07000","0","1","-","Active","Socket","-"
https://www.molex.com/pdm_docs/sd/1210120107_sd.pdf,//media.digikey.com/Photos/Molex/1210120107.jpg,WM16813-ND,1210120107,Molex,MICRO BASE 3 POLE+EARTH,377,0,"2.24000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120025_sd.pdf,//media.digikey.com/Photos/Molex/1210120025.JPG,WM21105-ND,1210120025,Molex,FORM A 2 POLES + EARTH,200,0,"2.80000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120099_sd.pdf,//media.digikey.com/Photos/Molex/1210120099.jpg,WM21108-ND,1210120099,Molex,STD. BASE 3 POLE+EARTH FLAT,395,0,"3.13000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120007_sd.pdf,//media.digikey.com/Photos/Molex/1210120007.jpg,WM21101-ND,1210120007,Molex,B143 BASE 3 POLE + EARTH,200,0,"3.13000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120071_sd.pdf,-,WM21107-ND,1210120071,Molex,STD. BASE 2 POLE+EARTH FLAT,200,0,"3.13000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120019_sd.pdf,//media.digikey.com/Photos/Molex/1210120019.jpg,WM21104-ND,1210120019,Molex,STD. BASE 3 POLE+EARTH FLAT,197,0,"3.13000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120013_sd.pdf,-,WM21103-ND,1210120013,Molex,STD. BASE 2 POLE+EARTH FLAT,189,0,"3.13000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120009_sd.pdf,//media.digikey.com/photos/Molex/1210120009.jpg,WM21102-ND,1210120009,Molex,B152 SERIES BASE,292,0,"3.20000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120047_sd.pdf,//media.digikey.com/photos/Molex/1210120047.jpg,WM21106-ND,1210120047,Molex,FORM B INDUSTRIAL,173,0,"4.10000","0","1","121012","Active","Connector","-"
-,//media.digikey.com/Photos/Weidmuller/1020650000.JPG,281-5427-ND,1020650000,Weidmüller,AP RF 122 RE OR FOR RS122,140,180,"4.84000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/Weidmuller/1020640000.JPG,281-5426-ND,1020640000,Weidmüller,AP RF 122 LI OR FOR RS122,140,180,"4.97000","0","1","*","Active","-","-"
https://www.molex.com/pdm_docs/sd/1210120120_sd.pdf,-,WM16810-ND,1210120120,Molex,3 POLE & EARTH BASE+FIX RING,310,0,"5.36000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210120121_sd.pdf,//media.digikey.com/Photos/Molex/1210120121.jpg,WM21110-ND,1210120121,Molex,PG09 ROUND BASE 3 POLE+EARTH,195,0,"8.49000","0","1","121012","Active","Connector","-"
https://www.molex.com/pdm_docs/sd/1210010207_sd.pdf,//media.digikey.com/Photos/Molex/1210010207.JPG,WM21093-ND,1210010207,Molex,ADT QUADR.06 L.GI/DI.24V,196,0,"18.23000","0","1","121001","Active","Adapter","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/cad%20drawings/littelfuse_protection_relays_se_cs30_26_dimensions.pdf,-,F11312-ND,SE-CS30-26,Littelfuse Inc.,XFMR CURRENT 600:1 26MM ID,30,0,"345.90000","0","1","*","Active","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical-resources/documents/cad-drawings/littelfuse_relays_pga_0500_drawing.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/PGA-0500.jpg,F10422-ND,PGA-0500,Littelfuse Inc.,ANALOG METER,34,0,"362.36000","0","1","*","Active","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_terminations_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/SE-TA6A.jpg,F10454-ND,SE-TA6A,Littelfuse Inc.,TERMINATION ASSEMBLY 50W,8,0,"368.73000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/2761266.jpg,277-3121-ND,2761266,Phoenix Contact,INTERFACE CONVERT 9ML-15ML DSUB,15,0,"941.00000","0","1","Inline","Active","Conversion Unit","Inline Series"
https://www.molex.com/pdm_docs/sd/1212010002_sd.pdf,-,WM17312-ND,1212010002,Molex,TYPE A 3P FULL ASM BLK,65,0,"2.98000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/H2C_Series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/Y92F-30.jpg,Z885-ND,Y92F-30,Omron Automation and Safety,ADAPTER PANEL MNT FOR H3CR/H5CX,71,0,"12.80000","0","1","-","Active","Panel Mount Adapter, Frame","Multiple Series"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2885359.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2885359.jpg,277-4993-ND,2885359,Phoenix Contact,POWER MODULE 24VDC,70,66,"22.68000","0","1","Inline","Active","Power Supply Module","Inline Series"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8040-ND,UMA-SA-4PF-M8-4PM-M12,Omron Automation and Safety,"ADAPT,4-PIN M8 FEM TO M12 MALE",19,0,"43.96000","0","1","UMA","Active","Adapter","MC6 Series"
-,//media.digikey.com/Photos/Phoenix%20Photos/2313672.JPG,277-9225-ND,2313672,Phoenix Contact,CONN DSUB 9POS MALE R/A,34,101,"48.00000","0","1","-","Active","Connector","-"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ62xx.JPG,1110-3239-ND,ANUJ6220,Panasonic Industrial Automation Sales,1.7 M CABLE,15,11,"95.00000","0","1","*","Active","-","-"
-,-,Z11199-ND,E58-CIFQ2,Omron Automation and Safety,USB SERIAL CABLE E5CC AND E5EC,5,21,"300.51000","0","1","-","Active","Cable Assembly","E5CC Series"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_terminations_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/SE-TA12A.jpg,F10451-ND,SE-TA12A,Littelfuse Inc.,TERMINATION ASSEMBLY - 12V,23,0,"368.73000","0","1","*","Active","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical-resources/documents/data-sheets/littelfuse_sensing_resistors_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/ER-600VC.jpg,F10420-ND,ER-600VC,Littelfuse Inc.,SENSING RESISTOR 600V,4,0,"395.30000","0","1","POWR-GARD®","Active","Sensing Resistor","POWR-GARD® Ground Fault Relays"
https://www.littelfuse.com/~/media/files/littelfuse/technical-resources/documents/data-sheets/littelfuse_sensing_resistors_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/ER-15KV.jpg,F10419-ND,ER-15KV,Littelfuse Inc.,SENSING RESISTOR 15 KV,6,0,"2257.50000","0","1","POWR-GARD®","Active","Sensing Resistor","POWR-GARD® Ground Fault Relays"
-,//media.digikey.com/Photos/Panasonic%20Photos/ATC18001.JPG,1110-3353-ND,ATC18001,Panasonic Industrial Automation Sales,STOP RING/SETTING RING 2SET,52,0,"4.00000","0","1","-","Active","Set Ring","Multiple Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2854429,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2854429.jpg,277-14735-ND,2854429,Phoenix Contact,HOUSING UPPER FOR PCB TERM BLOCK,29,0,"5.71000","0","1","*","Active","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2713645,//media.digikey.com/Photos/Phoenix%20Photos/2713645.jpg,277-14661-ND,2713645,Phoenix Contact,PLUG DIN RAIL 5POS 3.81MM,57,400,"11.60000","0","1","*","Active","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/dp-100_v2_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MS-DP1-FN.jpg,1110-2735-ND,MS-DP1-FN,Panasonic Industrial Automation Sales,FLAT ATTACH NPT 1/8 FEMAL THREAD,42,0,"16.70000","0","1","DP-100","Active","-","DP-100"
