Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mounting Type","Relay Type","Function","Circuit","Delay Time","Contact Rating @ Voltage","Voltage - Supply","Termination Style","Timing Adjustment Method","Timing Initiate Method"
http://cdn.crouzet-control.com/assets/library/syrelec_relays/s-timers.pdf,//media.digikey.com/photos/Crouzet%20Photos/SASP10S110AD.JPG,966-1637-ND,SASP10S110AD,Crouzet,RELAY TIME DELAY 10SEC DIN RAIL,315,0,"23.97000","0","1","SAS","Active","DIN Rail","Solid State Relay","On-Delay","-","0.1 Sec ~ 10 Sec","-","110VAC/DC","Quick Connect - 0.250"" (6.3mm)","Screwdriver Slot","Input Voltage"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/tmr_eng_pm4h.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/PM4H-11PIN.JPG,255-2829-ND,PM4HA-H-AC240V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 500HRS 5A 250V,107,180,"46.00000","0","1","PM4H","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.1 Sec ~ 500 Hrs","5A @ 250VAC","100 ~ 240VAC","Plug In, 11 Pin (Octal)","Hand Dial","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/BA1R_DS.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_BA1R16MV1.jpg,966-1826-ND,BA1R16MV1,Crouzet,RELAY TIME DELAY 240HRS 16A 250V,146,0,"54.35000","0","1","BA1R","Active","DIN Rail","Mechanical Relay","On-Delay","SPDT (1 Form C)","0.5 Sec ~ 240 Hrs","16A @ 250VAC","12 ~ 240VAC/DC","Screw Terminal","Hand Dial","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/88827zzz.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_88827115.jpg,966-1551-ND,88827115,Crouzet,RELAY TIME DELAY 100HRS 8A 250V,216,0,"54.94000","0","1","MAR1","Active","DIN Rail","Mechanical Relay","On-Delay","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","8A @ 250VAC","24 ~ 240VAC, 24VDC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/88827zzz.pdf,//media.digikey.com/Photos/Crouzet%20Photos/88827135.JPG,966-1556-ND,88827135,Crouzet,RELAY TIME DELAY 100HRS 8A 250V,156,0,"70.59000","0","1","MCR1","Active","DIN Rail","Mechanical Relay","Off-Delay","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","8A @ 250VAC","24 ~ 240VAC, 24VDC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/88827zzz.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_88827105.jpg,966-1553-ND,88827105,Crouzet,RELAY TIME DELAY 100HRS 8A 250V,98,0,"77.06000","0","1","MUR1","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","8A @ 250VAC","24 ~ 240VAC, 24VDC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/H3FA%20Series.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3FA%20SERIES.JPG,Z3013-ND,H3FA-AU-DC24,Omron Automation and Safety,RELAY TIME DELAY 10MIN 3A 250V,675,0,"84.27000","0","1","H3FA","Active","Through Hole","Mechanical Relay","Off-Delay","DPST-NO/NC (1 Form A and B)","0.1 Sec ~ 10 Min","3A @ 250VAC","24VDC","PC Pin","Screwdriver Slot","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/88827zzz.pdf,//media.digikey.com/Photos/Crouzet%20Photos/88827103.JPG,966-1554-ND,88827103,Crouzet,RELAY TIME DELAY 100HRS 8A 250V,240,0,"86.46000","0","1","MUR3","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","8A @ 250VAC","12 ~ 240VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_63010_0010_en_lt4h.pdf,//media.digikey.com/photos/Panasonic%20Photos/LT4H%2011%20PIN%20OCTAL.jpg,255-1215-ND,LT4H-AC240VS,Panasonic Industrial Automation Sales,RELAY TIME DELAY 999.9HR 5A 250V,132,0,"92.00000","0","1","LT4H","Active","Panel Mount","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 999.9 Hrs","5A @ 250VAC","100 ~ 240VAC","Screw Terminal","Up/Down Digit Keys","Input Voltage, Trigger Signal"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3CR-A-11PIN%20SERIES.JPG,Z876-ND,H3CR-A AC100-240/DC100-125,Omron Automation and Safety,RELAY TIME DELAY 300HRS 5A 250V,58,973,"112.27000","0","1","H3CR-A","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 300 Hrs","5A @ 250VAC","100 ~ 240VAC, 100 ~ 125VDC","Plug In, 11 Pin (Octal)","Hand Dial","-"
