Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
https://multimedia.3m.com/mws/media/493983O/zeta-plustm-h-series-depth-filter.pdf,-,3M157720-ND,Z2UA12PB205U,3M,ZETA PLUS U SERIES FILTER CARTRI,133,0,"145.37000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/499383O/df-series-filter-systems.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_DFG010EE2R.JPG,3M157734-ND,DFG010EE2R,3M,DF SERIES FILTER CARTRIDGE 16 PE,300,0,"23.50000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/910407O/3m-740-series-filter-cartdidges.pdf,//media.digikey.com/photos/3M%20Photos/MFG_740B40PP005D1_View1.jpg,3M162798-ND,740B40PP005D1,3M,740 SERIES FILTER CARTRIDGE 740B,2,0,"425.86000","0","1","740","Active","Filter Cartridge","Industrial","5µm (Nominal)","80GPM (303LPM)","35 PSI ~ 50 PSI","-","40.00"" (1016.00mm)","6.500"" (165.10mm)","71°C - Max"
https://multimedia.3m.com/mws/media/591423O/zeta-plus-single-use-depth-filtration-product-portfolio-pdf.pdf,-,3M157749-ND,Z2UB12PD205UW,3M,ZETA PLUS UW SERIES FILTER CARTR,26,0,"162.82000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010PPS1C-ND,NB0010PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.45860","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0025PPS1C-ND,NB0025PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.45860","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0050PPS1C-ND,NB0050PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.45860","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0005PPS1C-ND,NB0005PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.57400","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0100PPS1C-ND,NB0100PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.57400","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0200PPS1C-ND,NB0200PPS1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.57400","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010PPS1R-ND,NB0010PPS1R,3M,NB SERIES FILTER BAG NOMINALLY R,0,0,"2.61520","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0050PPS1R-ND,NB0050PPS1R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.75560","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0025PPS1R-ND,NB0025PPS1R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"2.90400","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0005EES1R-ND,NB0005EES1R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.36600","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0005PPS2C-ND,NB0005PPS2C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0005PPS2R-ND,NB0005PPS2R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010PPS2C-ND,NB0010PPS2C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010PPS2R-ND,NB0010PPS2R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0025PPS2C-ND,NB0025PPS2C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0025PPS2R-ND,NB0025PPS2R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0050PPS2C-ND,NB0050PPS2C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0050PPS2R-ND,NB0050PPS2R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0100EES1R-ND,NB0100EES1R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.48980","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010EES1C-ND,NB0010EES1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.53920","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0010EES1R-ND,NB0010EES1R,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.53920","0","50","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NB0025EES1C-ND,NB0025EES1C,3M,SERIES NB FILTER BAG 50 PER CASE,0,0,"3.53920","0","50","-","Active","-","-","-","-","-","-","-","-","-"
