Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Actuator Type","Operating Pressure","Orifice Diameter","Fluid Type","Connection Method","For Use With/Related Products","Mounting Type","Features"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921701.jpg,966-1034-ND,81921701,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,480,0,"41.25000","0","1","Miniature","Active","Position Detector","3/2 Normally Closed","Lever, Roller","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81506940.JPG,966-1121-ND,81506940,Crouzet,FREQ GENERATOR SUB-BASE MOUNT,32,0,"165.62000","0","1","-","Active","Frequency Generator","-","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/81506920_940.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81506920.jpg,966-1020-ND,81506920,Crouzet,FREQ GENERATOR SUB-BASE MOUNT,47,0,"166.05000","0","1","-","Active","Frequency Generator","-","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/997_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_997.jpg,1528-2003-ND,997,Adafruit Industries LLC,PLASTIC WATER SOLENOID VALVE - 1,956,0,"6.95000","0","1","-","Active","Solenoid Valve","-","-","3 ~ 116 PSI (0.21 ~ 8 bar)","-","Liquid","Threaded 1/2"" NPS","-","Free Hanging (In-Line)","Supply Voltage 12VDC"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/996_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_996.jpg,1528-1280-ND,996,Adafruit Industries LLC,SOLENOID VALVE ONEWAY FREE HANG,142,0,"24.95000","0","1","-","Active","Solenoid Valve","2/2 Normally Closed","-","0 ~ 140PSI (0 ~ 10 bar)","-","Liquid","Threaded 1/2"" NPS","-","Free Hanging (In-Line)","Supply Voltage 12VDC"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81541001.jpg,966-1031-ND,81541001,Crouzet,LOGIC AND ELEMENT,172,0,"27.92000","0","1","-","Active","Logic Element","LOGIC AND","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","-","-"
http://cdn.crouzet-control.com/assets/library/Crouzet-Control_Pneumatics_EN.pdf,//media.digikey.com/Photos/Crouzet%20Photos/99766001.JPG,966-1332-ND,99766001,Crouzet,TOTALIZER PANEL MOUNT,72,0,"175.53000","0","1","-","Active","Totalizer","-","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Panel Mount","Input Pressure 1.4 bar"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81505160.JPG,966-1231-ND,81505160,Crouzet,SWITCH POSITIVE OUT SUB-BASE MNT,43,0,"285.16000","0","1","-","Active","Pressure Switch","Positive Output","-","30 ~ 116PSI (2 ~ 8 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81532104.jpg,966-1029-ND,81532104,Crouzet,SUB-BASE DIN RAIL,148,0,"33.56000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Logic Element","DIN Rail","Rotatable Connector"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921702.jpg,966-1013-ND,81921702,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,84,0,"64.91000","0","1","Miniature","Active","Position Detector","3/2 Normally Closed","Lever, Roller","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
http://cdn.crouzet-control.com/assets/library/Crouzet-Control_Pneumatics_EN.pdf,//media.digikey.com/Photos/Crouzet%20Photos/99766002.JPG,966-1333-ND,99766002,Crouzet,TOTALIZER PANEL MOUNT,17,0,"164.35000","0","1","-","Active","Totalizer","-","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Panel Mount","Input Pressure 1.4 bar"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-10456_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-10456.jpg,1568-1365-ND,ROB-10456,SparkFun Electronics,SOLENOID VALVE ONEWAY FREE HANG,61,0,"7.95000","0","1","-","Active","Solenoid Valve","2/2 Normally Closed","-","2.9 ~ 116.03 PSI (0.2 ~ 8 bar)","-","Liquid","Threaded 3/4"" NPT","-","Free Hanging (In-Line)","Supply Voltage 12VDC"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81532001.jpg,966-1028-ND,81532001,Crouzet,SUB-BASE CHASSIS MOUNT,56,0,"24.24000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Logic Element","Chassis Mount","-"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513100.jpg,966-1022-ND,81513100,Crouzet,CONTROL VALVE 3/2 NC SUB-BASE MT,40,0,"24.40000","0","1","-","Active","Control Valve, Momentary","3/2 Normally Closed","-","44 ~ 116PSI (3 ~ 8 bar)","0.118"" (3.00mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81540001.jpg,966-1030-ND,81540001,Crouzet,LOGIC OR ELEMENT FREE HANGING,58,0,"24.94000","0","1","-","Active","Logic Element","LOGIC OR","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81529008.jpg,966-1057-ND,81529008,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,58,0,"28.66000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.032"" (0.80mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
