Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2902037_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2902055.JPG,277-12422-ND,2902037,Phoenix Contact,MINI MCR-2-UI-UI,56,618,"220.50000","0","1","Bulk","MINI MCR","Active","Signal Conditioner"
http://www.redlion.net/files/209/3587,//media.digikey.com/Photos/Red%20Lion%20Photos/IFMA0035.jpg,RLC230-ND,IFMA0035,Red Lion Controls,FREQUENCY TO ANALOG CONVERTER DC,46,0,"252.20000","0","1","Bulk","IFMA","Active","Frequency Transducer"
-,//media.digikey.com/Photos/Phoenix%20Photos/2864684.JPG,277-4872-ND,2864684,Phoenix Contact,3-WAY ISOLATING AMP 0-10VDC,47,488,"258.67000","0","1","Bulk","MINI MCR","Active","Isolation Amplifier"
-,//media.digikey.com/photos/Phoenix%20Photos/2864150.JPG,277-4845-ND,2864150,Phoenix Contact,3-WAY ISOLATING AMP 4-20MA,35,124,"361.93000","0","1","Bulk","MINI MCR","Active","Signal Conditioner"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1481970000_Ds.pdf,//media.digikey.com/photos/Weidmuller/MFG_1481970000.jpg,281-3303-ND,1481970000,Weidmüller,ACT20P-PRO DCDC II-S,31,355,"423.96000","0","1","Bulk","-","Active","Signal Conditioner"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2810913.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2810913-USA.JPG,277-4840-ND,2810939,Phoenix Contact,MCR 3-WAY ISOLATING AMPLIFIER,31,93,"680.13000","0","1","Bulk","MCR","Active","Signal Conditioner"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2905278,//media.digikey.com/Photos/Phoenix%20Photos/2905278.jpg,277-11933-ND,2905278,Phoenix Contact,SINGLE-CHANNEL 2-WAY ISOLATOR,36,47,"236.39000","0","1","Bulk","MACX MCR","Active","Passive Isolator"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2865340,//media.digikey.com/Photos/Phoenix%20Photos/2865340.JPG,277-4851-ND,2865340,Phoenix Contact,ISOLATED AMP 2 CHAN DIN RAIL,52,179,"310.85000","0","1","Bulk","MACX MCR","Active","Isolation Amplifier"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/uv_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ANUJ6426.jpg,1110-3279-ND,ANUJ6426,Panasonic Industrial Automation Sales,6MM LENS FOR POWER HEAD,26,0,"170.00000","0","1","Bulk","UJ64","Active","UV Curing Lens"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2864163,//media.digikey.com/photos/Phoenix%20Photos/2864163.JPG,277-5010-ND,2864163,Phoenix Contact,3-WAY ISOLATING AMP 4-20MA,26,27,"361.93000","0","1","Bulk","MINI MCR","Active","Signal Conditioner"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2865382,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2865382.jpg,277-16770-ND,2865382,Phoenix Contact,TRANSDUCER MEASURING 0/4-20MA,36,47,"415.79000","0","1","-","*","Active","-"
