Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","Applications","Number of Channels","Interface","Voltage - Supply","Operating Temperature","Specifications","Package / Case","Supplier Device Package"
https://www.akm.com/akm/en/file/datasheet/AK4104ET.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AK4104ETTR-ND,AK4104ET,AKM Semiconductor Inc.,IC TX DGTL AUD 192KHZ 16TSSOP,12000,0,"0.78300","0","3000","Tape & Reel (TR)","-","Active","Digital Audio Transmitter","Audio Systems","1","Serial","2.7V ~ 3.6V","-20°C ~ 85°C (TA)","24 b","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
https://www.akm.com/akm/en/file/datasheet/AK4104ET.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AK4104ETCT-ND,AK4104ET,AKM Semiconductor Inc.,IC TX DGTL AUD 192KHZ 16TSSOP,14324,0,"1.85000","0","1","Cut Tape (CT)","-","Active","Digital Audio Transmitter","Audio Systems","1","Serial","2.7V ~ 3.6V","-20°C ~ 85°C (TA)","24 b","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
https://www.akm.com/akm/en/file/datasheet/AK4104ET.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AK4104ETDKR-ND,AK4104ET,AKM Semiconductor Inc.,IC TX DGTL AUD 192KHZ 16TSSOP,14324,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Digital Audio Transmitter","Audio Systems","1","Serial","2.7V ~ 3.6V","-20°C ~ 85°C (TA)","24 b","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU7002.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CB-8-6;CB;8.jpg,ADAU7002ACBZ-R7TR-ND,ADAU7002ACBZ-R7,Analog Devices Inc.,IC STEREO PDM TDM CONV 8WLCSP,12000,0,"0.88628","0","3000","Tape & Reel (TR)","-","Active","Sample Rate Converter","Consumer Audio","2","I²S","1.62V ~ 3.6V","-40°C ~ 85°C (TA)","PDM-to-I²S","8-UFBGA, WLCSP","8-WLCSP (0.76x1.56)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU7002.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CB-8-6;CB;8.jpg,ADAU7002ACBZ-R7CT-ND,ADAU7002ACBZ-R7,Analog Devices Inc.,IC STEREO PDM TDM CONV 8WLCSP,14651,0,"1.99000","0","1","Cut Tape (CT)","-","Active","Sample Rate Converter","Consumer Audio","2","I²S","1.62V ~ 3.6V","-40°C ~ 85°C (TA)","PDM-to-I²S","8-UFBGA, WLCSP","8-WLCSP (0.76x1.56)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU7002.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CB-8-6;CB;8.jpg,ADAU7002ACBZ-R7DKR-ND,ADAU7002ACBZ-R7,Analog Devices Inc.,IC STEREO PDM TDM CONV 8WLCSP,14651,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Sample Rate Converter","Consumer Audio","2","I²S","1.62V ~ 3.6V","-40°C ~ 85°C (TA)","PDM-to-I²S","8-UFBGA, WLCSP","8-WLCSP (0.76x1.56)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm1972,"//media.digikey.com/Renders/Texas%20Instr%20Renders/20-SOIC,DW.jpg",LM1972MX/NOPBTR-ND,LM1972MX/NOPB,Texas Instruments,IC AUDIO ATTENUATR W/MUTE 20SOIC,1000,10000,"1.84800","0","1000","Tape & Reel (TR)","-","Active","Volume Control","Consumer Audio, Professional Audio","2","SPI","4.5V ~ 12V","0°C ~ 70°C (TA)","78dB","20-SOIC (0.295"", 7.50mm Width)","20-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm1972,"//media.digikey.com/Renders/Texas%20Instr%20Renders/20-SOIC,DW.jpg",LM1972MX/NOPBCT-ND,LM1972MX/NOPB,Texas Instruments,IC AUDIO ATTENUATR W/MUTE 20SOIC,1600,10001,"3.60000","0","1","Cut Tape (CT)","-","Active","Volume Control","Consumer Audio, Professional Audio","2","SPI","4.5V ~ 12V","0°C ~ 70°C (TA)","78dB","20-SOIC (0.295"", 7.50mm Width)","20-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm1972,"//media.digikey.com/Renders/Texas%20Instr%20Renders/20-SOIC,DW.jpg",LM1972MX/NOPBDKR-ND,LM1972MX/NOPB,Texas Instruments,IC AUDIO ATTENUATR W/MUTE 20SOIC,1600,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Volume Control","Consumer Audio, Professional Audio","2","SPI","4.5V ~ 12V","0°C ~ 70°C (TA)","78dB","20-SOIC (0.295"", 7.50mm Width)","20-SOIC"
https://www.akm.com/akm/en/file/datasheet/AK4127VF.pdf,//media.digikey.com/Photos/AKM%20Semiconductor/AK4127VFP-E2.jpg,974-1048-2-ND,AK4127VF,AKM Semiconductor Inc.,IC SRC 2 CHAN 192KHZ 30VSOP,2000,0,"2.05800","0","1000","Tape & Reel (TR)","-","Active","Sample Rate Converter","Digital Audio Interfacing","2","I²S","3V ~ 3.6V","-40°C ~ 85°C (TA)","8kHz ~ 216kHz","30-TSSOP (0.220"", 5.60mm Width)","30-VSOP"
https://www.akm.com/akm/en/file/datasheet/AK4127VF.pdf,//media.digikey.com/Photos/AKM%20Semiconductor/AK4127VFP-E2.jpg,974-1048-1-ND,AK4127VF,AKM Semiconductor Inc.,IC SRC 2 CHAN 192KHZ 30VSOP,2582,0,"4.24000","0","1","Cut Tape (CT)","-","Active","Sample Rate Converter","Digital Audio Interfacing","2","I²S","3V ~ 3.6V","-40°C ~ 85°C (TA)","8kHz ~ 216kHz","30-TSSOP (0.220"", 5.60mm Width)","30-VSOP"
