Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Channels","Voltage - Isolation","Common Mode Transient Immunity (Min)","Input Type","Current - Output / Channel","Propagation Delay tpLH / tpHL (Max)","Rise / Fall Time (Typ)","Voltage - Forward (Vf) (Typ)","Current - DC Forward (If) (Max)","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Approvals"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32SR3.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32SR3-ND,NSL-32SR3,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,12785,0,"3.24000","0","1","Bulk","-","Active","Photocell Optocoupler","1","-","-","-","-","-","5ms, 10ms","-","25mA","60V (Max)","-","Free Hanging","Module","-","-"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32-ND,NSL-32,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,5375,0,"3.26000","0","1","Bulk","-","Active","Photocell Optocoupler","1","-","-","-","-","-","-","-","40mA","60V (Max)","-","Free Hanging","Module","-","-"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32SR2.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32SR2-ND,NSL-32SR2,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,424,0,"3.45000","0","1","Bulk","-","Active","Photocell Optocoupler","1","-","-","-","-","-","5ms, 80ms","-","25mA","60V (Max)","-","Free Hanging","Module","-","-"
https://docs.broadcom.com/docs/AV02-3835EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1944-5-ND,HSSR-7110#300,Broadcom Limited,OPTOISO 1.5KV PWR MOSFET 8SMD GW,517,0,"93.40000","0","1","Tube","-","Active","Power MOSFET","1","1500VDC","-","DC","1.6A","6ms, 0.25ms","-","1.24V","20mA","-","-55°C ~ 125°C","Surface Mount","8-SMD, Gull Wing","8-SMD Gull Wing","-"
https://docs.broadcom.com/docs/AV02-3835EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-3078-ND,HSSR-7111,Broadcom Limited,OPTOISO 1.5KV POWER MOSFET 8DIP,73,0,"105.67000","0","1","Tube","-","Active","Power MOSFET","1","1500VDC","-","DC","1.6A","6ms, 0.25ms","-","1.24V","20mA","-","-55°C ~ 125°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","-"
https://docs.broadcom.com/docs/AFBR-POCxxxL-DS103,//media.digikey.com/Photos/Broadcom/MFG_AFBR-POC20xL.jpg,516-3890-ND,AFBR-POC206L,Broadcom Limited,PWR CONVERT OPTICAL 5V FC CONN,106,0,"402.99000","0","1","Bulk","-","Active","Optical Power Converter","1","-","-","-","170mA","-","-","-","-","-","-40°C ~ 85°C","Through Hole","Radial","-","-"
https://toshiba.semicon-storage.com/info/docget.jsp?did=16855&prodName=TLP557,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,TLP557F-ND,TLP557(F),Toshiba Semiconductor and Storage,OPTOISO 2.5KV TRANS INVERTR 8DIP,1499,0,"2.22000","0","1","Tube","-","Active","Power Transistor Driver","1","2500Vrms","2kV/µs","DC","320mA","5µs, 5µs","50ns, 50ns","1.55V","25mA","5V ~ 13V","-30°C ~ 70°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","UR"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5902.pdf/$file/CPC5902.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,CLA381-ND,CPC5902GS,IXYS Integrated Circuits Division,OPTOISO 3.75KV 2CH BIDIR 8SMD,564,0,"4.42000","0","1","Tube","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-SMD","UR, TUV"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32SR2S.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32SR2S-ND,NSL-32SR2S,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,254,0,"4.62000","0","1","Bulk","-","Active","Photocell Optocoupler","1","-","-","-","-","-","5ms, 80ms","-","25mA","60V (Max)","-","Free Hanging","Module","-","-"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5902.pdf/$file/CPC5902.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,CLA380-ND,CPC5902G,IXYS Integrated Circuits Division,OPTOISO 3.75KV 2CH BIDIR 8DIP,747,0,"4.74000","0","1","Tube","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","UR, TUV"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1662-5-ND,HCPL-2602-000E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP,1094,0,"6.80000","0","1","Tube","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
//media.digikey.com/pdf/Data%20Sheets/Photonic%20Detetectors%20Inc%20PDFs/NSL-33-007.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-33-007.JPG,NSL-33-007-ND,NSL-33-007,Advanced Photonix,OPTOCOUPLER CDS DUAL 2000V,280,0,"7.34000","0","1","Bulk","-","Active","Photocell Optocoupler","2","2000Vrms","-","DC","-","-","1.2ms, 2.1ms","2.1V","20mA","100V (Max)","-40°C ~ 75°C","Through Hole","Axial - 5 leads","-","-"
