Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Mounting Type","Specifications"
-,//media.digikey.com/Photos/TDK%20Photos/TRANSDUCER-KIT-ND.jpg,445-175123-KIT-ND,TRANSDUCER-KIT-ND,TDK Corporation,PIEZO TRANSDUCER KIT,4,0,"22.87000","0","1","-","-","Active","Buzzers","20 Pieces (10 Values - 2 Each)","Through Hole","Piezo"
-,//media.digikey.com/photos/Soberton%20Photos/433-1113-KIT.JPG,433-1113-KIT-ND,433-1113-KIT,Soberton Inc.,SPEAKER KIT,6,0,"38.42000","0","1","Bulk","SP Micro Speaker","Active","Speaker","21 Pieces (7 Values - 3 Each)","Wire Lead","-"
https://www.soberton.com/wp-content/uploads/2019/02/EM-4015N-14-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/433-1230-KIT-PRIMARY.jpg,433-1230-KIT-ND,433-1230-KIT,Soberton Inc.,NOISE CANCELLING MICROPHONE KIT,9,0,"41.26000","0","1","-","*","Active","-","-","-","-"
http://www.puiaudio.com/pdf/AS01808MS-SC18-WP-R.pdf,//media.digikey.com/Photos/PUI%20Audio/668-1671-KIT.JPG,668-1671-KIT-ND,668-1671-KIT,"PUI Audio, Inc.",MOBILE SPEAKERS AND RECIEVER KIT,6,0,"43.81000","0","1","-","*","Active","-","-","-","-"
-,//media.digikey.com/Photos/PUI%20Audio/668-1506-KIT.JPG,668-1506-KIT-ND,668-1506-KIT,"PUI Audio, Inc.",THRU-HOLE TRANSDUCERS,7,0,"44.23000","0","1","Bulk","AT","Active","Buzzers","26 Pieces (10 Values - Mixed Quantities)","Through Hole","Magnetic, Piezo"
https://www.soberton.com/wp-content/uploads/2018/05/E-4408-Rev-A_2018.pdf,//media.digikey.com/Photos/Soberton%20Photos/433-1231-KIT.jpg,433-1231-KIT-ND,433-1231-KIT,Soberton Inc.,EXCITER DESIGN KIT,4,0,"48.46000","0","1","-","*","Active","-","-","-","-"
-,//media.digikey.com/Photos/TDK%20Photos/BUZZER-KIT-ND.jpg,445-175122-KIT-ND,BUZZER-KIT-ND,TDK Corporation,MAGNETIC BUZZER KIT,10,0,"49.20000","0","1","-","-","Active","Buzzers","22 Pieces (11 Values - 2 Each)","Through Hole","Magnetic"
-,//media.digikey.com/Photos/Soberton%20Photos/WST-KIT.JPG,433-1168-KIT-ND,WST-KIT,Soberton Inc.,BUZZER MAGNETIC INTERNAL DRIVE,8,0,"52.67000","0","1","-","WST","Active","Buzzers","30 Pieces (10 Values - 3 Each)","Through Hole","Magnetic"
-,//media.digikey.com/Photos/PUI%20Audio/668-1522-KIT.jpg,668-1522-KIT-ND,668-1522-KIT,"PUI Audio, Inc.",LEADED PIEZO KIT,4,0,"53.55000","0","1","Bulk","-","Active","Buzzers","36 Pieces (12 Values - 3 Each)","Through Hole","Piezo"
-,//media.digikey.com/photos/Soberton%20Photos/433-1114-KIT.JPG,433-1114-KIT-ND,433-1114-KIT,Soberton Inc.,MICROPHONE KIT,5,0,"56.24000","0","1","Bulk","EM","Active","Microphone","60 Pieces (12 Values - 5 Each)","Surface Mount, Through Hole","Electret Condenser"
