Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Capacitance Range","Mounting Type","Voltage - Rated","Tolerance","Applications","Features","Quantity","Packages Included"
http://www.vishay.com/docs/45234/khsamplekit.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/MFG_HOTC-KIT-KH.jpg,BC3213-ND,HOTC-KIT-KH,Vishay BC Components,CAP KIT CERAMIC 100PF-1UF 240PCS,390,0,"39.60000","0","1","Bulk","HOTcap®","Active","Ceramic","100pF ~ 1µF","Through Hole","50 ~ 200 V","±5%, ±10%","Automotive","-","240 Pieces (24 Values - 10 Each)","Radial"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/885050_Design-Kit_WCAP-CSGP_0402.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_8850x0.jpg,732-6948-ND,885050,Wurth Electronics Inc.,CAP KIT CERAMIC 1PF-4.7UF 4320PC,40,0,"140.00000","0","1","Plastic Box with Bin Guide","WCAP-CSGP","Active","Ceramic","1pF ~ 4.7µF","Surface Mount, MLCC","6.3 ~ 50 V","±0.5pF, ±5%, ±10%, ±20%","General Purpose","-","4320 Pieces (72 Values - 60 Each)","0402 (1005 Metric)"
-,//media.digikey.com/Photos/Murata%20Photos/GRM-KIT-C0G-DE.JPG,490-12153-ND,GRM-KIT-C0G-DE,Murata Electronics North America,CAP KIT CER 100PF-0.12UF 1420PC,49,0,"142.17000","0","1","Binder","GRM","Obsolete","Ceramic","100pF ~ 0.12µF","Surface Mount, MLCC","25 ~ 100 V","±5%","General Purpose","-","1420 Pieces (Assorted Per Value)","0603, 0805, 1206"
https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/S603DS.jpg,712-1159-ND,S603DS,Johanson Technology Inc.,CAP KIT CER 0.3PF-82PF 1400PCS,17,0,"45.38000","0","1","Plastic Box with Bin Guide","S","Active","Ceramic","0.3pF ~ 82pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","1400 Pieces (28 Values - 50 Each)","0603 (1608 Metric)"
https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/S402DS.jpg,712-1158-ND,S402DS,Johanson Technology Inc.,CAP KIT CERAMIC 0.2PF-30PF 560PC,14,0,"45.38000","0","1","Plastic Box with Bin Guide","S","Active","Ceramic","0.2pF ~ 30pF","Surface Mount, MLCC","50V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","560 Pieces (28 Values - 20 Each)","0402 (1005 Metric)"
-,//media.digikey.com/photos/Murata%20Photos/GJM15-KIT-DE-2.jpg,490-12158-ND,GJM15-KIT-DE-2,Murata Electronics North America,CAP KIT CER 5.1PF-47PF 1260PCS,18,0,"83.54000","0","1","Binder","GJM","Active","Ceramic","5.1pF ~ 47pF","Surface Mount, MLCC","50V","±0.1pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","1260 Pieces (63 Values - 20 Each)","0402 (1005 Metric)"
-,//media.digikey.com/Photos/Murata%20Photos/GJM03-KIT-DE-1.jpg,490-12155-ND,GJM03-KIT-TTOL-DE,Murata Electronics North America,CAP KIT CERAM 0.2PF-33PF 1380PC,1,0,"85.66000","0","1","Binder","GJM","Active","Ceramic","0.2pF ~ 33pF","Surface Mount, MLCC","25V, 50V","±0.05pF, ±0.1pF, ±2%","RF, Microwave, High Frequency","High Q, Low Loss","1380 Pieces (69 Values - 20 Each)","0201 (0603 Metric)"
//media.digikey.com/pdf/Data%20Sheets/American%20Technical%20Ceramics/Design_Kits_2-22-18.pdf,//media.digikey.com/Photos/American%20Technical%20Ceramics/DK0025T.jpg,1284-1788-ND,DK0025T,American Technical Ceramics,CAP KIT CERAMIC 0.1PF-2PF 240PC,24,0,"98.21000","0","1","-","ATC 600S","Active","Ceramic","0.1pF ~ 2pF","Surface Mount, MLCC","-","±0.1pF, ±0.25pF","RF, Microwave, High Frequency","Ultra Low ESR","240 Pieces (16 Values - 15 Each)","Surface Mount, MLCC"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/885070_Design-Kit_WCAP-CSGP_0805.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_8850x0.jpg,732-6950-ND,885070,Wurth Electronics Inc.,CAP KIT CERAMIC 1PF-47UF 3600PCS,24,0,"140.00000","0","1","Plastic Box with Bin Guide","WCAP-CSGP","Active","Ceramic","1pF ~ 47µF","Surface Mount, MLCC","6.3 ~ 50 V","±0.5pF, ±5%, ±10%, ±20%","General Purpose","-","3600 Pieces (72 Values - 50 Each)","0805 (2012 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/885060_Design-Kit_WCAP-CSGP_0603.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_8850x0.jpg,732-6949-ND,885060,Wurth Electronics Inc.,CAP KIT CERAMIC 1PF-10UF 3600PCS,4,0,"140.00000","0","1","Plastic Box with Bin Guide","WCAP-CSGP","Active","Ceramic","1pF ~ 10µF","Surface Mount, MLCC","6.3 ~ 50 V","±0.5pF, ±5%, ±10%, ±20%","General Purpose","-","3600 Pieces (72 Values - 50 Each)","0603 (1608 Metric)"
//media.digikey.com/pdf/Data%20Sheets/American%20Technical%20Ceramics/Design_Kits_2-22-18.pdf,//media.digikey.com/photos/American%20Technical%20Ceramics/DK0008T.JPG,1284-1773-ND,DK0008T,American Technical Ceramics,CAP KIT CERAMIC 1PF-10PF 240PC,16,0,"160.63000","0","1","-","Porcelain Superchip® ATC 100B","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","-","±0.1pF, ±0.25pF, ±5%","-","-","240 Pieces (16 Values - 15 Each)","Surface Mount, MLCC"
//media.digikey.com/pdf/Data%20Sheets/American%20Technical%20Ceramics/Design_Kits_2-22-18.pdf,//media.digikey.com/Photos/American%20Technical%20Ceramics/DK0009T.JPG,1284-1775-ND,DK0009T,American Technical Ceramics,CAP KIT CERAMIC 10PF-100PF 240PC,15,0,"160.63000","0","1","-","Porcelain Superchip® ATC 100B","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","-","±5%","-","-","240 Pieces (16 Values - 15 Each)","Surface Mount, MLCC"
http://catalogs.avx.com/RF-Microwave.pdf#page=119,//media.digikey.com/Photos/AVX%20Photos/KITTYPE1300LF.jpg,478-9779-ND,KITTYPE1300LF,AVX Corporation,CAP KIT THIN FILM 0.1-22PF 600PC,8,0,"191.90000","0","1","Plastic Box with Bin Guide","Accu-P®","Active","Thin Film","0.1pF ~ 22pF","Surface Mount","16 ~ 100 V","±0.05pF, ±0.02pF, ±0.1pF, ±2%","RF, Microwave, High Frequency","High Q, Low Loss","600 Pieces (30 Values - 20 Each)","0402 (1005 Metric)"
http://www.cde.com/resources/catalogs/KIT-BOMs-FOR-WEB.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/MICA-KIT1F.jpg,338-4449-ND,MICA-KIT1,Cornell Dubilier Electronics (CDE),CAP KIT MICA 5PF-1000PF 240PCS,10,0,"220.20000","0","1","Plastic Box with Bin Guide","CD5, CD10, CD15, CD19, CDV19","Active","Mica","5pF ~ 1000pF","Through Hole","100 ~ 1000 V (1kV)","±0.5pF, ±5%","General Purpose","-","240 Pieces (48 Values - 5 Each)","Radial"
http://www.vishay.com/docs/28550/ay2series.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/MFG_AY21-KIT-HF%20Closed.jpg,BC2917-ND,AY21-KIT-HF,Vishay BC Components,CAP KIT CER 100PF-4700PF 70PCS,82,0,"30.63000","0","1","Plastic Box with Bin Guide","AY2","Active","Ceramic","100pF ~ 4700pF","Through Hole","440VAC","±10%, ±20%","Automotive, Safety","X1Y2 Safety Rated","70 Pieces (7 Values - 10 Each)","Radial"
