Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Kit Contents"
https://www.tdk-electronics.tdk.com/inf/130/ptc_thermistors_heating_12v.pdf,//media.digikey.com/Photos/Epcos%20Photos/B59004Z999A99.jpg,495-5813-ND,B59004Z0999A099,EPCOS (TDK),CIRC PRT KIT PTC HEAT ELEM 36PC,7,0,"25.20000","0","1","-","-","Active","PTC Heating Elements","36 Pieces - 12 Values (3 Each)"
https://www.tdk-electronics.tdk.com/inf/130/ptc_thermistors_heating_230v.pdf,//media.digikey.com/Photos/Epcos%20Photos/B59005Z999A99.JPG,495-5812-ND,B59005Z0999A099,EPCOS (TDK),CIRC PRT KIT PTC HEAT ELEM 36PC,7,0,"25.20000","0","1","-","-","Active","PTC Heating Elements","36 Pieces - 12 Values (3 Each)"
-,//media.digikey.com/Photos/Ametherm%20Photos/MFG_Mini-Sample-Kit.jpg,570-1183-ND,MINI SAMPLE KIT,Ametherm,CIRC PRT KIT INRUSH CUR LMT 16PC,18,0,"37.80000","0","1","Plastic Box with Bin Guide","SL","Active","Inrush Current Limiters (ICL)","16 pcs - 8 values"
-,//media.digikey.com/Photos/Ametherm%20Photos/MFG_Megasurge-Sample-Kit.jpg,570-1185-ND,MEGASURGE SAMPLE KIT,Ametherm,CIRC PRT KIT INRUSH CUR LMT 10PC,16,0,"37.80000","0","1","Plastic Box with Bin Guide","MegaSurge™","Active","Inrush Current Limiters (ICL)","10 pcs - 5 values"
-,//media.digikey.com/Photos/Ametherm%20Photos/MFG_Standard-Sample-Kit-.jpg,570-1184-ND,STANDARD SAMPLE KIT,Ametherm,CIRC PRT KIT INRUSH CUR LMT 18PC,11,0,"37.80000","0","1","Plastic Box with Bin Guide","SL","Active","Inrush Current Limiters (ICL)","18 pcs - 9 values"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/823999_Design_Kit.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/823999.jpg,732-4493-ND,823999,Wurth Electronics Inc.,CIRC PRTCT KIT ESD PROT 930PC,3,0,"117.50000","0","1","Plastic Box with Bin Guide","-","Active","ESD Protection","930 pcs - 32 values"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_aumov_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_00940510Z.JPG,F10977-ND,00940510Z,Littelfuse Inc.,CIRC PRTCT KIT VARISTOR 160PC,8,0,"27.12000","0","1","-","AUMOV™","Active","Varistor","160 pcs - 8 Values (20 Each)"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lv_ultramov_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/00940509Z.jpg,F10975-ND,00940509Z,Littelfuse Inc.,CIRC PRTCT KIT VARISTOR 95PC,11,0,"29.70000","0","1","-","-","Active","Varistor","95 pcs - 10 values"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_auml_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/00940511Z.jpg,F10976-ND,00940511Z,Littelfuse Inc.,CIRC PRTCT KIT VARISTOR 530PC,7,0,"30.24000","0","1","-","-","Active","Varistor","530 pcs - 20 values"
https://www.tdk-electronics.tdk.com/inf/130/ctvs_sp.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B72499H9999K199.jpg,495-76082-ND,B72499H9999K199,EPCOS (TDK),CIRC PRTCT KIT ESD PROT ASSORTED,9,0,"37.00000","0","1","-","-","Active","ESD Protection","Assorted"
//media.digikey.com/pdf/Data%20Sheets/Thermometrics%20Global%20Business%20PDFs/A-2130_Inrush_Current_Limiter_Kit.pdf,//media.digikey.com/Photos/Amphenol%20Photos/A-2130.JPG,235-1519-ND,A-2130,Amphenol Advanced Sensors,CIRC PRT KIT INRUSH CURRNT 160PC,22,0,"216.00000","0","1","-","-","Active","Inrush Current Limiters (ICL)","160 Pieces - 32 Values (5 Each)"
https://www.tdk-electronics.tdk.com/inf/130/ctvs.pdf,//media.digikey.com/Photos/Epcos%20Photos/B72499A9999K199.JPG,495-6640-ND,B72499A9999K199,EPCOS (TDK),CIRC PRTCT KIT ESD PROT 283PC,3,0,"37.00000","0","1","Plastic Box with Bin Guide","CeraDiode","Active","ESD Protection","283 pcs - 27 values"
https://www.tdk-electronics.tdk.com/inf/130/ctvs_gu.pdf,//media.digikey.com/Photos/Epcos%20Photos/B72499S9999K099.jpg,495-6924-ND,B72499S9999K199,EPCOS (TDK),CIRC PRTCT KIT ESD PROT 292PC,2,0,"37.00000","0","1","Plastic Box with Bin Guide","CeraDiode","Active","ESD Protection","292 pcs - 27 values"
https://www.tdk-electronics.tdk.com/inf/130/ctvs_ie.pdf,//media.digikey.com/Photos/Epcos%20Photos/B72499I9999K199.JPG,495-7270-ND,B72499I9999K199,EPCOS (TDK),CIRC PRTCT KIT VARISTOR 309PC,2,0,"37.00000","0","1","Notebook","-","Active","Varistor","309 pcs - 27 values"
https://en.tdk.eu/download/175782/d53319dc67985fdc4f7f89aca26de003/shcv-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B72482S9999X2.jpg,495-6730-ND,B72482S9999X2,EPCOS (TDK),CIRC PRTCT KIT RFI SUPPRES 18PC,1,0,"37.00000","0","1","Plastic Box with Bin Guide","SHCV","Active","RFI Suppression","18 pcs - 9 values"
https://en.tdk.eu/inf/130/ceradiode_esd_protection.pdf,//media.digikey.com/Photos/Epcos%20Photos/B72499C9999D99.JPG,495-3681-ND,B72499C9999D99,EPCOS (TDK),CIRC PRTCT KIT ESD PROT ASSORTED,0,0,"37.00000","0","1","Plastic Box with Bin Guide","CeraDiode","Active","ESD Protection","Assorted"
https://www.bourns.com/docs/technical-documents/featured-product-bulletins/Bourns_KLM1603_Mini-Breaker_Kit_NPR.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_LC-LAB1.jpg,LC-LAB1-ND,LC-LAB1,Bourns Inc.,CIRC PRTCT KIT THERMOSTAT 5PC,3,0,"20.80000","0","1","Plastic Box with Bin Guide","Komatsulite™, LC","Active","Thermostat","5 pcs - 4 values"
