Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Kit Contents"
http://www.panduit.com/heiler/CatalogCutSheets/EMS-A-C%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_EMSK3-1-X0.jpg,298-14437-ND,EMSK3-1-X0,Panduit Corp,EPOXY MNT KIT,116,0,"10.86000","0","1","-","-","Active","Epoxy Applied Mount","5 pcs (3 EMS Mounts, Epoxy Cup and Mixing Stick, Black)"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3710.JPG,3M156111-ND,RF3710,3M,SCOTCH(TM) BUNDLING STRAPS RF371,67,0,"3.90000","0","1","Package Card","Scotch™","Active","Cable Ties","5 Straps (Black)"
//media.digikey.com/PDF/Data%20Sheets/Panduit%20PDFs/KB-550.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_KB-550.jpg,298-10262-ND,KB-550,Panduit Corp,CABLE TIE PAN-TY ASSORT 100/PKG,40,0,"27.94000","0","1","Bag","PAN-TY®","Active","Cable Ties","100 Cable Ties (60 ea of Natural, 40 ea of Black)"
http://multimedia.3m.com/mws/media/105553O/3mtm-cable-ties.pdf,//media.digikey.com/Photos/3M%20Photos/CT06220.jpg,3M128PKC-ND,CT06220,3M,ASSORTMENT PACK CABLE TIE,600,0,"0.37790","0","100","Bag","-","Active","Cable Ties","100 Cable Ties (60 ea of Natural, 40 ea of Black)"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3730.JPG,3M156112-ND,RF3730,3M,SCOTCH(TM) BUNDLING STRAP RF3730,32,0,"3.90000","0","1","Package Card","Scotch™","Active","Cable Ties","6 Straps (Multi)"
-,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KB-551.jpg,298-11574-ND,KB-551,Panduit Corp,CABLE TIE BARBTY ASSORTED,30,0,"27.94000","0","1","Bag","-","Active","Cable Ties","100 Cable Ties (60 ea of Natural, 40 ea of Black)"
http://www.panduit.com/heiler/CatalogCutSheets/KP-506A%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KP-506A.jpg,298-11576-ND,KP-506A,Panduit Corp,BOX CABLE TIE PLASTIC NAT,3,0,"91.12000","0","1","Plastic Box with Bin Guide","-","Active","Cable Ties","350 Cable Ties (Natural)"
http://www.panduit.com/heiler/CatalogCutSheets/KP-506A%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/KP-506A-0.jpg,298-11575-ND,KP-506A-0,Panduit Corp,BOX CABLE TIE PLASTIC BLK,11,0,"102.10000","0","1","Plastic Box with Bin Guide","-","Active","Cable Ties","350 Cable Ties (Black)"
http://www.panduit.com/heiler/PartDrawings/C-CTKP-509-GB0239EG--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KP-509.jpg,298-11578-ND,KP-509,Panduit Corp,CT/WA DESIGNERKIT,7,0,"220.34000","0","1","-","-","Active","Cable Ties","600 pcs - Assortment"
http://www.panduit.com/heiler/ProductBulletins/D-CTCB46--WW-ENG-PAN-POUCHandPocketPouch-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PPC25X50F.jpg,298-11583-ND,PPC25X50F,Panduit Corp,PAN POUCH CANVAS WITH CABLE TIES,12,0,"283.34000","0","1","Carrying Case","-","Active","Cable Ties","1250 Cable Ties (50 each of all 24 Striped Ties + Solid Red)"
http://www.panduit.com/heiler/CatalogCutSheets/PPC25X50F%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_K-504.jpg,298-11568-ND,K-504,Panduit Corp,KIT TERMINAL W/CABLE TIES STEEL,7,0,"339.29000","0","1","Metal Box with Bin Guide","-","Active","Cable Ties","601 pcs (400 Natural Cable Ties, 200 Mounts, and STS2)"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3740.JPG,3M156110-ND,RF3740,3M,"SCOTCH(TM) BUNDLING WRAP, RF3740",10,0,"8.75000","0","1","Package Card","Scotch™","Active","Cable Ties","12' (3.66m) Reel of Strapping, Black"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3750.JPG,3M156109-ND,RF3750,3M,"SCOTCH(TM) BUNDLING WRAP RF3750,",5,0,"17.63000","0","1","Package Card","Scotch™","Active","Cable Ties","30' (9.14m) Reel of Strapping, Black"
http://www.panduit.com/heiler/PartDrawings/SS_4119pocketpouch.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PP5X50F.jpg,298-11582-ND,PP5X50F,Panduit Corp,POCKET POUCH W/ASST CABLE TIES,2,0,"74.24000","0","1","Carrying Case","-","Active","Cable Ties","250 Cable Ties (50 ea Blue, Brown, Green, Orange, and Slate with White Stripe)"
-,-,RF8030-ND,RF8030,3M,BUNDLING STRAPS 1/2""X15"" 6-PACK,0,0,"4.68000","0","24","Package Card","-","Active","Cable Ties","6 Straps (Black)"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/854-44448.pdf,-,GTASST-ND,GTASST,HellermannTyton,GRIP TIE ASSORTMENT,0,0,"8.92000","0","1","Plastic Bag","-","Active","Cable Ties","6 pcs - Assortment"
http://www.panduit.com/heiler/CatalogCutSheets/EMS-A-C%20Product%20Page.pdf,-,EMSK3-1-3-0-ND,EMSK3-1-3-0,Panduit Corp,EPOXY MNT KIT,0,0,"12.88800","0","10","-","-","Active","Epoxy Applied Mount","8 pcs (3 EMS Mounts, 3 Cable Ties, Epoxy Cup and Mixing Stick, Black)"
http://www.panduit.com/heiler/CatalogCutSheets/EMS-A-C%20Product%20Page.pdf,-,EMSK12-4-12-X0-ND,EMSK12-4-12-X0,Panduit Corp,EPOXY MNT KIT,0,0,"36.54000","0","10","-","-","Active","Epoxy Applied Mount","23 pcs (12 EMS Mounts, 3 Cable Ties, 4 Epoxy Cups and Mixing Sticks, Black)"
http://www.panduit.com/ccurl/152/339/electrical-full-line-pdf-catalog2.pdf#page=456,-,CCMKIT1-ND,CCMKIT1,Panduit Corp,CABLE MGMT KIT FOR CABINET,0,0,"73.15000","0","1","Plastic Bag","-","Active","Cable Ties","Cable Ties, Cable Tie Mounts, Saddles, Standoffs"
http://www.panduit.com/ccurl/152/339/electrical-full-line-pdf-catalog2.pdf#page=456,-,CCMKIT2-ND,CCMKIT2,Panduit Corp,VARIOUS WA PARTS FOR ENCLOSURES,0,0,"75.37000","0","1","Plastic Bag","-","Active","Cable Ties","Cable Ties, Cable Tie Mounts, Saddles, Standoffs"
http://www.panduit.com/heiler/PartDrawings/SS_27557.pdf,-,DTKH-0-ND,DTKH-0,Panduit Corp,CABLE TIE KIT HEAVY,0,0,"77.05000","0","1","Plastic Bag","DURA-TY™","Active","Cable Ties","50' (15.24m) Reel of Strapping and 1 Bag of 25 Cable Tie Heads, Black"
http://www.panduit.com/heiler/CatalogCutSheets/DTRH-LR0%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_DTKEH-0.jpg,DTKEH-0-ND,DTKEH-0,Panduit Corp,CABLE TIE 5O' STRAP/25 TIES,0,0,"85.61000","0","1","Plastic Bag","DURA-TY™","Active","Cable Ties","50' (15.24m) Reel of Strapping and 1 Bag of 25 Cable Tie Heads, Black"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/System%20for%20Harsh%20Environments%20Catalog.pdf,-,KP-515-ND,KP-515,Panduit Corp,KIT MAIN W/TOOL STAINLESS STEEL,0,0,"316.64000","0","1","Plastic Box with Bin Guide","-","Active","Cable Ties","272 pcs (100 Cable Ties, 50 Marker Plates, 20 Cushion Sleeve, Installation Tool)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_RF8020.jpg,RF8020-ND,RF8020,3M,BUNDLING STRAPS 1/2""X11"" 6-PACK,0,0,"Obsolete","0","6","Package Card","-","Obsolete","Cable Ties","6 Straps (Black)"
-,-,T18RPICPAC-ND,T18RPICPAC,HellermannTyton,"VINYL CASE W/1,300 TIES KIT",0,0,"Obsolete","0","1","Carrying Case","-","Obsolete","Cable Ties","1300 pcs - 50 ea of 26 values"
-,-,T18RPOCKETPAC-ND,T18RPOCKETPAC,HellermannTyton,T18R STRPD TIE PCKT PK,0,0,"Obsolete","0","1","Carrying Case","-","Obsolete","Cable Ties","50 pcs - 10 ea of 5 values"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3782.JPG,3M156106-ND,RF3782,3M,"SCOTCH(TM) SECURE STRAP RF3782,",0,0,"Obsolete","0","1","Package Card","Scotch™","Obsolete","Cable Ties","2 ea of 36"" (914.40mm) Reel of Strapping, Black"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3780.JPG,3M156107-ND,RF3780,3M,SCOTCH(TM) GARAGE ORGANIZER RF37,0,0,"Obsolete","0","2","Package Card","Scotch™","Obsolete","Cable Ties","30"" (762.00mm) Reel of Strapping, Black and 1 Bracket"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF3781.JPG,3M156108-ND,RF3781,3M,"SCOTCH(TM) HANDLE STRAP RF3781,",0,0,"Obsolete","0","2","Package Card","Scotch™","Obsolete","Cable Ties","Handle Strap, Black"
