Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Values"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/TPI-3000A.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-3000A.jpg,290-1045-ND,TPI-3000A,TPI (Test Products Int),KIT COAX ADAPTER CONNECTOR,33,81,"152.87000","0","1","Carrying Case","-","Active","RF","17 Adapters: BNC, F, N, RCA, SMA, TNC, UHF"
https://www.pomonaelectronics.com/file/17830/download?token=jqPRGAwo,//media.digikey.com/photos/Pomona%20Photos/5698.jpg,501-1034-ND,5698,Pomona Electronics,KIT ADAPTER UNIVERSAL COAX RF,3,0,"244.99000","0","1","Plastic Carrying Case","-","Active","RF","16 Adapters: Universal Adapter"
http://www.testproductsintl.com/wp-content/uploads/2015/11/5000A-specs.pdf,//media.digikey.com/photos/TPI%20Photos/TPI%205000A.JPG,290-1921-ND,TPI-5000A,TPI (Test Products Int),RF CONNECTOR ADAPTER KIT,10,21,"250.38000","0","1","Plastic Carrying Case","-","Active","RF","20 Adapters: Banana Plug, BNC, F, N, RCA, SMA, TNC, UHF"
https://www.pomonaelectronics.com/file/17838/download?token=si53wb9y,//media.digikey.com/photos/Pomona%20Photos/5748.jpg,501-1035-ND,5748,Pomona Electronics,KIT ADAPTER MAXI UNIV COAX RF,4,0,"399.99000","0","1","Plastic Carrying Case","-","Active","RF","16 Adapters: Maxi Universal Adapter"
//media.digikey.com/pdf/Data%20Sheets/Emerson%20PDFs/ADPTKITBCK.pdf,//media.digikey.com/photos/Emerson%20Network%20Photos/142-0000-005.jpg,J687-ND,142-0000-005,Cinch Connectivity Solutions Johnson,KIT RF ADAPTER 50 OHM 72PCS,11,0,"457.50000","0","1","Plastic Box with Bin Guide","-","Active","RF","72 Adapters: Assorted"
https://www.pomonaelectronics.com/file/18225/download?token=cc25-4Ok,//media.digikey.com/Photos/Pomona%20Photos/72934.jpg,501-1238-ND,72934,Pomona Electronics,KIT MULTI-RF DIRECT ADAPTER,5,0,"489.99000","0","1","Plastic Box with Bin Guide","-","Active","RF","26 Adapters: Multi-RF Direct"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-4022.JPG,290-1931-ND,TPI-4022,TPI (Test Products Int),CONN UNIV ADPT EXPANSON KIT 70PC,15,0,"1090.87000","0","1","Plastic Carrying Case","-","Active","RF","70 Adapters: Assorted Female, Male, Phono Jack"
https://www.pomonaelectronics.com/file/17794/download?token=wQSPfZei,//media.digikey.com/photos/Pomona%20Photos/MFG_5510.jpg,501-1572-ND,5510,Pomona Electronics,ADT KIT BNC-BAN PLUG & BIND POST,13,0,"69.99000","0","1","Plastic Carrying Case","-","Active","BNC","6 Adapters: BNC to Banana Plug"
http://www.caltestelectronics.com/documents/Cal_Test_Cat_No_23.pdf,//media.digikey.com/Photos/Cal-Test-Electronics/MFG_CT2701A.jpg,CT2701A-ND,CT2701A,Cal Test Electronics,COAX ADAPTER KIT NPLT ZIPPER POU,8,0,"150.00000","0","1","Carrying Case","Cal Test","Active","RF","30 Adapters: BNC, F, Mini-UHF, N, RCA, SMA, TNC, UHF, 6 Universal Adapters"
https://www.pomonaelectronics.com/file/17796/download?token=wfv9gOxp,//media.digikey.com/photos/Pomona%20Photos/MFG_5511.jpg,501-1735-ND,5511/POM,Pomona Electronics,KIT BNC COUPLER AND TEE,2,0,"102.99000","0","1","Plastic Carrying Case","-","Active","BNC","6 Adapters: BNC Series 5511"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/Photos/TPI%20Photos/tpi-4024wifi.jpg,290-1927-ND,TPI-4024WIFI,TPI (Test Products Int),CONN BASIC ADAPTER KIT FOR WIFI,3,4,"307.42000","0","1","Carrying Case","-","Active","WiFi","30 Adapters: Assorted Female, Male"
https://www.pomonaelectronics.com/file/18221/download?token=wbzMHN27,//media.digikey.com/photos/Pomona%20Photos/Pomona_72931.jpg,501-1235-ND,72931,Pomona Electronics,KIT SMA ADAPTER,2,0,"309.99000","0","1","Plastic Carrying Case","-","Active","RF","15 Adapters: SMA Adapter"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/Photos/TPI%20Photos/tpi-4023wifi.jpg,290-1929-ND,TPI-4023WIFI,TPI (Test Products Int),CONN EXPAND ADPT KIT WIFI 41PC,6,2,"478.42000","0","1","Plastic Carrying Case","-","Active","WiFi","41 Adapters: Assorted Banana Plug and Post, Female, Male"
-,//media.digikey.com/photos/Amphenol%20Photos/312100.JPG,ACX1565-ND,312100,Amphenol RF Division,KIT ADAPTERS N TO 7/16 SERIES,7,0,"367.50000","0","1","Carrying Case","-","Active","RF","7 Adapters: Type N to 7/16"
http://www.caltestelectronics.com/documents/Cal_Test_Cat_No_23.pdf,-,CT2702A-ND,CT2702A,Cal Test Electronics,GEN PUR GRADE BNC & N TYPE ADAPT,2,0,"121.00000","0","1","Carrying Case","Cal Test","Active","BNC, N-Type","12 Adapters: BNC, N-Type"
-,//media.digikey.com/Photos/Linx%20Tech%20Photos/MFG_ADP-KIT-001.jpg,ADP-KIT-001-ND,ADP-KIT-001,Linx Technologies Inc.,SMA RF ADAPTER KIT,17,0,"149.99000","0","1","Carrying Case","-","Active","RF","15 Adapters: SMA Adapter"
https://www.pomonaelectronics.com/file/18223/download?token=aw2Rv6f_,//media.digikey.com/photos/Pomona%20Photos/Pomona_72932.jpg,501-1236-ND,72932,Pomona Electronics,KIT N ADAPTER,1,0,"389.99000","0","1","Plastic Carrying Case","-","Active","RF","12 Adapters: Type N"
http://www.globalspecialties.com/media/k2/attachments/GSA-2702A_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSA-2702A.jpg,GSA-2702A-ND,GSA-2702A,Global Specialties,GEN PUR GRADE BNC-N ADPTR KIT,0,0,"121.00000","0","1","Plastic Carrying Case","-","Active","BNC, N-Type","12 Adapters: BNC, N-Type"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-4012.JPG,290-1934-ND,TPI-4012,TPI (Test Products Int),CONN ADAPTER TNC KIT 18PCS,0,0,"146.43000","0","1","Carrying Case","-","Active","RF","18 Adapters: TNC to BNC, NEC, RCA, SMA, UHF"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-4027.JPG,290-1936-ND,TPI-4027,TPI (Test Products Int),CONN ADAPTER SMA KIT 13PC,0,1,"193.24000","0","1","Carrying Case","-","Active","RF","13 Adapters: BNC, N, SMA, TNC, UHF to SMA"
-,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_CT3379.jpg,CT3379-ND,CT3379,Cal Test Electronics,INSTRUMENT GRADE N TYPE ADAPTER,0,0,"229.30000","0","1","Carrying Case","Cal Test","Active","N Adapter","6 Adapters: N-Type"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-4021.JPG,290-1938-ND,TPI-4021,TPI (Test Products Int),CONN ADPT MOBILE RADIO KIT 24PC,0,0,"267.14000","0","1","Carrying Case","-","Active","RF","24 Adapters: BNC, N, UHF"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/Photos/TPI%20Photos/TPI-4010.jpg,290-1937-ND,TPI-4010,TPI (Test Products Int),CONN ADPT MASTER CELL RADIO KIT,0,0,"323.33000","0","1","Carrying Case","-","Active","RF","34 Adapters: TNC to BNC, FME, N, RCA, TNC and Mini-UHF to BNC, Mini-UHF, N, SMA, TNC, UHF"
-,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_CT3378.jpg,CT3378-ND,CT3378,Cal Test Electronics,INSTRUMENT GRADE BNC ADAPTER KIT,0,0,"377.25000","0","1","Carrying Case","Cal Test","Active","BNC","9 Adapters: BNC"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/WiFi%20Connector%20Kit%20Brochure.pdf,//media.digikey.com/photos/TPI%20Photos/TPI-4019.jpg,290-1930-ND,TPI-4019,TPI (Test Products Int),CONN UNIV ADPT EXPANSON KIT 31PC,0,2,"541.13000","0","1","Plastic Carrying Case","-","Active","RF","31 Adapters: Assorted Cable Assemblies, Cable Tester, Female, Male"
