Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Values"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0054.pdf,//media.digikey.com/photos/Molex/76650-0054.JPG,WM8357-ND,76650-0054,Molex,KIT CONN STD .093"" SERIES,212,0,"5.70000","0","1","Plastic Packaging","Standard .093","Active","Circuit Plug, Receptacle","32 pcs - 6 position Circuit Plug, Receptacle, 22 ~ 18 AWG Crimp Terminals"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3146_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3146.jpg,1528-2180-ND,3146,Adafruit Industries LLC,LARGE SINGLE ROW HOUSING PACK FO,103,0,"2.95000","0","1","Bulk","-","Active","Rectangular - Contact, Header, Housing","25 pcs - Assorted 6, 7 ,8 , 9, 10 Circuit Header"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696638&DocType=Customer+Drawing&DocLang=English,-,A136452-ND,696638-1,TE Connectivity AMP Connectors,"KIT-6,5/16,NI+RT555-.375X1.00",199,0,"24.31000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696640&DocType=Customer+Drawing&DocLang=English,-,A136453-ND,696640-1,TE Connectivity AMP Connectors,"KIT-4,1/4,NI+RT555-.500X1.50",199,0,"26.40000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696644&DocType=Customer+Drawing&DocLang=English,-,A136456-ND,696644-1,TE Connectivity AMP Connectors,"KIT-2,3/8,NI+RT555-.625X1.50",200,0,"28.47000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696643&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/696643-1.jpg,A136455-ND,696643-1,TE Connectivity AMP Connectors,"KIT-2,5/16,NI+RT555-.625X1.50",200,0,"28.47000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696646&DocType=Customer+Drawing&DocLang=English,-,A136458-ND,696646-1,TE Connectivity AMP Connectors,"KIT1/0,5/16,NI+RT555-.625X1.75",200,0,"30.45000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696647&DocType=Customer+Drawing&DocLang=English,-,A136459-ND,696647-1,TE Connectivity AMP Connectors,"KIT-1/0,3/8,NI+RT555-.625X1.75",144,0,"31.25000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
//media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/76650-0012.pdf,//media.digikey.com/photos/Molex/76650-0012.JPG,WM9979-ND,76650-0012,Molex,KIT CONN STD .062"" SERIES,12,0,"110.33000","0","1","Plastic Box with Bin Guide","Standard .062","Active","Circuit Plug, Receptacle","288 pcs - Assorted 1 ~ 6, 9, 12, 15, 36 Circuit Plugs, Receptacle, 24 ~ 18 AWG Pins, Sockets"
-,//media.digikey.com/photos/American%20Elect%20Photos/CRIMPKIT.JPG,288-1238-ND,CRIMPKIT,American Electrical Inc.,KIT FERRULE 10-24AWG & TOOLS,7,0,"384.27000","0","1","Plastic Box with Bin Guide","-","Active","Ferrule - Wire End","Assorted 24 ~ 10AWG Insulated Ferrules, Crimp Tool, Strip Tool"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1202072.pdf,//media.digikey.com/photos/Phoenix%20Photos/MFG_1202072.jpg,277-2286-ND,1202072,Phoenix Contact,TOOL BOX ASSORT FERRULES&TOOLS,7,34,"947.75000","0","1","Metal Box with Bin Guide","-","Active","Ferrule - Wire End","3600 pcs - Assorted Ferrules, Crimp Tool, Strip Tool"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0076.pdf,//media.digikey.com/photos/Molex/76650-0076.JPG,WM8369-ND,76650-0076,Molex,KIT CONN MINI-FIT JR 6 CIRCUITS,205,0,"1.37000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","14 pcs - 6 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0074.pdf,//media.digikey.com/photos/Molex/MFG_76650-0074.jpg,WM8360-ND,76650-0074,Molex,KIT CONN MINI-FIT JR 2 CIRCUITS,225,0,"1.90000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","6 pcs - 2 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0075.pdf,//media.digikey.com/photos/Molex/76650-0075.JPG,WM8359-ND,76650-0075,Molex,KIT CONN MINI-FIT JR 4 CIRCUITS,32,0,"1.90000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","10 pcs - 4 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0083.pdf,//media.digikey.com/photos/Molex/76650-0083.JPG,WM8384-ND,76650-0083,Molex,KIT CONN MINI-FIT JR 4 CIRC VERT,63,0,"3.80000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","6 pcs - 4 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0096.pdf,//media.digikey.com/photos/Molex/76650-0096.JPG,WM8382-ND,76650-0096,Molex,KIT .156 KK SERIES 4 CIRC RAMP,62,0,"3.80000","0","1","Plastic Packaging","KK®","Active","Circuit Plug, Receptacle","16 pcs - 4 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0067.pdf,//media.digikey.com/photos/Molex/76650-0067.JPG,WM8362-ND,76650-0067,Molex,KIT CONN STD .062"" 6 CIRCUITS,58,0,"3.80000","0","1","Plastic Packaging","Standard .062","Active","Circuit Plug, Receptacle","32 pcs - 6 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0095.pdf,//media.digikey.com/photos/Molex/MFG_76650-0095.jpg,WM8383-ND,76650-0095,Molex,KIT .156 KK SERIES 3 CIRC RAMP,35,0,"3.80000","0","1","Plastic Packaging","KK®","Active","Circuit Plug, Receptacle","21 pcs - 3 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0077.pdf,//media.digikey.com/photos/Molex/76650-0077.JPG,WM8377-ND,76650-0077,Molex,KIT CONN MINI-FIT JR 8 CIRCUITS,89,0,"3.84000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","18 pcs - 8 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0055.pdf,//media.digikey.com/photos/Molex/76650-0055.JPG,WM8361-ND,76650-0055,Molex,KIT CONN STD .093"" 9 CIRCUITS,37,0,"4.75000","0","1","Plastic Packaging","Standard .093","Active","Circuit Plug, Receptacle","24 pcs - 9 position Circuit Plug, Receptacle, 22 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0062.pdf,//media.digikey.com/photos/Molex/76650-0062.JPG,WM8370-ND,76650-0062,Molex,KIT CONN STD .062"" 1 CIRCUIT,31,0,"4.75000","0","1","Plastic Packaging","Standard .062","Active","Circuit Plug, Receptacle","24 pcs - 1 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0078.pdf,//media.digikey.com/photos/Molex/76650-0078.JPG,WM8389-ND,76650-0078,Molex,KIT CONN MINI-FIT JR 10 CIRCUITS,30,0,"4.75000","0","1","Plastic Packaging","Mini-Fit Jr","Active","Circuit Plug, Receptacle","22 pcs - 10 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0059.pdf,//media.digikey.com/photos/Molex/76650-0059.JPG,WM8354-ND,76650-0059,Molex,KIT CONN STD .093"" 4 CIRCUITS,53,0,"5.70000","0","1","Plastic Packaging","Standard .093","Active","Circuit Plug, Receptacle","24 pcs - 4 position Circuit Plug, Receptacle, 22 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0065.pdf,//media.digikey.com/photos/Molex/76650-0065.JPG,WM8358-ND,76650-0065,Molex,KIT CONN STD .062"" 4 CIRCUITS,30,0,"5.70000","0","1","Plastic Packaging","Standard .062","Active","Circuit Plug, Receptacle","24 pcs - 4 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0064.pdf,//media.digikey.com/photos/Molex/76650-0064.JPG,WM8356-ND,76650-0064,Molex,KIT CONN STD .062"" 3 CIRCUITS,35,0,"6.65000","0","1","Plastic Packaging","Standard .062","Active","Circuit Plug, Receptacle","28 pcs - 3 position Circuit Plug, Receptacle, 24 ~ 18 AWG Crimp Terminals"
//media.digikey.com/PDF/Data%20Sheets/Molex%20PDFs/76650-0058.pdf,//media.digikey.com/photos/Molex/76650-0058.JPG,WM8355-ND,76650-0058,Molex,KIT CONN STD .093"" 3 CIRCUITS,96,0,"7.13000","0","1","Plastic Packaging","Standard .093","Active","Circuit Plug, Receptacle","28 pcs - 3 position Circuit Plug, Receptacle, 22 ~ 18 AWG Crimp Terminals"
