Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Mounting Type"
-,//media.digikey.com/Photos/Comchip%20Tech%20Photos/ZENER-KIT.jpg,641-1426-ND,ZENER KIT,Comchip Technology,KIT 30 VALUES/10PC EACH,7,0,"37.00000","0","1","Plastic Box with Bin Guide","-","Active","Zener","300 Pieces (30 Values - 10 Each)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/Design%20Kits_Chip%20Diodes.pdf,//media.digikey.com/Photos/Bourns%20Photos/CD-LAB2.JPG,CD-LAB2-ND,CD-LAB2,Bourns Inc.,KIT DIODE SCHOTTKY 10PC,2,0,"33.75000","0","1","Plastic Box with Bin Guide","CD214A, CD216A, CD1206, CD1607, CD2010","Active","Rectifier Diode","320 Pieces (32 Values - 10 Each)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0426_Web.pdf,-,FIT0426-ND,FIT0426,DFRobot,ECELL: BREADBOARD-PLUGIN DIODE A,0,0,"5.97000","0","1","-","Ecell","Active","Rectifier Diode, Transistors","8 Pieces (2 Values - 4 Each)","Through Hole"
-,//media.digikey.com/Photos/Micro%20Commercial%20Photos/353-8004-KIT.jpg,353-8004-KIT-ND,353-8004-KIT,Micro Commercial Co,KIT ZENER 10EA OF 18 VALUES,8,0,"24.21000","0","1","Box","Q","Active","Zener Diode SMD","180 Pieces (18 Values - 10 Each)","Surface Mount"
-,//media.digikey.com/Photos/On%20Semi%20Photos/DIODESKITFS.jpg,DIODESKITFS-KIT-ND,DIODESKITFS,ON Semiconductor,KIT DIODE 10EA OF 10 VALUES,17,0,"24.53000","0","1","Book","-","Active","Zener","100 Pieces (10 Values - 10 Each)","Through Hole"
-,//media.digikey.com/Photos/Micro%20Commercial%20Photos/353-8005-KIT.jpg,353-8005-KIT-ND,353-8005-KIT,Micro Commercial Co,KIT DIODE 10EA OF 16 SMD VALUES,6,0,"27.82000","0","1","Box","Q","Active","Rectifier Diode","160 Pieces (16 Values - 10 Each)","Surface Mount"
-,//media.digikey.com/Photos/Rohm%20Photos/846-1002-KIT.JPG,846-1002-KIT-ND,846-1002-KIT,Rohm Semiconductor,KIT MOSFET 5EA OF 13 VALUES,4,0,"28.53000","0","1","Book","-","Active","MOSFETs","70 Pieces (14 Values - 5 Each)","Surface Mount"
-,//media.digikey.com/Photos/Rohm%20Photos/846-1001-KIT.jpg,846-1001-KIT-ND,846-1001-KIT,Rohm Semiconductor,KIT MOSFET 5EA OF 16 VALUES,5,0,"34.13000","0","1","Book","-","Active","MOSFETs","80 Pieces (16 Values - 5 Each)","Surface Mount"
-,//media.digikey.com/Photos/Rohm%20Photos/846-1003-KIT.jpg,846-1003-KIT-ND,846-1003-KIT,Rohm Semiconductor,KIT MOSFET 5EA OF 16 VALUES,6,0,"38.55000","0","1","Book","-","Active","MOSFETs","80 Pieces (16 Values - 5 Each)","Surface Mount"
-,//media.digikey.com/Photos/Micro%20Commercial%20Photos/353-8003-KIT.jpg,353-8003-KIT-ND,353-8003-KIT,Micro Commercial Co,KIT 10EA OF 17 SMD VALUES ZENER,3,0,"52.26000","0","1","-","Q","Active","Zener Diode SMD","170 Pieces (17 Values - 10 Each)","Surface Mount"
