Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Values","Diameter","Color","Shrinkage Ratio"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,//media.digikey.com/photos/Qualtek%20Photos/Q2-Z-QK1-01-6IN-180.JPG,Q2Z1-KIT-ND,Q2-Z-QK1-01-6IN-180,Qualtek,HEATSHRNK KIT 6"" 3/64-1/4"" 180PC,803,373,"18.07000","0","1","Plastic Box with Bin Guide","Q2-Z","Active","180 pcs - 6"" (152.4mm) lengths","24 ea of 3/16"", 20 ea of 1/4"", 40 ea of 3/64"", 36 ea of 1/16"", 32 ea of 3/32"", 28 ea of 1/8""","Black","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,//media.digikey.com/photos/Qualtek%20Photos/QUALTEK-Q2-F-QK4-11-6IN-141.jpg,Q2F15-KIT-ND,Q2-F-QK4-11-6IN-141,Qualtek,HEATSHRINK KIT Q2F 141 PCCOLOR,250,116,"29.69000","0","1","Plastic Box with Bin Guide","Q2-F","Active","141 pcs - 6"" (152.4mm) lengths","10 ea of 1"", 19 ea of 1/2"", 3/8"", 23 ea of 1/4"", 39 ea of 1/16"", 31 ea of 1/8""","Black, Blue, Green, Red, White, Yellow","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,//media.digikey.com/Photos/Qualtek%20Photos/Q2-F3X-QK1-01-6IN-106.JPG,Q842-KIT-ND,Q2-F3X-QK1-01-6IN-106,Qualtek,HEATSHRINK KIT 106 PC BLACK,216,90,"32.73000","0","1","Plastic Box with Bin Guide","Q2-F3X","Active","106 pcs - 6"" (152.4mm) lengths","28 ea of 1/16"", 20 ea of 1/4"", 14 ea of 1/2"", 12 ea of 3/4"", 8 ea of 1""","Black","3 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/FP301-3%5E32-TO-1%5E2-ASSRTED-5-133-PC-KITS.jpg,3M15374-ND,FP301-3/32 TO 1/2-ASSRTED-5-133 PC KITS,3M,HEATSHRINK FP301 3/32-1/2 TBNG K,128,0,"99.03000","0","1","Plastic Box with Bin Guide","FP-301","Active","133 pcs - 6"" (152.4mm) lengths","35 pcs 3/32"", 28 pcs 1/8"", 21 pcs 3/16"", 21 pcs 1/4"", 14 pcs 3/8"",  14 pcs 1/2""","Black, Blue, Clear, Green, Red, White, Yellow","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,//media.digikey.com/photos/Qualtek%20Photos/Q2-F-QK1-01-6IN-180.JPG,Q2F1-KIT-ND,Q2-F-QK1-01-6IN-180,Qualtek,HEATSHRK KIT SMALL SZE BLK 180PC,223,274,"19.36000","0","1","Plastic Box with Bin Guide","Q2-F","Active","180 pcs - 6"" (152.4mm) lengths","20 ea of 1/4"", 24 ea of 3/16"", 28 ea of 1/8"", 32 ea of 3/32"", 36 ea of 1/16"", 40 ea of 3/64""","Black","2 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VERSAFIT&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Raychem%20Photos/VER038K.jpg,VER038K-ND,VERSAFIT-3/8-KT1-REFILL,TE Connectivity Raychem Cable Protection,HEATSHRINK 3/8""X6"" 24 PCS BLK,141,0,"10.42000","0","1","Refill Pack","Versafit","Active","24 pcs - 6"" (152.4mm) lengths","3/8""","Black, Blue, Clear, Green, Red, White, Yellow","2 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VERSAFIT&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Raychem%20Photos/VER001K.jpg,VER001K-ND,VERSAFIT-1-KT1-REFILL,TE Connectivity Raychem Cable Protection,HEATSHRINK 1""X6"" 10 PCS BLK,455,0,"10.63000","0","1","Refill Pack","Versafit","Active","10 pcs - 6"" (152.4mm) Lengths","1""","Black, Blue, Clear, Green, Red, White, Yellow","2 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=Tubing_Kits_9-1773447-9&DocType=CS&DocLang=English,//media.digikey.com/photos/Tyco%20Raychem%20Photos/VERSAFIT-KIT%202.jpg,VERSA2-KIT-ND,VERSAFIT-KIT-2-COLOR,TE Connectivity Raychem Cable Protection,KIT HEATSHRINK 6"" 133 PCS COLOR,13,0,"61.38000","0","1","Plastic Box with Bin Guide","Versafit","Active","133 pcs - 6"" (152.4mm) lengths","35 ea of 3/32"", 28 ea of 1/8"", 21 ea of 3/16"", 1/4"", 14 ea of 3/8"", 1/2""","Black, Blue, Clear, Green, Red, White, Yellow","2 to 1"
http://www.qualtekusa.com/images/Heatshrink/PDFs/Q2Z.pdf,//media.digikey.com/photos/Qualtek%20Photos/q2-z-rk1-1%208-01-6in-28.JPG,Q931-ND,Q2-Z-RK1-1/8-01-6IN-28,Qualtek,HEATSHRK KIT RFL 1/8"" BLK 28 PC,299,0,"1.25000","0","1","Refill Pack","Q2-Z","Active","28 pcs - 6"" (152.4mm) lengths","1/8""","Black","2 to 1"
http://www.qualtekusa.com/images/Heatshrink/PDFs/Q2Z.pdf,//media.digikey.com/photos/Qualtek%20Photos/Q2-Z-RK1-1^16-01-6IN-36.JPG,Q929-ND,Q2-Z-RK1-1/16-01-6IN-36,Qualtek,HEATSHRK KIT RFL 1/16"" BLK 36 PC,667,0,"1.42000","0","1","Refill Pack","Q2-Z","Active","36 pcs - 6"" (152.4mm) Lengths","1/16""","Black","2 to 1"
