Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Style","Material - Core","Quantity","Inductance Range","Mounting Type","Packages Included","Features","Shielding"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744741.jpg,732-10177-ND,744741,Wurth Electronics Inc.,RADIAL LEADED WIRE INDUCTORS WE-,31,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-TI","Active","Fixed","Wirewound","Ferrite","415 Pieces (Assorted Per Value)","1µH ~ 22mH","Through Hole","Radial","-","-"
https://search.murata.co.jp/Ceramy/image/img/P02/JELF243C-0015.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN05.jpg,490-17338-ND,EKDMGN05-KIT,Murata Electronics North America,KIT RF INDUCTOR 0201-0402,27,0,"146.54000","0","1","Notebook","LQP03, LQW15","Active","Fixed","Thin Film, Wirewound","Non-Magnetic","690 Pieces (69 Values - 10 Each)","600pH ~ 120nH","Surface Mount","0201, 0402","-","Unshielded"
http://products.pulseelex.com/files/product_files/P821_443.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-4117-ND,PA4349ANLKIT,Pulse Electronics Power,INDUCT KIT PA4349.XXXANLT SERIES,55,0,"87.29000","0","1","Plastic Box","PA4349.XXXANLT","Active","Fixed","Molded","-","32 Pieces (16 Values - 2 Each)","1.5µH ~ 100µH","Surface Mount","Non-Standard SMD","AEC-Q200, High Current","Shielded"
http://products.pulseelex.com/files/product_files/P796_954.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-4115-ND,PA4344ANLKIT,Pulse Electronics Power,KIT INDUCT PA4344.XXXANLT SERIES,30,0,"87.29000","0","1","Plastic Box","PA4344.XXXANLT","Active","Fixed","Molded","-","45 Pieces (15 Values - 3 Each)","470nH ~ 82µH","Surface Mount","Non-Standard SMD","AEC-Q200, High Current","Shielded"
http://productfinder.pulseeng.com/products/datasheets/SPM2007_16.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-3530-ND,PG0085NLKIT,Pulse Electronics Power,KIT FIXED IND PG0085 SERIES,156,0,"7.96000","0","1","Plastic Box with Bin Guide","PG0085NL","Active","Fixed","Wirewound","-","45 Pieces (15 Values - 3 Each)","1µH ~ 220µH","Surface Mount","Non-Standard SMD","Drum Core","-"
http://productfinder.pulseeng.com/products/datasheets/P768.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-3368-ND,PA4341NLKIT,Pulse Electronics Power,INDUCT KIT PA4341.XXXNLT SERIES,116,0,"45.38000","0","1","Plastic Box with Bin Guide","PA4341.XXXNLT","Active","Fixed","Molded","-","90 Pieces (18 Values - 5 Each)","100nH ~ 47µH","Surface Mount","Non-Standard SMD","AEC-Q200, Drum Core, High Current","Shielded"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/L402DC.JPG,712-1452-ND,L402DC,Johanson Technology Inc.,0402 S HI FREQ IND DESIGNER KIT,52,0,"45.38000","0","1","-","-","Active","Fixed","Wirewound","Ceramic","1400 Pieces (28 Values - 50 Each)","1nH ~ 100nH","Surface Mount","0402 (1005 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/744786A_Design_Kit.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744786A.jpg,732-6220-ND,744786A,Wurth Electronics Inc.,MULTILAYER RF IND KIT 0603,11,0,"110.00000","0","1","Plastic Box with Bin Guide","WE-MK","Active","Fixed","Multilayer","Ceramic","1020 Pieces (34 Values - 30 Each)","-","Surface Mount","0603 (1608 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/744784A_Design_Kit.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744784A.jpg,732-6219-ND,744784A,Wurth Electronics Inc.,MULTILAYER RF IND KIT 0402,4,0,"110.00000","0","1","Plastic Box with Bin Guide","WE-MK","Active","Fixed","Multilayer","Ceramic","900 Pieces (30 Values - 30 Each)","1nH ~ 270nH","Surface Mount","0402 (1005 Metric)","-","Unshielded"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/L201DC.JPG,712-1503-ND,L201DC,Johanson Technology Inc.,0201 S HI FREQ IND DESIGNER KIT,24,0,"45.38000","0","1","Plastic Box with Bin Guide","-","Active","Fixed","Wirewound","Ceramic","1400 Pieces (28 Values - 50 Each)","600pH ~ 39nH","Surface Mount","0201 (0603 Metric)","-","-"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/L603DC.JPG,712-1451-ND,L603DC,Johanson Technology Inc.,0603 S HI FREQ IND DESIGNER KIT,11,0,"45.38000","0","1","-","-","Active","Fixed","Wirewound","Ceramic","1400 Pieces (28 Values - 50 Each)","1nH ~ 220nH","Surface Mount","0603 (1608 Metric)","-","-"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Dielect%20Photos/L402W.JPG,712-1558-ND,L402W,Johanson Technology Inc.,0402 WIRE WOUND HIGH Q IND KIT,10,0,"45.38000","0","1","Box","-","Active","Fixed","Wirewound","Ceramic","560 Pieces (28 Values - 20 Each)","1nH ~ 120nH","Surface Mount","0402 (1005 Metric)","-","-"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/L603W.jpg,712-1560-ND,L603W,Johanson Technology Inc.,0603 WIRE WOUND HIGH Q IND KIT,7,0,"45.38000","0","1","Box","-","Active","Fixed","Wirewound","Ceramic","560 Pieces (28 Values - 20 Each)","1.6nH ~ 330nH","Surface Mount","0603 (1608 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/7443832_WE-MAPI_Design_Kit~.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7443832.jpg,732-5060-ND,7443832,Wurth Electronics Inc.,WE-MAPI DESIGN KIT,2,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-MAPI","Active","Fixed","Molded","Metal Composite","310 Pieces (31 Values - 10 Each)","330nH ~ 10µH","Surface Mount","1008 (2520 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/7443833_WE-MAPI_Design_Kit~.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7443833.jpg,732-5061-ND,7443833,Wurth Electronics Inc.,WE-MAPI DESIGN KIT,3,0,"125.00000","0","1","Plastic Box with Bin Guide","WE-MAPI","Active","Fixed","Molded","Metal Composite","360 Pieces (36 Values - 10 Each)","330nH ~ 47µH","Surface Mount","1212 (3030 Metric)","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744765A.jpg,732-10181-ND,744765A,Wurth Electronics Inc.,SMD WIRE WOUND CERAMIC INDUCTORS,6,0,"132.50000","0","1","Plastic Box with Bin Guide","WE-KI","Active","Fixed","Wirewound","Ceramic","1080 Pieces (36 Values - 30 Each)","1nH ~ 56nH","Surface Mount","0402 (1005 Metric)","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744741.jpg,732-10178-ND,744743,Wurth Electronics Inc.,RADIAL LEADED WIRE INDUCTORS WE-,8,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-TI","Active","Fixed","Wirewound","Ferrite","150 Pieces (15 Values - 10 Each)","10µH ~ 150mH","Through Hole","Radial","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744731.jpg,732-10179-ND,744731,Wurth Electronics Inc.,SHIELDED RADIAL LEADED WIRE WOUN,3,0,"146.25000","0","1","Plastic Box with Bin Guide","WE-TIS","Active","Fixed","Wirewound","Ferrite","270 Pieces (27 Values - 10 Each)","1.3µH ~ 8.2mH","Through Hole","Radial","-","Shielded"
http://www.atceramics.com/UserFiles/inductor_products.pdf,//media.digikey.com/Photos/American%20Technical%20Ceramics/DK0052.JPG,1284-1801-ND,DK0052,American Technical Ceramics,INDUCTOR KIT ATC WL SERIES,24,0,"149.92000","0","1","Plastic Box with Bin Guide","ATC WL","Active","Fixed","Wirewound","Ceramic","750 Pieces (50 Values - 15 Each)","1.6nH ~ 390nH","Surface Mount","0603 (1608 Metric)","-","Unshielded"
http://www.atceramics.com/UserFiles/inductor_products.pdf,//media.digikey.com/Photos/American%20Technical%20Ceramics/DK0053.JPG,1284-1802-ND,DK0053,American Technical Ceramics,CAP KIT CER,8,0,"149.92000","0","1","Plastic Box with Bin Guide","ATC WL","Active","Fixed","Wirewound","Ceramic","750 Pieces (50 Values - 15 Each)","2.7nH ~ 2.7µH","Surface Mount","0805 (2012 Metric)","-","Unshielded"
http://www.atceramics.com/UserFiles/inductor_products.pdf,//media.digikey.com/Photos/American%20Technical%20Ceramics/DK0051.JPG,1284-1800-ND,DK0051,American Technical Ceramics,INDUCTOR KIT ATC WL SERIES,6,0,"149.92000","0","1","Plastic Box with Bin Guide","ATC WL","Active","Fixed","Wirewound","Ceramic","615 Pieces (41 Values - 15 Each)","1nH ~ 120nH","Surface Mount","0402 (1005 Metric)","-","Unshielded"
http://catalogs.avx.com/RF-Microwave.pdf#page=119,//media.digikey.com/Photos/AVX%20Photos/KITTYPE3200-LF.jpg,478-9783-ND,KITTYPE3200 LF,AVX Corporation,0201 SAMPLE KIT,3,1,"191.90000","0","1","Plastic Box with Bin Guide","Accu-L®","Active","Fixed","Thin Film","Non-Magnetic","260 Pieces (13 Values - 20 Each)","330pH ~ 3.3nH","Surface Mount","0201 (0603 Metric)","-","-"
https://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0030.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN07.jpg,490-17340-ND,EKDMGN07-KIT,Murata Electronics North America,KIT POWER INDUCTOR 0603-1008,3,0,"199.85000","0","1","Notebook","LQH2, LQM2, LQM18, LQM21","Active","Fixed","Multilayer, Wirewound","Ferrite","720 Pieces (72 Values - 10 Each)","22nH ~ 82µH","Surface Mount","0603, 0805, 0806, 1008","-","Shielded"
