Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Kit Contents","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/SI826XSAMP-KIT.jpg,336-2414-ND,SI826XSAMP-KIT,Silicon Labs,KIT SI826X OPTO DVR REPL SAMPLE,11,0,"28.75000","0","1","-","-","Active","Digital Isolator","-","Si8261ACC-C-IP, Si8261BCC-C-IP, Si8261ACC-C-IS, Si8261BCC-C-IS, Si8261ACD-C-IS, Si8261BCD-C-IS","Surface Mount, Through Hole"
http://www.st.com/content/ccc/resource/sales_and_marketing/promotional_material/brochure/group0/ae/db/6c/7d/1f/58/4e/5b/brvrsbc/files/brvrsbc.pdf/jcr:content/translations/en.brvrsbc.pdf,//media.digikey.com/Photos/STMicro%20Photos/SAMPLES-AUTOPMIC.jpg,497-17563-ND,SAMPLES-AUTOPMIC,STMicroelectronics,POWER TRAIN & SAFETY,98,0,"4.23000","0","1","-","-","Active","High Side Driver","-","L4995K, L5150BN, L5300GJ, L99PM60J, L99PM62GXP, L5963D-L5963Q","Surface Mount"
-,//media.digikey.com/Photos/Diodes%20Photos/ANALOG-DI-KIT.JPG,ANALOG-DI-KIT-ND,ANALOG-DI-KIT,Diodes Incorporated,STANDARD ANALOG PRODUCTS KIT,9,0,"31.99000","0","1","-","*","Active","-","-","-","-"
-,-,ADPA7005C-KIT-ND,ADPA7005C-KIT,Linear Technology/Analog Devices,ADPA7005 SAMPLE PACK,2,46,"243.79000","0","1","-","*","Active","-","-","-","-"
https://www.st.com/resource/en/data_brief/samplekitvnh7.pdf,-,497-19447-ND,SAMPLEKITVNH7,STMicroelectronics,VIPOWER; M0-7 FAMILY H-BRIDGES F,0,0,"3.19000","0","1","-","VIPower®","Active","High Side Driver","8 Pieces","VNH7100BAS, VNH7070BAS, VNH7070AY, VNH7040AY, VNHD7012AY, VNHD7008AY","Surface Mount"
-,//media.digikey.com/photos/STMicro%20Photos/SAMPLEKITM0-7.JPG,497-15093-ND,SAMPLEKITM0-7,STMicroelectronics,KIT SAMPLE KIT M0-7,0,0,"2.66000","0","1","-","VIPower™","Active","High Side Driver","-","VN7004AH-E, VN7010AJ-E, VN7040AS-E, VND7012AY-E, VND7020AJ-E, VNQ7050AJ-E","Surface Mount"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24L01PPSv10.pdf,-,NRF24L01P-SAMPLE-ND,NRF24L01P-SAMPLE,Nordic Semiconductor ASA,IC SAMPLE TXRX 2.4GHZ 20QFN,0,0,"3.36000","0","5","-","-","Active","RF","5 Pieces","NRF24L01","Surface Mount"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24LE1OTPPSv12.pdf,-,NRF24LE1-O17Q24-S-ND,NRF24LE1-O17Q24-S,Nordic Semiconductor ASA,IC SAMPLE SOC SOLUTION 24QFN,0,0,"4.56400","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24LE1OTPPSv12.pdf,-,NRF24LE1-O17Q32-S-ND,NRF24LE1-O17Q32-S,Nordic Semiconductor ASA,IC SAMPLE SOC SOLUTION 32QFN,0,0,"4.56400","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
http://infocenter.nordicsemi.com/pdf/nRF24LU1P-OTP_PS_v1.0.pdf,-,NRF24LU1P-O17Q32-S-ND,NRF24LU1P-O17Q32-S,Nordic Semiconductor ASA,IC SAMPLE TXRX USB/OTP 32QFN,0,0,"4.56400","0","5","-","-","Active","RF","5 Pieces","NRF24LU1","Surface Mount"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24LE1OTPPSv12.pdf,-,NRF24LE1-O17Q48-S-ND,NRF24LE1-O17Q48-S,Nordic Semiconductor ASA,IC SAMPLE SOC SOLUTION 48QFN,0,0,"5.32000","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
http://infocenter.nordicsemi.com/pdf/nRF24LE1_PS_v1.6.pdf,-,NRF24LE1-Q48-SAMPLE-ND,NRF24LE1-Q48-SAMPLE,Nordic Semiconductor ASA,IC SAMPLE RF TXRX 2.4GHZ 48QFN,0,0,"6.14400","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Nordic%20Semiconductor%20PDFs/nRF24AP2-USB_PS_v1_0_Apr2010.pdf,-,NRF24AP2-USBQ32-S-ND,NRF24AP2-USBQ32-S,Nordic Semiconductor ASA,IC SAMPLE ANT NTWK SYST 32QFN,0,0,"6.43200","0","5","-","-","Active","RF","5 Pieces","NRF24AP2","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Nordic%20Semiconductor%20PDFs/nRF24AP2_PS_v1.2_Jun2010.pdf,-,NRF24AP2-1CHQ32-S-ND,NRF24AP2-1CHQ32-S,Nordic Semiconductor ASA,IC SAMPLE ANT CONN 1CH 32QFN,0,0,"6.49600","0","5","-","-","Active","RF","5 Pieces","NRF24AP2","Surface Mount"
http://infocenter.nordicsemi.com/pdf/nRF24LE1_PS_v1.6.pdf,-,NRF24LE1-Q24-SAMPLE-ND,NRF24LE1-Q24-SAMPLE,Nordic Semiconductor ASA,IC SAMPLE RF TXRX 2.4GHZ 24QFN,0,0,"6.49600","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
http://infocenter.nordicsemi.com/pdf/nRF24LE1_PS_v1.6.pdf,-,NRF24LE1-Q32-SAMPLE-ND,NRF24LE1-Q32-SAMPLE,Nordic Semiconductor ASA,IC SAMPLE RF TXRX 2.4GHZ 32QFN,0,0,"6.49600","0","5","-","-","Active","RF","5 Pieces","NRF24LE1","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Nordic%20Semiconductor%20PDFs/nRF24AP2_PS_v1.2_Jun2010.pdf,-,NRF24AP2-8CHQ32-S-ND,NRF24AP2-8CHQ32-S,Nordic Semiconductor ASA,IC SAMPLE ANT CONN 8CH 32QFN,0,0,"6.94400","0","5","-","-","Active","RF","5 Pieces","NRF24AP2","Surface Mount"
-,//media.digikey.com/photos/Infineon%20Photos/KIT%20MMIC%20GP.JPG,KITMMICGPIN-ND,KIT MMIC GP,Infineon Technologies,KIT SAMPLE FOR GEN PURP MMIC LNA,9,0,"10.67000","0","1","Notebook","-","Obsolete","RF","72 Pieces (9 Values - 8 Each)","BGA 416 E6327, BGA 428 E6327","Surface Mount"
https://www.silabs.com/documents/public/data-sheets/efm32g-datasheet.pdf,//media.digikey.com/Renders/Energy%20Micro%20Renders/32-QFN.jpg,914-1010-ND,EFM32-G210F128-SK,Silicon Labs,IC MICRO KIT GECKO 32QFN,9,0,"14.28000","0","1","Cardboard Box","Gecko","Discontinued at Digi-Key","Microcontroller","-","EFM32G210F128","Surface Mount"
-,-,LTCK011IG#PBF-ND,LTCK011IG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"24.19277","0","47","Tube","Multiprotocol","Active","Interface","-","LTC1544, LTC1546","-"
-,-,LTCK003CG#PBF-ND,LTCK003CG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"25.20340","0","47","Tube","Multiprotocol","Active","Interface","-","LTC1344A, LTC1543, LTC1544","-"
-,-,LTCK012IG#PBF-ND,LTCK012IG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"25.27000","0","47","Tube","Multiprotocol","Active","Interface","-","LTC1545, LTC1546","-"
-,-,LTCK003CG#TRPBF-ND,LTCK003CG#TRPBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"25.58920","0","1000","Tape & Reel (TR)","Multiprotocol","Active","Interface","-","LTC1344A, LTC1543, LTC1544","-"
-,-,LTCK006CG#PBF-ND,LTCK006CG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"26.16102","0","59","Tube","Multiprotocol","Active","Interface","-","LTC1344A, LTC1543, LTC1545","-"
-,-,LTCK006IG#PBF-ND,LTCK006IG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"28.26254","0","59","Tube","Multiprotocol","Active","Interface","-","LTC1344A, LTC1543, LTC1545","-"
-,-,LTCK004CG#TRPBF-ND,LTCK004CG#TRPBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"29.62500","0","1000","Tape & Reel (TR)","Multiprotocol","Active","Interface","-","LTC1343, LTC1344A, LTC1544","-"
-,-,LTCK004CG#PBF-ND,LTCK004CG#PBF,Linear Technology/Analog Devices,IC KIT MULTIPROTOCOL,0,0,"30.45000","0","27","Tube","Multiprotocol","Active","Interface","-","LTC1343, LTC1344A, LTC1544","-"
-,//media.digikey.com/Photos/STMicro%20Photos/497-17565-KIT.jpg,497-17565-KIT-ND,497-17565-KIT,STMicroelectronics,ANALOG POWER KIT V2,2,0,"32.99000","0","1","-","-","Active","-","50 Pieces (10 Values - 5 Each)","ESDALC6V1-1, L78L33, LM293, LM358, LM393, M95M02, STPS3H100, TL074, ULN2803, ULN2003","-"
-,-,497-17564-KIT-ND,497-17564-KIT,STMicroelectronics,ANALOG POWER KIT V1,2,0,"34.87000","0","1","-","-","Active","-","50 Pieces (10 Values - 5 Each)","BAT60, L78L05, L78L33, LM324, LMV321, M95M02, STPS5L60, TL072, TIP120, USBLC6-4","-"
