Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Kit Contents"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/L%5EC-402DS.JPG,712-1552-ND,L/C-402DS,Johanson Technology Inc.,0402 S-SER CAP & IND (CHIP) KIT,8,0,"107.09000","0","1","Box","S","Active","Design","Assorted"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/2450L%5EC402D.jpg,712-1557-ND,2450L/C402D,Johanson Technology Inc.,0402 CAP/IN/IPC 2.45GHZ DSGN KIT,3,0,"107.09000","0","1","Tray","-","Active","Design","Assorted"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/L%5EC-603DS.jpg,712-1544-ND,L/C-603DS,Johanson Technology Inc.,0603 L-SER CAP & IND (CHIP) KIT,2,0,"107.09000","0","1","Box","-","Active","Design","Assorted"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/L%5EC-805DS.jpg,712-1551-ND,L/C-805DS,Johanson Technology Inc.,0805 L-SER CAP & IND (CHIP) KIT,1,0,"107.09000","0","1","Box","-","Active","Design","Assorted"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/L%5EC-603DS.jpg,712-1626-ND,IOT-L/C402D-1,Johanson Technology Inc.,IOT ISM BAND COMP DEV KIT,4,0,"114.75000","0","1","Plastic Box","-","Active","Design","1616 pcs - Assorted Values"
http://www.panduit.com/heiler/PartDrawings/G00239EF_PB_KP507_01.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KP-507.jpg,298-11577-ND,KP-507,Panduit Corp,CABLE CLAMP KIT,3,0,"170.00000","0","1","Plastic Box with Bin Guide","-","Active","Mounting Device Kit","745 pcs - Assortment of Fixed Diameter Cable Clamps"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744998.jpg,732-10733-ND,744998,Wurth Electronics Inc.,DESIGN KIT DESIGN YOUR EMC FILTE,2,0,"170.00000","0","1","Plastic Box with Bin Guide","-","Active","Design","Assorted"
http://www.crystek.com/microwave/spec-sheets/kit/RFLabKit-001.pdf,//media.digikey.com/photos/Crystek%20Photos/RF%20Lab%20Kit-001.jpg,744-1670-ND,RFLABKIT-001,Crystek Corporation,RF LAB KIT,2,0,"568.67000","0","1","Notebook","-","Active","RF Lab Kit","Assorted"
https://www.johansontechnology.com/downloads/jti-prototyping.pdf,//media.digikey.com/Photos/Johanson%20Tech%20Photos/2450L%5EC603D.jpg,712-1559-ND,2450L/C603D,Johanson Technology Inc.,0603 CAP/IN/IPC 2.45GHZ DSGN KIT,2,0,"107.09000","0","1","Tray","-","Active","Design","Assorted"
//media.digikey.com/PDF/Data%20Sheets/TPI%20PDFs/BNC%20Attenuators.pdf,//media.digikey.com/photos/TPI%20Photos/120086.JPG,290-1926-ND,120086,TPI (Test Products Int),KIT ATTENUATOR 3DB 6DB 10DB 20DB,2,0,"217.49000","0","1","Plastic Box with Bin Guide","-","Active","BNC Attenuator","5 pcs, 4 Attenuators and 1 Case"
