Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Resistive Material","Taper","Tolerance","Power (Watts)","Number of Turns","Quantity","Termination Style"
https://www.bourns.com/docs/technical-documents/featured-product-bulletins/Bourns_T1213_H-815_H-870_DK_FPB.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-870.jpg,H-870-ND,H-870,Bourns Inc.,KIT POT TRIM 500-100K OHM 60PCS,103,0,"30.63000","0","1","Plastic Box with Bin Guide","Trimpot®","Active","Trimmer","500 ~ 100k","Cermet","-","±10%","1/4W, 1/2W, 3/4W","1, 12, 15, 25","60 Pieces (12 Values - 5 Each)","PC Pins"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_H-1204.jpg,H-1204-ND,H-1204,Bourns Inc.,KIT POT ROTARY 5K-1M OHM 6PCS,19,0,"25.91000","0","1","Plastic Box with Bin Guide","Pro Audio PDA24","Active","Rotary","5k ~ 1M","Carbon","Linear, Logarithmic","±15%","1/4W, 1/2W","1","6 Pieces (6 Values - 1 Each)","Solder Lug"
https://www.bourns.com/docs/technical-documents/featured-product-bulletins/Bourns_T1213_H-815_H-870_DK_FPB.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-815.JPG,H-815-ND,H-815,Bourns Inc.,KIT POT TRIMMER 10-100K OHM 90PC,18,0,"36.31000","0","1","Plastic Box with Bin Guide","Trimpot®","Active","Trimmer","10k ~ 100k","Cermet","-","±10%, ±20%, ±25%","1/10W, 1/8W, 1/4W, 1/2W","1, 5, 11, 12","90 Pieces (18 Values - 5 Each)","Gull Wing, J Lead"
https://www.bourns.com/docs/Product-Datasheets/PDB241-GTR.pdf,//media.digikey.com/photos/Bourns%20Photos/H-1201.jpg,H-1201-ND,H-1201,Bourns Inc.,KIT POT ROTARY 250-500K OHM 24PC,4,0,"58.63000","0","1","Plastic Box with Bin Guide","PDA24 & PDB241-GTR","Active","Rotary","250k ~ 500k","Carbon","Logarithmic","±15%, ±20%","1/4W","1","24 Pieces (12 Values - 2 Each)","Solder Lug"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_H-1205.jpg,H-1205-ND,H-1205,Bourns Inc.,KIT POT ROTARY 5K-1M OHM 6PCS,2,0,"61.26000","0","1","Plastic Box with Bin Guide","Pro Audio 53","Active","Rotary","5k ~ 1M","Conductive Plastic","Linear, Logarithmic","±10%","1/4W, 1/2W","1","6 Pieces (6 Values - 1 Each)","Solder Lug"
"//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H-1202-1,-2_Design_Kits_NPI.pdf",//media.digikey.com/Photos/Bourns%20Photos/MFG_H-1202-1.jpg,H-1202-1-ND,H-1202-1,Bourns Inc.,MINI-GUITAR POTENTIOMETER DESIGN,4,0,"15.95000","0","1","-","Pro Audio","Active","Rotary","250k ~ 500k","Carbon","Logarithmic","±20%","0.06W, 1/10W","1","12 Pieces (6 Values - 2 Each)","-"
"//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H-1202-1,-2_Design_Kits_NPI.pdf",//media.digikey.com/Photos/Bourns%20Photos/MFG_H-1202-2.jpg,H-1202-2-ND,H-1202-2,Bourns Inc.,MINI-GUITAR POTENTIOMETER W/SWIT,0,0,"35.87000","0","1","-","Pro Audio","Active","Rotary","250k ~ 500k","Carbon","Logarithmic","±20%","1/10W, 1/20W","1","8 Pieces (4 Values - 2 Each)","-"
-,-,H-858-ND,H-858,Bourns Inc.,KIT POT TRIMMER 1-100K OHM 30PCS,0,0,"16.12000","0","1","Plastic Box with Bin Guide","Trimpot® 3214 - Sealed","Active","Trimmer","1k ~ 100k","Cermet","-","±10%","1/4W","5","30 Pieces (6 Values - 5 Each)","J Lead"
-,-,H-859-ND,H-859,Bourns Inc.,KIT POT TRIMMER 1-100K OHM 30PCS,0,0,"17.73000","0","1","Plastic Box with Bin Guide","Trimpot® 3266 - Sealed","Active","Trimmer","1k ~ 100k","Cermet","-","±10%","1/4W","12","30 Pieces (6 Values - 5 Each)","PC Pins"
-,-,H-851-ND,H-851,Bourns Inc.,KIT POT TRIMMER 1-100K OHM 30PCS,0,0,"18.84000","0","1","Plastic Box with Bin Guide","Trimpot® 3223 - Sealed","Active","Trimmer","1k ~ 100k","Cermet","-","±20%","1/8W","11","30 Pieces (6 Values - 5 Each)","J Lead"
