Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Package Accepted","Specifications","Number of Positions"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Electronics_Bundle_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_BN1003.jpg,1932-1043-ND,BN1003,Bantam Tools,ELECTRONICS BUNDLE,9,0,"172.36000","0","1","-","*","Active","Prototyping Bundle","56 Pieces","-","Assorted End Mills, PCB Blanks","-"
http://www.chipquik.com/datasheets/ADAPT_COMBO.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_ADAPT_COMBO.jpg,ADAPT_COMBO-ND,ADAPT_COMBO,Chip Quik Inc.,SMT ADAPTER VALUE PACK,50,0,"9.49000","0","1","Bulk","Proto-Advantage","Active","Adapter, Breakout Boards","5 Pieces (5 Values - 1 Each)","-","SMD to DIP","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/591_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_591.jpg,1528-1147-ND,591,Adafruit Industries LLC,PCB PERMA PROTO SUPER PACK 9PC,67,0,"34.95000","0","1","-","Perma-Proto","Active","Prototype Boards Perforated","9 Pieces (3 Values - 3 Each)","-","Plated Through Hole (PTH)","-"
-,//media.digikey.com/Photos/Capital%20Advanced%20Tech%20Photos/MK-9000.jpg,MK-9000CA-ND,MK-9000,Capital Advanced Technologies,KIT SURFBOARD IC ASSORTMENT 32PC,19,0,"96.90000","0","1","Plastic Box with Bin Guide","9000","Active","Adapter, Breakout Boards","32 Pieces (10 Values - Mixed Quantities)","-","SMD to SIP","-"
http://www.capitaladvanced.com/pdf documents/6000sds.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/MK-6000.jpg,MK-6000CA-ND,MK-6000,Capital Advanced Technologies,KIT SURFBOARD DISCRETE 46PCS,6,0,"96.90000","0","1","-","6000","Active","Adapter, Breakout Boards","46 Pieces (23 Values - 2 Each)","-","SMD to SIP","-"
http://schmartboard.com/content/Brochures/900-0027-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/MFG_900-0027-01.jpg",1988-1130-ND,900-0027-01,"Schmartboard, Inc.",I/O COMBO PACK,22,0,"20.00000","0","1","-","-","Active","Adapter, Breakout Boards","13 Pieces (10 Values - Mixed Quantities)","USB - mini B","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Prototyping_Bundle_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_BN1013.jpg,1932-1040-ND,BN1013,Bantam Tools,PROTOTYPING BUNDLE,6,0,"234.36000","0","1","-","-","Active","Prototyping Bundle","28 Pieces","-","Assorted End Mills, Assorted Materials, PCB Blanks","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Makerspace-in-a-Box_Deluxe_Bundle_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_BN1012.jpg,1932-1044-ND,BN1012,Bantam Tools,MAKERSPACE IN A BOX DELUXE BUNDL,7,0,"370.76000","0","1","-","-","Active","Prototyping Bundle","40 Pieces","-","Assorted End Mills, Assorted Materials, PCB Blanks","-"
http://www.capitaladvanced.com/pdf%20documents/unsp1pg.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/MK-US-260.jpg,MK260CA-ND,MK-US-260,Capital Advanced Technologies,KIT UNI-SIP ASSORTMENT 52PCS,2,0,"82.95000","0","1","Bag Per Value","1000, 2000, 3000, 4000, 5000","Active","Adapter, Breakout Boards","52 Pieces (26 Values - 2 Each)","-","SMD to SIP","-"
//media.digikey.com/pdf/Data%20Sheets/Pulsar%20PDFs/3_Copper_Clad_4-Packs.pdf,//media.digikey.com/Photos/Pulsar%20Photos/50-1506-(front).jpg,182-1055-ND,50-1506,Pulsar,PCB SAMPLER 6X8 4PK,6,0,"12.93000","0","1","-","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Printmaking_Kit_Web.pdf,-,KT1004-ND,KT1004,Bantam Tools,PRINTMAKING KIT,0,0,"53.04000","0","4","-","*","Active","-","-","-","-","-"
-,-,BN1017-ND,BN1017,Bantam Tools,MAKERSPACE IN A BOX MATERIALS BU,0,0,"138.60000","0","2","-","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14814_Web.pdf,-,TOL-14814-ND,TOL-14814,SparkFun Electronics,PCB MACHINING KIT,0,0,"150.00000","0","1","-","-","Active","PCB Machining Kit","64 Pieces (Assorted Per Value)","-","Assorted End Mills, PCB Blanks","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Makerspace-in-a-Box_Bundle_Web.pdf,-,BN1011-ND,BN1011,Bantam Tools,MAKERSPACE IN A BOX BUNDLE,0,0,"259.16000","0","1","-","*","Active","-","-","-","-","-"
-,-,BN1014-ND,BN1014,Bantam Tools,PROTOTYPING DELUXE BUNDLE,0,0,"370.76000","0","1","-","*","Active","-","-","-","-","-"
https://www.nxp.com/docs/en/user-guide/UM10754.pdf,-,OM13491UL-ND,OM13491UL,NXP USA Inc.,SURFACE MOUNT TO DIP EVALUATION,0,0,"22.73000","0","1","-","-","Active","Adapter, Breakout Boards","42 Pieces (5 Values - Mixed Quantities)","HWSON, MSOP, SO, VSSOP, XQFN","SMD to DIP","8"
https://www.nxp.com/docs/en/user-guide/UM10754.pdf,-,OM13492UL-ND,OM13492UL,NXP USA Inc.,SURFACE MOUNT TO DIP EVALUATION,0,0,"22.73000","0","1","-","-","Active","Adapter, Breakout Boards","42 Pieces (7 Values - 6 Each)","HVSON, MSOP, PCT, TSOP, TSSOP, XSON, WLCSP","SMD to DIP","6, 8, 10"
https://www.nxp.com/docs/en/user-guide/UM10754.pdf,-,OM13493UL-ND,OM13493UL,NXP USA Inc.,SURFACE MOUNT TO DIP EVALUATION,0,0,"22.73000","0","1","-","-","Active","Adapter, Breakout Boards","24 Pieces (4 Values - 6 Each)","DHVQFN","SMD to DIP","14, 16, 20, 24"
