Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/Magnetic_Sheet_Sample_Kit_DS.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MAGNETIC-SHEET-SAMPLE-KIT.jpg,445-180355-ND,MAGNETIC SHEET SAMPLE KIT,TDK Corporation,RF ABSORBING SHEET VER 1.0A,37,0,"203.00000","0","1","-","-","Active","EMI Absorber Sample Kit","Assorted"
https://leadertechinc.com/wp-content/uploads/2017/01/Board-Shield-Proto-Kit-Product-Profile-1.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT-PROTO-SHIELDS.jpg,1798-1277-ND,KIT PROTO SHIELDS,Leader Tech Inc.,BOARD SHIELD PROTOTYPE KIT,7,0,"42.44000","0","1","-","-","Active","EMI Shielding Prototype Kit","Assorted"
https://cdn.harwin.com/pdfs/DEV-001.pdf,//media.digikey.com/Photos/Harwin/MFG_DEV-001.jpg,952-3246-ND,DEV-001,Harwin Inc.,SPRING CONTACT DEVELOPMENT KIT,8,0,"118.56000","0","1","Plastic Box with Bin Guide","-","Active","Development","320 Pieces (16 Values - 20 Each)"
https://leadertechinc.com/wp-content/uploads/2016/09/tech-clip-kit-product-profile.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT-TECH-CLIP-1.jpg,1798-1276-ND,KIT TECH CLIP,Leader Tech Inc.,TECH CLIP PROTOTYPE KIT,19,0,"24.00000","0","1","-","-","Active","EMI Shielding Clip Kit","20 Pieces (20 Values - 1 Each)"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT18.jpg,1798-1275-ND,KIT18,Leader Tech Inc.,FABRIC SHIELDING GASKET ENGINEER,18,0,"37.76000","0","1","-","-","Active","EMI Shielding Fabric Kit","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT04.jpg,1798-1274-ND,KIT04,Leader Tech Inc.,FABRIC SHIELDING GASKET EMI/EMC,10,0,"201.29000","0","1","-","-","Active","EMI Shielding Fabric Kit","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT03.jpg,1798-1273-ND,KIT03,Leader Tech Inc.,CUBE FINGERSTOCK EMI/EMC LAB KIT,4,0,"661.34000","0","1","-","-","Active","EMI Shielding Fingerstock Kit","-"
https://api.kemet.com/component-edge/download/datasheet/FXS ENG KIT 02.pdf,//media.digikey.com/Photos/Kemet%20Photos/FXS-ENG-KIT-02.jpg,1680-1021-ND,FXS ENG KIT 02,KEMET,FLEX SUPPRESSOR ENGINEERING KIT,18,0,"191.33000","0","1","-","EF","Active","Flex Suppressor®","11 Pieces (11 Values - 1 Each)"
https://api.kemet.com/component-edge/download/datasheet/FXS ENG KIT 01.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_FXS-ENG-KIT-01.jpg,399-12068-ND,FXS ENG KIT 01,KEMET,KIT FLEX SUPPRESSOR SHEET,3,0,"178.15000","0","1","Bulk","EF","Obsolete","Flex Suppressor®","9 Pieces (9 Values - 1 Each)"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_KIT02.jpg,1798-1272-ND,KIT02,Leader Tech Inc.,EMI ""ENGINEERING IDEAS KIT"",3,0,"61.63000","0","1","-","-","Active","EMI Shielding Engineering Kit","Assorted"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_331001.jpg,732-10083-ND,331001,Wurth Electronics Inc.,SMD EMI CONTACT FINGER WE-SECF,1,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-SECF","Active","EMI Contact Finger","290 Pieces (15 Values - Mixed Quantities)"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/EMI_MicroAbsorb_Cat.pdf,//media.digikey.com/photos/Laird%20Tech%20Photos/6999.jpg,903-1154-ND,6999,Laird Technologies EMI,ABSORBER SAMPLE KIT 5 PIECES,0,0,"51.48000","0","1","-","Q-Zorb HF, Q-Zorb HP, RFLS, RFRET","Active","EMI Absorber Sample Kit","5 Pieces (5 Values - 1 Each)"
https://assets.lairdtech.com/home/brandworld/files/EMI-CAT-Essentials%201213.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/EMI-SAMPLE-KIT.JPG,903-1496-ND,EMI-SAMPLE-KIT,Laird Technologies EMI,SAMPLE KIT,0,0,"Obsolete","0","10","-","-","Obsolete","EMI Absorber Sample Kit","Assorted"
