Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Power (Watts)","Tolerance","Features","Quantity","Mounting Type","Packages Included"
https://www.seielect.com/catalog/sei-engineering kits.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KIT-RMCF-Series-Notebook.jpg,KIT-RMCF0402FT-04-ND,KIT-RMCF0402FT-04,Stackpole Electronics Inc,RES KIT 1K-9.76K 1/16W 2880PCS,142,0,"37.82000","0","1","Notebook","RMCF","Active","Thick Film","1k ~ 9.76k","1/16W","±1%","Automotive AEC-Q200","2880 Pieces (96 Values - 30 Each)","Surface Mount","0402 (1005 Metric)"
https://www.seielect.com/catalog/sei-engineering kits.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KIT-RMCF-Series-Notebook.jpg,KIT-RMCF0402FT-05-ND,KIT-RMCF0402FT-05,Stackpole Electronics Inc,RES KIT 10K-97.6K 1/16W 2880PCS,109,0,"37.82000","0","1","Notebook","RMCF","Active","Thick Film","10k ~ 97.6k","1/16W","±1%","Automotive AEC-Q200","2880 Pieces (96 Values - 30 Each)","Surface Mount","0402 (1005 Metric)"
https://www.seielect.com/catalog/sei-engineering kits.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KIT-RMCF-Series-Notebook.jpg,KIT-RMCF0402FT-03-ND,KIT-RMCF0402FT-03,Stackpole Electronics Inc,RES KIT 100-976 1/16W 2880PCS,106,0,"37.82000","0","1","Notebook","RMCF","Active","Thick Film","100 ~ 976","1/16W","±1%","Automotive AEC-Q200","2880 Pieces (96 Values - 30 Each)","Surface Mount","0402 (1005 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Susumu%20PDFs/Sample_kits_2016.pdf,//media.digikey.com/Photos/Susumu%20Photos/MFG_Sample-Kits.jpg,408-1994-ND,RG1005PD-KIT-FILE,Susumu,RES KIT 10-100K 1/16W 5820PCS,69,0,"80.97000","0","1","Notebook","RG","Active","Thin Film","10 ~ 100k","1/16W","±0.5%","Automotive AEC-Q200","5820 Pieces (97 Values - 60 Each)","Surface Mount","0402 (1005 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/LTW964TPW06030DB00.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/LTW964TPW06030DB00.JPG,541-1985-ND,LTW964TPW06030DB00,Vishay Dale,RES KIT 10-332K 1/10W 2200PCS,93,0,"91.66000","0","1","Notebook","TNPW","Active","Thin Film","10 ~ 332k","1/10W","±0.1%","Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant","2200 Pieces (110 Values - 20 Each)","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/28858/labkitmct0603at.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/LCT964MCT0603MDB00.JPG,541-1981-ND,LCT964MCT0603MDB00,Vishay Dale,RESISTR KIT 47-511K 1/8W 1960PCS,45,0,"91.66000","0","1","Notebook","MCT - Precision","Active","Thin Film","47 ~ 511k","1/8W","±0.1%","Anti-Sulfur, Automotive AEC-Q200","1960 Pieces (98 Values - 20 Each)","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/28859/labkitmcs0402.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/LCS964MCS04020DB00.jpg,541-1979-ND,LCS964MCS04020DB00,Vishay Dale,RES KIT 47-221K 1/16W 3600PCS,38,0,"91.66000","0","1","Notebook","MCS - Precision","Active","Thin Film","47 ~ 221k","1/16W","±0.1%","-","3600 Pieces (90 Values - 40 Each)","Surface Mount","0402 (1005 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Susumu%20PDFs/Sample_kits_2016.pdf,//media.digikey.com/Photos/Susumu%20Photos/MFG_Sample-Kits.jpg,408-1995-ND,RG1608PD-KIT-FILE,Susumu,RES KIT 10-360K 1/10W 6600PCS,44,0,"99.30000","0","1","Notebook","RG","Active","Thin Film","10 ~ 360k","1/10W","±0.5%","Automotive AEC-Q200","6600 Pieces (110 Values - 60 Each)","Surface Mount","0603 (1608 Metric)"
http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,//media.digikey.com/Photos/Yageo%20Photos/MFG_%20RC0201-R-SKE24L.jpg,RC0201-R-SKE24L-ND,RC0201-R-SKE24L,Yageo,RESISTR KIT 0-10M 1/20W 12900PCS,33,0,"322.51000","0","1","Notebook","RC","Active","Thick Film","0.0 ~ 10M","1/20W","Jumper, ±1%, ±5%","Moisture Resistant","12900 Pieces (129 Values - 100 Each)","Surface Mount","0201 (0603 Metric)"
http://www.vishay.com/docs/49247/49247_pt9082.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/LAE1ACHIP0402KFE96.JPG,541-1418-ND,LAE1ACHIP0402KFE96,Vishay Dale,RESISTOR KIT 0-1M 1/16W 12200PCS,104,0,"377.41000","0","1","Plastic Box with Bin Guide","CRCW","Active","Thick Film","0.0 ~ 1M","1/16W","Jumper, ±1%","Automotive AEC-Q200","12200 Pieces (122 Values - 100 Each)","Surface Mount","0402 (1005 Metric)"
