Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/50-76247.jpg,1027-1004-ND,54-76247,Interlink Electronics,FSR DESIGN KIT,4,0,"172.69000","0","1","-","FSR™400","Active","Force Sensing Resistor","16 Pieces (4 Values - 4 Each)"
-,//media.digikey.com/photos/TE%20Connectivity/1004308-2.jpg,223-1872-ND,1004308-2,TE Connectivity Measurement Specialties,SENSOR PIEZO FILM DESIGN KIT,14,0,"232.50000","0","1","-","-","Active","Piezo Sensor","Assorted"
https://www.sstsensing.com/wp-content/uploads/2016/05/DS0055rev5_ZrO2-OxygenMeasurementSystem.pdf,//media.digikey.com/Photos/SST-Sensing/ZRO2-SYSTEM-V25.jpg,1921-1035-ND,ZRO2-SYSTEM-V25,SST Sensing Ltd.,SENSOR OXYGEN,20,0,"378.19000","0","1","-","Zirconia","Active","Oxygen Sensor","2 Pieces (2 Values - 1 Each)"
https://www.sstsensing.com/wp-content/uploads/2016/05/DS0055rev5_ZrO2-OxygenMeasurementSystem.pdf,//media.digikey.com/Photos/SST-Sensing/MFG_ZrO2-system.jpg,1921-1034-ND,ZRO2-SYSTEM-485,SST Sensing Ltd.,SENSOR OXYGEN,15,0,"378.19000","0","1","-","Zirconia","Active","Oxygen Sensor","2 Pieces (2 Values - 1 Each)"
https://www.sstsensing.com/wp-content/uploads/2016/05/DS0055rev5_ZrO2-OxygenMeasurementSystem.pdf,//media.digikey.com/Photos/SST-Sensing/MFG_ZrO2-system.jpg,1921-1036-ND,ZRO2-SYSTEM-A25,SST Sensing Ltd.,SENSOR OXYGEN,7,0,"378.19000","0","1","-","Zirconia","Active","Oxygen Sensor","2 Pieces (2 Values - 1 Each)"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WBP-DO-01-3F.pdf,//media.digikey.com/Photos/Digital-Six-Labs/WBP-DO-01-3F.jpg,1661-1088-ND,WBP-DO-01-3F,Digital Six Labs,RES DOOR SENSOR 3FT CABLE,51,0,"25.00000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WBP-TR-01-6I.pdf,//media.digikey.com/Photos/Digital-Six-Labs/WBP-TR-01-6I.JPG,1661-1079-ND,WBP-TR-01-6I,Digital Six Labs,THERM PROBE KIT 3IN 6IN CABLE,34,0,"40.00000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WBP-TR-01-3F.pdf,//media.digikey.com/Photos/Digital-Six-Labs/WBP-TR-01-3F.jpg,1661-1080-ND,WBP-TR-01-3F,Digital Six Labs,THERM PROBE KIT 3IN 3FT CABLE,34,0,"40.00000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WBP-TR-03-3F.pdf,//media.digikey.com/Photos/Digital-Six-Labs/WBP-TR-03-3F.jpg,1661-1083-ND,WBP-TR-03-3F,Digital Six Labs,THERM PROBE KIT DUCT MNT 3FT CBL,27,0,"50.00000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WBP-TR-04-6I.pdf,//media.digikey.com/Photos/Digital-Six-Labs/WBP-TR-04-6I.jpg,1661-1085-ND,WBP-TR-04-6I,Digital Six Labs,LUG THERM PROBE KIT 6IN CABLE,27,0,"50.00000","0","1","-","*","Active","-","-"
