Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Includes"
http://documents.staticcontrol.com/pdf/8501_Field_Service_Kit.pdf,//media.digikey.com/Photos/SCS/MFG_8501.jpg,SCP124-ND,8501,SCS,FIELD SERVICE KIT,37,0,"86.06000","0","1","-","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
-,//media.digikey.com/Photos/3M%20Photos/8507A9622.JPG,8507A9622-ND,8507A9622,SCS,FIELD SERVICE KIT,65,0,"164.20000","0","1","-","Active","Portable Field Service","-"
http://documents.staticcontrol.com/pdf/FSKL3RD_Field_Service_Kit.pdf,//media.digikey.com/Photos/SCS/MFG_FSKL3RD.jpg,SCP669-ND,FSKL3RD,SCS,STATIC FIELD SERV. KIT,28,0,"47.86000","0","1","-","Not For New Designs","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
https://www.pomonaelectronics.com/file/17927/download?token=F64uHs-n,//media.digikey.com/photos/Pomona%20Photos/MFG_6087.jpg,501-1524-ND,6087,Pomona Electronics,KIT FIELD SERVICE RED ESD,17,0,"87.99000","0","1","Pomona®","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
https://www.pomonaelectronics.com/file/17929/download?token=OJadSuFo,//media.digikey.com/photos/Pomona%20Photos/MFG_6088.jpg,501-1485-ND,6088,Pomona Electronics,KIT LARGE SERVICE RED ESD,5,0,"107.99000","0","1","Pomona®","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
-,-,16-04599-ND,04599,Desco,PORTABLE FIELD SERVICE KIT,9,0,"60.92000","0","1","-","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
http://documents.staticcontrol.com/PDF/TB-3077.pdf,-,16-1595-ND,19790,Desco,ESD SURVEY KIT NORTH AMERICA 120,2,0,"3637.85000","0","1","-","Active","Verification","Air Ionizer Test Kit, Batteries, Case, Cord, Electrodes, Meters, Monitor, Testers"
https://www.descoindustries.com/PDF/EOS-ESD-Assessment-Kit.pdf,-,1569-770045-ND,770045,SCS,EOS/ESD ASSESSMENT KIT,1,0,"8465.30000","0","1","-","Active","Verification","Air Ionizer Test Kit, Case, Electrodes, Meters, Testers, Training Paddles, User Guides"
http://documents.desco.com/PDF/TD18576.PDF,-,18576-ND,18576,Desco,FLD SRVC KIT RD 2 PCKT 24X24'',0,0,"52.22000","0","1","-","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
http://documents.desco.com/PDF/TD18575.PDF,-,18575-ND,18575,Desco,FLD SRVC KIT BL 2 PCKT 24X24'',0,0,"59.22000","0","1","-","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
-,-,95651-ND,95651,Desco,FLD SRVC KIT RD 24X22 W/GND,0,0,"61.20000","0","1","-","Not For New Designs","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
http://documents.staticcontrol.com/pdf/8507_Field_Service_Kit.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_8507.jpg,8507-ND,8507,SCS,KIT FIELD SERVICE PORTABLE,0,0,"198.90200","0","5","-","Active","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
-,//media.digikey.com/photos/3M%20Photos/8021.jpg,SCP121-ND,8021,SCS,WORKSTAT KIT BROWN TABLE/FLOOR,1,0,"384.48000","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
-,//media.digikey.com/photos/3M%20Photos/8033.jpg,SCP180-ND,8033,SCS,WORKSTAT KIT GRAY TABLE BLACK FL,1,0,"387.43000","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
-,//media.digikey.com/photos/3M%20Photos/8024.jpg,SCP211-ND,8024,SCS,WORKSTAT KIT BLUE TABLE/FLOOR,1,0,"443.33000","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
http://documents.desco.com/PDF/TB-3064.pdf,-,50568-ND,50568,Desco,ESD SURVEY KIT NA 120VAC,0,0,"3716.86000","0","1","-","Active","Portable Field Service","Batteries, Case, Cord, Electrodes, Testers (5), Training Paddles"
http://documents.desco.com/PDF/TB-3064.pdf,-,50569-ND,50569,Desco,ESD SURVEY KIT NA 220VAC,0,0,"3716.86000","0","1","-","Active","Portable Field Service","Batteries, Case, Cord, Electrodes, Testers (5), Training Paddles"
http://documents.staticcontrol.com/pdf/EOS-ESD-Audit-Kit_User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_752.jpg,7523M-ND,752,SCS,EOS/ESD AUDIT KIT,0,0,"8465.30000","0","1","-","Active","Verification","Air Ionizer Test Kit, Case, Indicator, Meters, Monitor, Testers, User Guides, Wrist Straps"
-,//media.digikey.com/photos/3M%20Photos/8023.jpg,SCP123-ND,8023,SCS,WORKSTAT KIT GRAY TABLE/FLOOR,0,0,"Obsolete","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
-,//media.digikey.com/photos/3M%20Photos/8031.jpg,SCP179-ND,8031,SCS,MAT TABLE & FLOOR 3 LAYER COMBO,0,0,"Obsolete","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
-,//media.digikey.com/photos/3M%20Photos/8505.JPG,SCP182-ND,8505,SCS,KIT 8505 FIELD SERVICE LIGHT,0,0,"Obsolete","0","10","-","Obsolete","Portable Field Service","Clip, Cord, Wrist Band, Work Surface"
-,-,SCP212-ND,8030,SCS,WORKSTATION KIT ESD GOLD 5PCS,0,0,"Obsolete","0","1","-","Obsolete","Workstation Grounding","-"
-,//media.digikey.com/photos/3M%20Photos/8034.jpg,SCP213-ND,8034,SCS,WORKSTAT KIT BLUE TABLE BLACK FL,0,0,"Obsolete","0","1","-","Obsolete","Workstation Grounding","Cord, Floor Mat, Table Mat, Wrist Strap"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/2200.PDF,//media.digikey.com/photos/ACL%20Staticide%20Photos/2200.JPG,ST1032-ND,2200,ACL Staticide Inc,ANTI STATIC STARTER KIT,0,0,"Obsolete","0","1","-","Obsolete","Anti Static Starter","Swabs, Treatments, Wipes"
//media.digikey.com/pdf/Data%20Sheets/SCS%20PDFs/3000_Series_IS.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3041.jpg,3041-ND,3041,SCS,KIT GROUNDING F/STATIC HARD LAM,0,0,"Obsolete","0","10","-","Obsolete","Grounding","Cord, Hardware"
-,-,84053M-ND,8405,SCS,TEST KIT MOISTURE CALC CHLORIDE,0,0,"Obsolete","0","1","-","Obsolete","Moisture Test (Calcium Chloride Type)","-"
-,-,8502-ND,8502,SCS,KIT STATIC DISSP FIELD SERVICE,0,0,"Obsolete","0","10","-","Obsolete","Portable Field Service","Caution Sign, Cords, Wrist Band, Work Surface"
-,//media.digikey.com/Photos/3M%20Photos/724VK.jpg,SCP305-ND,724VK,SCS,KIT VERIFICATION,0,0,"Obsolete","0","1","-","Obsolete","Verification","Plugs to Test Wrist Straps"
http://documents.staticcontrol.com/PDF/724VK.pdf,//media.digikey.com/Photos/SCS/MFG_725VK.jpg,SCP540-ND,725VK,SCS,KIT VERIFICATION,0,0,"Obsolete","0","1","-","Obsolete","Verification","Plugs to Test Wrist Straps"
