Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Tape Type","Tape Included","Quantity"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7101.jpg,3M10391-ND,TK7101,3M (TC),DESIGN ENGR BONDING TAPE KIT,2,0,"95.33000","0","1","Cardboard Box","-","Active","Design","4004, 4008, 4032, 4646, 4905, 4910, 4941, 4950, 4959, 4462W, 9629PC","Rolls (4), Strips (39)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7104.jpg,3M10394-ND,TK7104,3M (TC),DESIGN ENGR METAL FOIL TAPE KIT,3,0,"113.15000","0","1","Cardboard Box","-","Active","Design","363, 420, 425, 433, 438, 1126, 1181, 1194, 1430, 3311, 3326","Rolls (7), Strips (40)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7103.jpg,3M10393-ND,TK7103,3M (TC),DESIGN ENGR FILM TAPE KIT,2,0,"144.72000","0","1","Cardboard Box","-","Active","Design","92, 850, 1093, 1205, 1218, 5413, 5419, 5433, 7413, 7419, 8992","Rolls (7), Strips (35)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK9094.jpg,3M10447-ND,TK9094,3M (TC),TRANSPORTATION TAPE KIT,3,0,"64.04000","0","1","Cardboard Box","-","Active","Transportation","17002, 310, 373, 3900, 471, 4811, 4941, 898, 983-326, SJ3550, SJ3560","Hooks (2), Rolls (4), Strips (45)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7575.jpg,3M10450-ND,TK7575,3M (TC),SAFETY TAPE KIT-INDUST VERSION,0,0,"66.01000","0","1","Cardboard Box","-","Active","Safety","17002, 3431, 3903, 471, 610, 6900, 766, 983-326, SJ3550, SJ3560","Hooks (2), Rolls (4), Strips (46)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7105.jpg,3M10395-ND,TK7105,3M (TC),DESIGN ENGR SOLUTION SEMINAR KIT,0,0,"94.82000","0","1","Cardboard Box","-","Active","Design","361, 425, 2552, 4905, 5451, 5952, 4412N, 9626C, F9469PC, RP45, SJ3560","Rolls (4), Strips (40)"
http://multimedia.3m.com/mws/media/659028O/scotch-wireless-weatherproofing-kit-wk-101.pdf,-,WK-101-ND,WK-101,3M,WIRELESS WPRFG KIT COLD WEATHER,0,0,"45.53800","0","10","Bulk","Scotch®","Active","Weather Proofing","2212, Super 33+™","9 Rolls"
-,-,3M3101-ND,3101,3M,3101 MINING TAPE KIT,0,0,"48.96000","0","10","Cardboard Box","3100","Active","Splicing","Assortment","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_845-VP.jpg,845-VP-ND,845-VP,3M,SCOTCH BOOK TAPE VALUE PACK 845-,0,0,"52.42000","0","1","-","Scotch®","Active","Book Tape","845","Rolls (8)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK1689.jpg,3M10455-ND,TK1689,3M (TC),PLANT SAFETY TAPE KIT,0,0,"265.71000","0","1","Cardboard Box","-","Active","Safety","471, 766","Rolls (7)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK7102.jpg,3M10392-ND,TK7102,3M (TC),DESIGN ENGR ELECT INSLT TAPE KIT,0,0,"Obsolete","0","1","Cardboard Box","-","Obsolete","Electrical","5, 27, 44, 46, 69, 79, 92, 1205, 1339, 1318-1, 1350F-1","Rolls (7), Strips (40)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK1881.jpg,TK1881-ND,TK1881,3M (TC),ART TAPE KIT,0,0,"Obsolete","0","1","Cardboard Box","-","Obsolete","Household","3903, 4008, 4408, 6900, 850, CM592, SJ5012, SJ6512","Rolls (4), Strips (49)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_TK1621.jpg,TK1621-ND,TK1621,3M (TC),BOATING TAPE KIT,0,0,"Obsolete","0","1","Cardboard Box","-","Obsolete","Marine","17002, 2120, 220, 310, 3431, 4950, 838, EMB-45R, SJ3000, SJ3550, SJ3560","Hooks (2), Rolls (2), Strips (44)"
