Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Temperature Range"
https://www.tdk-electronics.tdk.com/download/175774/e8a7dc61c1dba65582398c523e61b38b/ptc-overcurrent-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B59002Z999A99.jpg,495-6732-ND,B59002Z0999A099,EPCOS (TDK),PTC THERMISTOR FOR OVERCURRENT,6,0,"25.20000","0","1","Plastic Box with Bin Guide","-","Active","PTC","Assorted","-"
-,//media.digikey.com/Photos/Ametherm%20Photos/MFG_Sensors-Sample-Kit.jpg,570-1186-ND,SENSORS SAMPLE KIT,Ametherm,SAMPLE KIT,16,0,"37.80000","0","1","Plastic Box with Bin Guide","-","Active","NTC","6 Pieces (6 Values - 1 Each)","-"
https://www.tdk-electronics.tdk.com/inf/130/smd_ptc_thermistors_limit_temperature.pdf,//media.digikey.com/Photos/Epcos%20Photos/B59001Z999A99.jpg,495-6731-ND,B59001Z0999A099,EPCOS (TDK),PTC THERMISTOR FOR LIMIT,1,0,"25.20000","0","1","Plastic Box with Bin Guide","-","Active","PTC","Assorted","-"
https://en.tdk.eu/download/175766/787dde9f17443c17483916187f6e4c62/ptc-inrushcurrentlimiters-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B59003Z999A99.JPG,495-6733-ND,B59006Z0999A099,EPCOS (TDK),PTC THERMISTOR FOR INRUSH,0,0,"25.20000","0","1","Plastic Box with Bin Guide","-","Active","PTC","33 Pieces (11 Values - 3 Each)","-"
https://www.tdk-electronics.tdk.com/inf/130/ntc_icl.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57888S0888M888.JPG,495-6740-ND,B57888S0888M888,EPCOS (TDK),THERMISTOR NTC,0,0,"26.40000","0","1","Plastic Box with Bin Guide","-","Active","NTC","Assorted","-55°C ~ 170°C"
https://www.tdk-electronics.tdk.com/inf/130/smd_ntc_thermistors_general_use.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57999V2999J199.jpg,495-6727-ND,B57999V2999J199,EPCOS (TDK),NTC THERMISTOR OHM,1,0,"44.00000","0","1","Plastic Box with Bin Guide","-","Active","NTC","Assorted","-40°C ~ 150°C"
https://www.tdk-electronics.tdk.com/inf/130/smd_ntc_thermistors_temperature.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57999V5999J099.jpg,495-6729-ND,B57999V5999J199,EPCOS (TDK),THERMISTOR NTC,1,0,"44.00000","0","1","Plastic Box with Bin Guide","-","Active","NTC","Assorted","-55°C ~ 125°C"
http://www.vishay.com/doc?29155,//media.digikey.com/Photos/Vishay%20BC%20Photos/NTCSTFPTNTHSPTSLAB.JPG,BC2980-ND,NTCSTFPTNTHSPTSLAB,Vishay BC Components,KIT THERMISTOR,1,0,"160.00000","0","1","Plastic Box with Bin Guide","-","Active","NTC, PTC","5725 Pieces (109 Values - Mixed Quantities)","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174937-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/NTC0201-KIT.JPG,445-174937-KIT-ND,NTC0201-KIT,TDK Corporation,NTC THERMISTOR 0201 COMM GRADE K,5,0,"21.18000","0","1","Plastic Box with Bin Guide","NTCG","Active","NTC","90 Pieces (9 Values - 10 Each)","-40°C ~ 125°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174940-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/NTCAUTO-KIT.JPG,445-174940-KIT-ND,NTCAUTO-KIT,TDK Corporation,NTC THERMISTOR AUTOMOTIVE GRADE,7,0,"36.67000","0","1","Plastic Box with Bin Guide","NTCG","Active","NTC","120 Pieces (12 Values - 10 Each)","-40°C ~ 150°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/NTCG0805-KIT_Series.pdf,//media.digikey.com/Photos/TDK%20Photos/NTCG0805-KIT.JPG,NTCG0805-KIT-ND,NTCG0805-KIT,TDK Corporation,NTC THERMISTOR 0805 COMM GRADE,1,0,"39.94000","0","1","-","NTCG","Active","NTC","160 Pieces (16 Values - 10 Each)","-40°C ~ 125°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174938-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/445-174938-KIT.jpg,445-174938-KIT-ND,NTC0402-KIT,TDK Corporation,NTC THERMISTOR 0402 COMM GRADE K,2,0,"40.34000","0","1","Book","NTCG","Active","NTC","160 Pieces (16 Values - 10 Each)","-40°C ~ 125°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174939-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/NTC0603-KIT.JPG,445-174939-KIT-ND,NTC0603-KIT,TDK Corporation,NTC THERMISTOR 0603 COMM GRADE K,7,0,"43.19000","0","1","Plastic Box with Bin Guide","NTCG","Active","NTC","160 Pieces (16 Values - 10 Each)","-40°C ~ 125°C"
-,//media.digikey.com/Photos/Epcos%20Photos/495-75366-KIT.jpg,495-75366-KIT-ND,495-75366-KIT,EPCOS (TDK),NTC SENSOR KIT,3,0,"62.29000","0","1","Plastic Box with Bin Guide","-","Active","NTC","18 Pieces (9 Values - 2 Each)","-"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=77,-,KCNTC-KIT-ND,Q27666,Amphenol Advanced Sensors,KIT THERMISTOR PTC 28PCS,0,0,"Obsolete","0","1","-","RL NTC","Obsolete","NTC","30 Pieces (15 Values - 2 Each)","-50°C ~ 150°C"
-,//media.digikey.com/Photos/GE%20Sensing%20Photos/KCPTC1-KIT.jpg,KCPTC1-KIT-ND,KCPTC1-KIT,Amphenol Advanced Sensors,KIT THERMISTOR PTC 6 VAL/12PCS,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","RL PTC","Discontinued at Digi-Key","PTC","12 Pieces (6 Values - 2 Each)","-"
-,-,495-6728-ND,B57999V3999J099,EPCOS (TDK),THERMISTOR NTC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","-","Obsolete","NTC","Assorted","-40°C ~ 150°C"
