Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Mounting Type"
https://en.tdk.eu/inf/130/B82801X1.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82801X1.jpg,495-7210-ND,B82801X0001,EPCOS (TDK),SMT CURRENT SENSE TRANSFORMERS K,7,0,"61.50000","0","1","Plastic Box with Bin Guide","B82801A","Active","Current Sense","45 Pieces (9 Values - 5 Each)","Surface Mount"
-,//media.digikey.com/Photos/Fair-Right/0199000024.jpg,1934-1114-ND,0199000024,Fair-Rite Products Corp.,RFID KIT #24,7,0,"143.33000","0","1","-","146200","Active","-","-","Surface Mount"
http://productfinder.pulseeng.com/products/datasheets/P774.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,PH9400NLKIT-ND,PH9400NLKIT,Pulse Electronics Power,HIGH ISOLATION GDT KIT,38,0,"37.82000","0","1","Plastic Box with Bin Guide","PH9400","Active","Gate Drive","20 Pieces (10 Values - 2 Each)","Surface Mount"
http://productfinder.pulseeng.com/products/datasheets/P766.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,PH9385NLKIT-ND,PH9385NLKIT,Pulse Electronics Power,HIGH ISOLATION TRANSFORMER KIT,37,0,"37.82000","0","1","Plastic Box with Bin Guide","PH9385","Active","Gate Drive","32 Pieces (8 Values - 4 Each)","Surface Mount"
http://productfinder.pulseeng.com/products/datasheets/P759.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,PH9085NLKIT-ND,PH9085NLKIT,Pulse Electronics Power,ISOLATION TRANSFORMER KIT,36,0,"37.82000","0","1","Plastic Box with Bin Guide","PH9085","Active","Gate Drive","72 Pieces (9 Values - 8 Each)","Surface Mount"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,PH9185NLKIT-ND,PH9185NLKIT,Pulse Electronics Power,HIGH ISOLATION TRANSFORMER KIT,33,0,"37.82000","0","1","Plastic Box with Bin Guide","PH9185","Active","Gate Drive","32 Pieces (8 Values - 4 Each)","Surface Mount"
https://en.tdk.eu/inf/130/B82801X3.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82801X3.jpg,495-7212-ND,B82801X0003,EPCOS (TDK),SMT CURRENT SENSE TRANSFORMERS K,2,0,"43.50000","0","1","Plastic Box with Bin Guide","B82801C","Active","Current Sense","8 Pieces (4 Values - 2 Each)","Surface Mount"
https://en.tdk.eu/inf/130/B82801X2.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82801X2.jpg,495-7211-ND,B82801X0002,EPCOS (TDK),SMT CURRENT SENSE TRANSFORMERS K,5,0,"61.50000","0","1","Plastic Box with Bin Guide","B82801B","Active","Current Sense","27 Pieces (9 Values - 3 Each)","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/UKIT-007AE_Auto_Designer_Kit.pdf,//media.digikey.com/Photos/Pulse%20Photos/UKIT-007AE.jpg,1840-1181-ND,UKIT-007AE,Pulse Electronics Network,KIT NETWORK AUTOMOTIVE,0,0,"114.00000","0","1","-","-","Active","-","139 Pieces (Assorted Per Value)","Surface Mount"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/749010.JPG,732-7126-ND,749010,Wurth Electronics Inc.,DESIGN KIT WE-LAN,0,0,"272.50000","0","1","Plastic Box with Bin Guide","WE-LAN","Active","LAN","75 Pieces (15 Values - 5 Each)","Surface Mount"
https://www.bourns.com/docs/technical-documents/Tel-Note/en/bourns_ic1546_exposed_poe_circuit_conditioning_telnote.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TEL-NOTEKIT-2.jpg,TEL-NOTEKIT-2-ND,TEL-NOTEKIT-2,Bourns Inc.,TELNOTE DESIGN KIT - EXPOSED POW,0,0,"17.60000","0","1","Plastic Box with Bin Guide","Tel-Note","Active","Design Power-over-Ethernet","10 Pieces (10 Values - 1 Each)","Surface Mount"
http://catalog.triadmagnetics.com/Asset/CST306K.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/CST306-KIT.jpg,237-1110-ND,CST306K,Triad Magnetics,KIT CRNT SENSE TRANSF CST306 SER,0,8,"19.06000","0","1","Plastic Box with Bin Guide","CST","Active","High Frequency Current Sense","6 Pieces (6 Values - 1 Each)","Through Hole"
-,-,35AMPS-CSTNLKIT-ND,35AMPS-CSTNLKIT,Pulse Electronics Power,TRANSISTOR CURR SENSE 35A,4,0,"19.64000","0","1","-","*","Obsolete","-","-","-"
-,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-2748-ND,10AMPS-CSTKIT,Pulse Electronics Power,10 AMPS CURRENT SENSE TRAN PBC,0,0,"21.78800","0","60","Plastic Box with Bin Guide","P820X","Active","Current Sense","24 Pieces (8 Values - 3 Each)","Surface Mount"
http://catalog.triadmagnetics.com/Asset/CST206K.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/CST206-KIT.jpg,237-1102-ND,CST206K,Triad Magnetics,KIT CRNT SENSE TRANSF CST206 SER,0,0,"25.45000","0","1","Plastic Box with Bin Guide","CST","Active","High Frequency Current Sense","6 Pieces (6 Values - 1 Each)","Through Hole"
-,//media.digikey.com/Photos/Pulse%20Photos/Inductor-KIT-Series.jpg,553-2750-ND,4AMPS-CSTNLKIT,Pulse Electronics Power,4 AMPS CURRENT SENSE TRANS NPB,4,0,"26.54000","0","1","Plastic Box with Bin Guide","PA0368NL","Active","Current Sense","15 Pieces (5 Values - 3 Each)","Surface Mount"
