Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","CCT (K)","Voltage - Supply","Current - Supply","Contents","Features"
https://www.inspiredled.com/wp-content/uploads/2018/10/Pro-Series-Spec-2.3.pdf,//media.digikey.com/photos/Inspired-LED/3583_Contents.jpg,1647-1062-ND,4830,"Inspired LED, LLC",21 LED PRO SERIES SUPER DELUXE K,10,0,"142.68000","0","1","PRO Series","Active","General Purpose Lighting Kit","White, Cool","6000K","12VDC","2A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/2018/10/Pro-Series-Spec-2.3.pdf,//media.digikey.com/photos/Inspired-LED/4828.jpg,1647-1060-ND,3582,"Inspired LED, LLC",21 LED PRO SERIES DELUXE KIT - P,10,0,"72.21000","0","1","PRO Series","Active","General Purpose Lighting Kit","White, Neutral","4200K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/2018/10/Pro-Series-Spec-2.3.pdf,//media.digikey.com/photos/Inspired-LED/4828.jpg,1647-1059-ND,4828,"Inspired LED, LLC",21 LED PRO SERIES DELUXE KIT - C,6,0,"72.21000","0","1","PRO Series","Active","General Purpose Lighting Kit","White, Cool","6000K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/Universal-TV-Backlight-Kit-2.2.pdf,//media.digikey.com/photos/Inspired-LED/3670.jpg,1647-1050-ND,3670,"Inspired LED, LLC",UNIVERSAL BACKLIGHT KIT USB SWIT,24,0,"73.46000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","USB Switch"
-,//media.digikey.com/photos/Inspired-LED/3667.jpg,1647-1047-ND,3667,"Inspired LED, LLC",LARGE UNIVERSAL BACKLIGHT,4,0,"77.63000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","3.8A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/2018/10/Pro-Series-Spec-2.3.pdf,//media.digikey.com/photos/Inspired-LED/3583_Contents.jpg,1647-1063-ND,3583,"Inspired LED, LLC",21 LED PRO SERIES SUPER DELUXE K,4,0,"142.68000","0","1","PRO Series","Active","General Purpose Lighting Kit","White, Neutral","4200K","12VDC","2A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/2018/10/Pro-Series-Spec-2.3.pdf,//media.digikey.com/photos/Inspired-LED/3583_Contents.jpg,1647-1061-ND,4829,"Inspired LED, LLC",21 LED PRO SERIES SUPER DELUXE K,2,0,"142.68000","0","1","PRO Series","Active","General Purpose Lighting Kit","White, Warm","3000K","12VDC","2A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/Universal-TV-Backlight-Kit-2.2.pdf,//media.digikey.com/photos/Inspired-LED/3671.jpg,1647-1051-ND,3671,"Inspired LED, LLC",UNIVERSAL BACKLIGHT KIT USB SWIT,5,0,"77.63000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","3.8A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","USB Switch"
https://www.inspiredled.com/wp-content/uploads/Mini-TV-Backlight-Kit-w-USB-2.1.pdf,//media.digikey.com/photos/Inspired-LED/4836.jpg,1647-1044-ND,4836,"Inspired LED, LLC",MINI BACKLIGHT KIT,2,0,"42.41000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
-,//media.digikey.com/photos/Inspired-LED/3665.jpg,1647-1045-ND,3665,"Inspired LED, LLC",SMALL UNIVERSAL BACKLIGHT,1,0,"57.04000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","-"
https://www.inspiredled.com/wp-content/uploads/Universal-TV-Backlight-Kit-2.2.pdf,//media.digikey.com/photos/Inspired-LED/3669.jpg,1647-1049-ND,3669,"Inspired LED, LLC",UNIVERSAL BACKLIGHT KIT USB SWIT,3,0,"64.31000","0","1","-","Active","TV Backlight Kit","White, Cool","6000K","12VDC","1A","Cable(s), In-Line Switch(s), LED Strip(s), Mounting Hardware, Power Supply","USB Switch"
