Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","For Use With/Related Products","Shape"
https://www.boydcorp.com/aavid-datasheets/Aavid-ZFlow75-Spotlight-Cooler-38W.pdf,//media.digikey.com/Photos/Nuventix/MFG_HSLCS-CALBL-019.jpg,1061-1062-ND,HSLCS-CALBL-019,"Aavid, Thermal Division of Boyd Corporation",ROUND HEAT SINK SPOTLIGHTS,288,0,"10.97000","0","1","-","SynJet®","Active","Heat Sink","Spotlights","Round"
https://www.boydcorp.com/aavid-datasheets/AavLED-Heat-Sink-R87-60.pdf,//media.digikey.com/photos/Nuventix/NX301115.jpg,1061-1148-ND,NX301115,"Aavid, Thermal Division of Boyd Corporation",ROUND HEAT SINK VERO 10/13/18,199,0,"11.48000","0","1","-","SynJet®","Active","Heat Sink","Bridgelux Vero 10/13/18","Round"
https://www.cree.com/led-components/media/documents/LEDModules_LMH2.pdf,//media.digikey.com/Photos/Cree%20Photos/LMH020-HS00-0000-0000002.jpg,LMH020-HS00-0000-0000002-ND,LMH020-HS00-0000-0000002,Cree Inc.,ROUND HEAT SINK LMH2 LED MODULE,338,0,"13.56000","0","1","Box","LMH2 TrueWhite®","Active","Heat Sink","LMH2 TrueWhite® LED Module","Round"
http://www.tglobaltechnology.com/LED-die-cuts/LP0001v01-L37-3F-0.25-2A.PDF,//media.digikey.com/Photos/T-Global%20Technology%20Photos/LP0001%5E01-L37-3F-0.25-2A.JPG,1168-1852-ND,LP0001/01-L37-3F-0.25-2A,t-Global Technology,STAR THERMAL PAD LED STAR BRD,3579,0,"0.35000","0","1","-","LP","Active","Thermally Conductive Pad","LED Star Board","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/photos/Bergquist/803127.JPG,BER270-ND,803127,Bergquist,STAR THERM CLAD BRD LUXEON REBEL,981,0,"1.01000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Lumileds™ LUXEON Rebel","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/photos/Bergquist/803122.JPG,BER272-ND,803122,Bergquist,STAR THERMAL CLAD BOARD CREE XRE,4345,0,"1.11000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Cree XR-E","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/Thermal%20Clad%20IMS%20Star%20Series%20Osram%20Dragon.jpg,BER271-ND,803128,Bergquist,STAR THERM CLAD BD GOLDEN DRAGON,2898,0,"1.11000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Osram Golden Dragon®","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803291.jpg,BER288-ND,803291,Bergquist,STAR THERM CLAD BOARD NICHIA PWR,1376,0,"1.11000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Nichia Power LED 6.5 x 5.0","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803808.jpg,BER282-ND,803808,Bergquist,STAR THERM CLAD BRD OSRAM OSTAR,1295,0,"1.11000","0","1","1 per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Osram Ostar®","Star"
//media.digikey.com/PDF/Data%20Sheets/Wakefield%20Thermal%20PDFs/882_Series.pdf,//media.digikey.com/Photos/Wakefield%20Photos/882-50AB.jpg,345-1104-ND,882-50AB,Wakefield-Vette,ROUND HEAT SINK STAR LED BOARDS,2157,0,"1.96000","0","1","-","882","Active","Heat Sink","Star LED Boards","Round"
