Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Output Power","Voltage","Visible Output","Temperature"
https://www.excelitas.com/file-download/download/public/56831?filename=CermaxPE300BFA%20datasheet.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_PE300BFA.jpg,PE300BFA-ND,PE300BFA,Excelitas Technologies,LAMP PARABOLIC REFLECTOR 1"" 300W,43,0,"332.50000","0","1","Cermax®","Active","Short Arc Parabolic Lamp","Ceramic Body","28.8W (IR), 50W (Radiant), 2.6W (UV)","23kV (Start), 13V ~ 16V (Operating)","5000 lm","150°C (Max)"
http://www.excelitas.com/Downloads/DTS_1100Series.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_211-11xx0.jpg,211-11630-ND,211-11630,Excelitas Technologies,FX-1163 XENON LAMP,29,0,"478.80000","0","1","1100","Active","Short Arc Lamp","Metal Can","20W (Average)","350V ~ 1000V","-","-"
http://www.excelitas.com/Downloads/BUB0641%20RDGH.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/BUB-0641RD%28G%29%28H%29.jpg,BUB0641RD(G)(H)-ND,BUB 0641RD(G)(H),Excelitas Technologies,FLASHLAMP U HARD GLASS,1306,0,"3.38000","0","1","-","Active","Flashlamp","U-Shape","6Ws","200V ~ 550V","-","-"
http://www.excelitas.com/Downloads/DU8902-1.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/DU-8902-1%28H%29.jpg,DU8902-1(H)-ND,DU 8902-1(H),Excelitas Technologies,FLASHLAMP U QUARTZ,110,0,"52.37000","0","1","-","Active","Flashlamp","U-Shape","500Ws","400V ~ 660V","-","-"
http://www.excelitas.com/Downloads/BHN2647GH.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/BHN-2647%28G%29%28H%29.jpg,BHN2647(G)(H)-ND,BHN 2647(G)(H),Excelitas Technologies,FLASHLAMP HELICAL HARD GLASS,457,0,"7.16000","0","1","-","Active","Flashlamp","Helical Shape","20Ws","150V ~ 500V","-","-"
https://www.excelitas.com/file-download/download/public/56201?filename=Cermax%20PE300C-10F%20Datasheet.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_PExx00-xxF.jpg,1601-1413-ND,PE300C-10F,Excelitas Technologies,ELLIPTICAL REFLECTOR 1.4"" 300W,39,0,"478.80000","0","1","Cermax®","Active","Short Arc Eliptical Lamp","Ceramic Body","34.5W (IR), 75W (Radiant), 9.7W (UV)","23kV (Start), 11.5V ~ 15V (Operating)","6725 lm","150°C (Max)"
http://www.excelitas.com/Downloads/DTS_1100Series.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_211-11xx0.jpg,211-11530-ND,211-11530,Excelitas Technologies,XENON LAMP FX-1153,8,0,"441.56000","0","1","1100","Active","Short Arc Lamp","Metal Can","20W (Average)","350V ~ 1000V","-","-"
http://www.excelitas.com/Downloads/DTS_1100Series.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_211-11xx0.jpg,211-11600-ND,211-11600,Excelitas Technologies,XENON LAMP FX-1160,12,0,"469.49000","0","1","1100","Active","Short Arc Lamp","Metal Can","20W (Average)","350V ~ 1000V","-","-"
https://www.excelitas.com/file-download/download/public/56581?filename=X-Series%20Xenon%20Strobe%20manual.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/302-9000.jpg,302-9000-ND,302-9000,Excelitas Technologies,REPLACEMENT X-STROBE MVS-9000,6,0,"505.20000","0","1","-","Active","-","-","-","-","-","-"
http://www.excelitas.com/Downloads/DTS_1100Series.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_211-11xx0.jpg,211-11500-ND,211-11500,Excelitas Technologies,XENON LAMP FX-1150,3,0,"429.59000","0","1","1100","Active","Short Arc Lamp","Metal Can","20W (Average)","350V ~ 1000V","-","-"
