Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Lamp Color","Lens Color","Lens Transparency","Ratings","Voltage","Current","Panel Cutout Shape","Panel Cutout Dimensions","Lens Style","Lens Size","Millicandela Rating","Wavelength - Peak","Viewing Angle","Termination Style","Ingress Protection","Features"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXH312ID-150.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXH312ID-150.jpg,67-1190-ND,SSI-LXH312ID-150,Lumex Opto/Components Inc.,LED 3MM HI-I RED DIFF6""LDS PNLMT,6755,0,"1.12000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","2V","30mA","Round","0.17"" (4.32mm)","Round with Domed Top","3mm, T-1","30mcd","635nm","60°","Wire Leads - 6"" (152.40mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXH600GD-150.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXH600GD-150.jpg,67-1189-ND,SSI-LXH600GD-150,Lumex Opto/Components Inc.,LED 5MM GREEN DIFF 6""LDS PANELMT,6022,0,"1.23000","0","1","-","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.2V","25mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","30mcd","565nm","60°","Wire Leads - 6"" (152.40mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,//media.digikey.com/photos/CML%20Innovative%20Photos/5100H5.jpg,L10005-ND,5100H5,Visual Communications Company - VCC,LED GREEN 1/4"" HOLE PANEL MOUNT,16297,0,"1.48000","0","1","5100H","Active","LED","Green","-","-","Vf (Typ), If (Max)","2.2V","30mA","Round","0.25"" (6.35mm)","Round with Domed Top","-","30mcd","562nm","-","Wire Leads - 6"" (152.40mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,//media.digikey.com/photos/CML%20Innovative%20Photos/5100H1.jpg,L10001-ND,5100H1,Visual Communications Company - VCC,LED RED 1/4"" HOLE PANEL MOUNT,2293,0,"1.48000","0","1","5100H","Active","LED","Red","-","-","Vf (Typ), If (Max)","2V","35mA","Round","0.25"" (6.35mm)","Round with Domed Top","-","30mcd","635nm","-","Wire Leads - 6"" (152.40mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,//media.digikey.com/photos/CML%20Innovative%20Photos/5102H5-5V.jpg,L10025-ND,5102H5-5V,Visual Communications Company - VCC,LED GREEN 1/4"" HOLE 5V PANEL MNT,2751,0,"1.92000","0","1","5102H","Active","LED","Green","-","-","Vf (Typ), If (Max)","5V","15mA","Round","0.25"" (6.35mm)","Round with Domed Top","-","10mcd","565nm","-","Wire Leads - 6"" (152.40mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,//media.digikey.com/photos/CML%20Innovative%20Photos/5100H1^5.jpg,L10008-ND,5100H1/5,Visual Communications Company - VCC,LED RED/GRN BICLR 1/4""HOLE PNLMN,2683,0,"2.11000","0","1","5100H","Active","LED","Green, Red","-","-","Vf (Typ), If (Max)","2.2V Green, 2.2V Red","20mA Green, 20mA Red","Round","0.25"" (6.35mm)","Round with Domed Top","-","6mcd Green, 6mcd Red","565nm Green, 650nm Red","-","Wire Leads - 6"" (152.40mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/559_Series.pdf,//media.digikey.com/photos/Dialight/Dialight-559-0103-007F.jpg,350-2126-ND,5590103007F,Dialight,LED SNAP-IN PANEL 5MM 12V RED,1768,0,"2.41000","0","1","559","Active","LED","Red","-","Diffused","DC","12V","13mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","2mcd","655nm","60°","Wire Leads - 14"" (355.60mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR3612GD.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXR3612GD.jpg,67-1152-ND,SSI-LXR3612GD,Lumex Opto/Components Inc.,LED 3MM GREEN DIFF PANEL MOUNT,2220,0,"2.71000","0","1","-","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.2V","25mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","30mcd","565nm","60°","-","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR4815GD.pdf,//media.digikey.com/Photos/Lumex%20Photos/SSI-LXR4815GD%20(2).jpg,67-1164-ND,SSI-LXR4815GD,Lumex Opto/Components Inc.,LED 5MM GREEN REFLECTOR PANEL MT,2751,0,"3.07000","0","1","-","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.2V","25mA","Round","0.32"" (8.13mm)","Round with Domed Top","5mm, T-1 3/4","30mcd","565nm","60°","-","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR1612GD.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXR1612GD.jpg,67-1148-ND,SSI-LXR1612GD,Lumex Opto/Components Inc.,LED 3MM FLUSH GREEN DIFF PANELMT,3227,0,"3.20000","0","1","-","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.2V","25mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","30mcd","565nm","60°","-","-","-"
