Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Length","Width","Height","Interface","Type","Diagonal Screen Size"
http://www.newhavendisplay.com/specs/TSTFT3.5Z.pdf,//media.digikey.com/Photos/Newhaven%20Display%20Photos/MFG_TS-TFT3.5Z.jpg,TS-TFT3.5Z-ND,TS-TFT3.5Z,Newhaven Display Intl,TOUCH SCREEN RESISTIVE 3.5"",466,0,"9.95000","0","1","-","Active","2.82"" (71.82mm)","0.04"" (1.1mm)","2.07"" (52.56mm)","4-Wire","Resistive","3.5"" (88.90mm)"
http://multimedia.3m.com/mws/media/525960O/marketing-drawing-tsd-28138.pdf,//media.digikey.com/photos/3M%20Photos/17-8031-205.JPG,3M5745-ND,17-8031-205,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.68"",45,0,"91.22000","0","1","MicroTouch™ System SCT3250","Active","12.46"" (316.48mm)","0.15"" (3.73mm)","10.00"" (254.0mm)","Requires Controller","Capacitive","15.68"" (398.29mm)"
http://multimedia.3m.com/mws/media/525965O/marketing-drawing-28209-mkt-17-802x-2xx.pdf,//media.digikey.com/Photos/3M%20Photos/98000329163.jpg,3M15497-ND,98000329163,3M,TOUCH SCREEN CAPACITIVE 10.84"",28,0,"101.37000","0","1","MicroTouch™ System SCT3250","Active","8.58"" (217.93mm)","0.125"" (3.18mm)","6.61"" (167.89mm)","USB","Capacitive","10.84"" (275.08mm)"
http://multimedia.3m.com/mws/media/525960O/marketing-drawing-tsd-28138.pdf,//media.digikey.com/photos/3M%20Photos/17-8031-226.JPG,3M9127-ND,17-8031-226,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.68"",58,0,"139.77000","0","1","MicroTouch™ System SCT3250","Active","12.46"" (316.48mm)","0.15"" (3.73mm)","10.00"" (254.0mm)","USB","Capacitive","15.68"" (398.29mm)"
http://multimedia.3m.com/mws/media/525962O/marketing-drawing-tsd-28165.pdf,//media.digikey.com/photos/3M%20Photos/17-8441-203.jpg,3M5748-ND,17-8421-205,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.54"",37,0,"111.35000","0","1","MicroTouch™ System SCT3250","Active","13.60"" (345.31mm)","0.15"" (3.73mm)","11.08"" (281.48mm)","Requires Controller","Capacitive","17.54"" (445.50mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/98000335053_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_98000335053.jpg,3M157599-ND,98000335053,3M Touch Systems,TOUCH SCREEN CAPACITIVE 8.75"",98,0,"92.24000","0","1","MicroTouch™ System SCT3250","Active","-","-","-","USB","Capacitive","8.75"" (222.25mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0478_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0478.JPG,1738-1030-ND,FIT0478,DFRobot,TOUCH SCREEN CAPACITIVE 7"",40,0,"19.57000","0","1","-","Active","-","-","-","-","Capacitive","7.0"" (177.80mm)"
http://multimedia.3m.com/mws/media/525926O/marketing-drawing-28710-mkt-17-892x-2xx.pdf,//media.digikey.com/photos/3M%20Photos/17-8921-203.JPG,3M5520-ND,17-8921-203,3M Touch Systems,TOUCH SCREEN CAPACITIVE 8.75"",21,0,"56.70000","0","1","MicroTouch™ System SCT3250","Active","7.04"" (178.82mm)","0.15"" (3.73mm)","5.20"" (132.08mm)","Requires Controller","Capacitive","8.75"" (222.31mm)"
http://multimedia.3m.com/mws/media/525991O/marketing-drawing-28406-mkt-17-809x-2xx.pdf,//media.digikey.com/photos/3M%20Photos/17-8091-203.JPG,3M5519-ND,17-8091-203,3M Touch Systems,TOUCH SCREEN CAPACITIVE 6.71"",58,0,"58.36000","0","1","MicroTouch™ System SCT3250","Active","5.40"" (137.21mm)","0.15"" (3.73mm)","3.98"" (101.0mm)","Requires Controller","Capacitive","6.71"" (170.43mm)"
http://www.nkkswitches.com/pdf/4-wireTouch-2.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/FTAS00-121AS4.JPG,360-3039-ND,FTAS00-121AS4,NKK Switches,TOUCH SCREEN RESISTIVE 12.1"",24,0,"89.27000","0","1","FT","Active","10.28"" (261.00mm)","7.80"" (198.00mm)","0.083"" (2.10mm)","4-Wire","Resistive","12.1"" (307.34mm)"
