Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Output","Voltage - Input","AC Outlets","Connector - AC Output","Connector - Voltage Input","Power - Output Continuous","Power - Output Surge","Remote Capability","Region Utilized","Size","Features"
https://assets.tripplite.com/product-pdfs/en/pv150.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgPV150.jpg,TL295-ND,PV150,Tripp Lite,INVERTER 150W 12VDC 1OUT CIGPLU,288,0,"46.27000","0","1","PowerVerter®","Active","Inverter","120VAC","12VDC","1","NEMA 5-15R","Cigarette Lighter Plug","150W","300W","No","North America","5.75"" L x 3.75"" W x 1.75"" H (146.0mm x 95.3mm x 44.4mm)","-"
https://www.meanwell.com/Upload/PDF/TS-200/TS-200-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-200.jpg,1866-4941-ND,TS-200-124A,MEAN WELL USA Inc.,INVERTER 24VDC 200W 2 OUTLET,40,0,"135.14000","0","1","TS-200","Active","Inverter","110VAC","24VDC","2","NEMA 5-15R","Terminals","200W","400W","Yes","North America","8.07"" L x 6.22"" W x 2.32"" H (205.0mm x 158.0mm x 59.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-400/TS-400-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-400.jpg,1866-4946-ND,TS-400-112A,MEAN WELL USA Inc.,INVERTER 12VDC 400W 2 OUTLET,124,0,"141.57000","0","1","TS-400","Active","Inverter","110VAC","12VDC","2","NEMA 5-15R","Terminals","400W","800W","Yes","North America","8.07"" L x 6.22"" W x 2.64"" H (205.0mm x 158.0mm x 67.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-200/TS-200-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-200.jpg,1866-4942-ND,TS-200-148A,MEAN WELL USA Inc.,INVERTER 48VDC 200W 2 OUTLET,40,0,"135.14000","0","1","TS-200","Active","Inverter","110VAC","48VDC","2","NEMA 5-15R","Terminals","200W","400W","Yes","North America","8.07"" L x 6.22"" W x 2.32"" H (205.0mm x 158.0mm x 59.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-200/TS-200-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-200.jpg,1866-4940-ND,TS-200-112A,MEAN WELL USA Inc.,INVERTER 12VDC 200W 2 OUTLET,30,0,"135.14000","0","1","TS-200","Active","Inverter","110VAC","12VDC","2","NEMA 5-15R","Terminals","200W","400W","Yes","North America","8.07"" L x 6.22"" W x 2.32"" H (205.0mm x 158.0mm x 59.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-400/TS-400-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-400.jpg,1866-4947-ND,TS-400-124A,MEAN WELL USA Inc.,INVERTER 24VDC 400W 2 OUTLET,86,0,"141.57000","0","1","TS-400","Active","Inverter","110VAC","24VDC","2","NEMA 5-15R","Terminals","400W","800W","Yes","North America","8.07"" L x 6.22"" W x 2.64"" H (205.0mm x 158.0mm x 67.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-400/TS-400-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-400.jpg,1866-4948-ND,TS-400-148A,MEAN WELL USA Inc.,INVERTER 48VDC 400W 2 OUTLET,75,0,"141.57000","0","1","TS-400","Active","Inverter","110VAC","48VDC","2","NEMA 5-15R","Terminals","400W","800W","Yes","North America","8.07"" L x 6.22"" W x 2.64"" H (205.0mm x 158.0mm x 67.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-1000/TS-1000-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-1000.jpg,1866-4935-ND,TS-1000-124A,MEAN WELL USA Inc.,INVERTER 24VDC 1KW 2 OUTLET,41,0,"318.40000","0","1","TS-1000","Active","Inverter","110VAC","24VDC","2","NEMA 5-15R","Terminals","1kW","2kW","No","North America","13.58"" L x 7.24"" W x 2.76"" H (345.0mm x 184.0mm x 70.0mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv1800hf.pdf,//media.digikey.com/photos/Tripplite%20Photos/PV1800HF.jpg,TL226-ND,PV1800HF,Tripp Lite,INVERTER 1800W 12VDC 4OUTLET,31,0,"386.79000","0","1","PowerVerter®","Active","Inverter","120VAC","12VDC","4","NEMA 5-15R","Terminals","1.8kW","3.6kW","Yes","North America","15.00"" L x 6.00"" W x 4.00"" H (381.0mm x 152.4mm x 101.6mm)","-"
https://assets.tripplite.com/product-pdfs/en/pv375.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgPV375.jpg,TL296-ND,PV375,Tripp Lite,INVERTER 375W 12VDC 2OUT CIGPLUG,42,0,"72.08000","0","1","PowerVerter®","Active","Inverter","120VAC","12VDC","2","NEMA 5-15R","Cigarette Lighter Plug","375W","600W","No","North America","7.00"" L x 4.25"" W x 2.00"" H (177.8mm x 107.9mm x 50.8mm)","-"
