Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Current - Max","Region Utilized","Overload Protection","Connector - AC Input","Connector - AC Output","Voltage - Input","Dielectric Material","Media Lines Protected","AC Outlets","Energy","Cord Length","Approvals","Features"
https://assets.tripplite.com/product-pdfs/en/tlp606b.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLP606B.jpg,TL486-ND,TLP606B,Tripp Lite,SURGE SUPPR 6OUT 6'CORD,307,0,"14.89000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","-","6","790J","6' (1.83m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/tlp74rb.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_TLP74RB.jpg,TL1185-ND,TLP74RB,Tripp Lite,SURGE SUPPRESSOR 7 OUT,185,0,"16.00000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Plastic","-","7","1080J","4' (1.22m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/super6omnib.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SUPER6OMNI%20B.jpg,TL484-ND,SUPER6OMNI B,Tripp Lite,SURGE SUPPR 6OUT,123,0,"27.47000","0","1","Protect It!®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","10A","United Kingdom","Circuit Breaker(s)","-","-","230V","Plastic","-","6","750J","6' (1.83m)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/ESP-100-POE_Web.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/ESP-100-POE.jpg,994-1011-ND,ESP-100-POE,Laird Technologies IAS,SURGE PROTECTOR LAN/POE 7.5/70V,242,0,"30.22000","0","1","ESP","Active","Surge Protector for Media Lines Only","Chassis Mount","-","International","-","-","-","-","Aluminum","RJ45","None","-","-","-","Ground"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/672000542x.pdf,//media.digikey.com/photos/Weidmuller/MFG_6720005421.jpg,281-2580-ND,6720005421,Weidmüller,MODULE OUTLET AC DUAL 15A 120VAC,451,2535,"32.91000","0","1","-","Active","Outlet Box","DIN Rail","15A","North America","None","Screw Terminals","NEMA 5-15R","120V","Plastic","-","2","-","Without Cord","cUL, TUL, UL","-"
http://www.hammondmfg.com/pdf/PB0221.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1581H4.jpg,HM1526-ND,1581H4,Hammond Manufacturing,OUTLET STRIP IEC INTERNATIONAL,109,0,"49.34000","0","1","1581","Active","Outlet Strip","Bench, Wall","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Aluminum and Steel","-","4","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
http://www.hammondmfg.com/pdf/PB0221.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1581H6.jpg,HM1829-ND,1581H6,Hammond Manufacturing,POWER STRP 13.25""10A 230VAC 6OUT,420,217,"58.46000","0","1","1581","Active","Outlet Strip","Bench, Wall","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Aluminum and Steel","-","6","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
http://www.budind.com/pdf/hb194s.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/POS-194-S.jpg,377-1414-ND,POS-194-S,Bud Industries,POWER OUTLET STRIP 15A 8 REAR,119,805,"63.55000","0","1","-","Active","PDU, Surge Protector","Rack, Horizontal","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","8","450J","15' (4.57m)","UL","-"
http://www.hammondmfg.com/pdf/PB0221.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1581H8.jpg,HM1527-ND,1581H8,Hammond Manufacturing,POWER STRIP 17"" 10A 230VAC 8OUT,130,125,"67.25000","0","1","1581","Active","Outlet Strip","Bench, Wall","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Aluminum and Steel","-","8","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
https://assets.tripplite.com/product-pdfs/en/drs1215.pdf,//media.digikey.com/photos/Tripplite%20Photos/DRS-1215.jpg,TL262-ND,DRS-1215,Tripp Lite,SURGE SUPPRSSR 15A 14OUT RACKMNT,102,0,"86.62000","0","1","-","Active","PDU, Surge Protector","Rack, Horizontal","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","14","3840J","15' (4.57m)","CSA, cUL, UL","-"
