Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Form","Power - Rated","AC Outlets","Backup Time - Max Load","Media Lines Protected","Voltage - Output","Connector - AC Input","Connector - AC Output","Cord Length","Size / Dimension","Height"
https://assets.tripplite.com/product-pdfs/en/avr550u.pdf,//media.digikey.com/photos/Tripplite%20Photos/Tripplite_AVR550U.jpg,TL371-ND,AVR550U,Tripp Lite,UPS 550VA 300W 8OUT USB RJ/11,22,0,"97.59000","0","1","AVR","Active","Line Interactive (Input Regulation)","Desktop, Home Theater","Desktop","550VA / 300W","8 (4 UPS, 4 Surge Only)","3 minutes","RJ11","120V","NEMA 5-15P","NEMA 5-15R","6' (1.83m)","6.000"" L x 11.201"" W (152.40mm x 284.50mm)","3.504"" (89.00mm)"
https://assets.tripplite.com/product-pdfs/en/smart500rt1u.pdf,//media.digikey.com/photos/Tripplite%20Photos/SMART500RT1U.jpg,TL309-ND,SMART500RT1U,Tripp Lite,UPS 500VA 300W 7OUT W/SOFTWARE,32,0,"231.04000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount","500VA / 300W","7 (6 UPS, 1 Surge Only)","3 minutes","-","120V","NEMA 5-15P","NEMA 5-15R","10' (3.05m)","11.256"" L x 17.319"" W (286.00mm x 439.90mm)","1.728"" (43.90mm)"
http://select.phoenixcontact.com/phoenix/dwld/db_en_quint_ups_24dc_24dc_5_104657_en_01.pdf;jsessionid=5B3FE3A10B22CA6333C16B766809B84E.select-lin-dmz-app02-download?cp=y&asid2=744046187033834,//media.digikey.com/Photos/Phoenix%20Photos/2320212.jpg,277-2398-ND,2320212,Phoenix Contact,UPS 24VDC 5A DIN RAIL,87,292,"382.34000","0","1","Quint","Active","Standby (No Regulation)","-","Din Rail","-","-","-","-","24V","-","-","-","4.921"" L x 1.378"" W (125.00mm x 35.00mm)","5.118"" (130.00mm)"
http://www.pulspower.com/fileadmin/Dateien/pdf/ub10e241.pdf,"//media.digikey.com/Photos/PULS,%20LP/MFG_UB10.241.jpg",1736-1085-ND,UB10.241,"PULS, LP",DIN RAIL UPS CONTR 24V 3.9-40AH,34,0,"405.00000","0","1","DIMENSION U","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","360W","-","-","-","24V","-","-","-","4.606"" L x 1.929"" W (117.00mm x 49.00mm)","4.882"" (124.00mm)"
http://www.altechcorp.com/power/CB-CBI_SpecSheets/cbi%20data%20sheets/CBI1210A.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_CBI12xx.jpg,1920-1195-ND,CBI1210A,Altech Corporation,UPS 12VDC 10A DIN RAIL,26,35,"438.23000","0","1","-","Active","-","General Purpose, Industrial Control","Din Rail","17W","-","-","RJ45","12V","-","-","-","5.320"" L x 2.560"" W (135.13mm x 65.02mm)","4.530"" (115.06mm)"
http://select.phoenixcontact.com/phoenix/dwld/db_en_quint_ups_24dc_24dc_20_104659_en_01.pdf?cp=y&asid2=384076685083831,//media.digikey.com/Photos/Phoenix%20Photos/2320238.JPG,277-2400-ND,2320238,Phoenix Contact,UPS 24VDC 20A DIN RAIL,30,379,"505.16000","0","1","Quint","Active","Standby (No Regulation)","-","Din Rail","-","-","-","-","24V","-","-","-","4.921"" L x 1.575"" W (125.00mm x 40.00mm)","5.118"" (130.00mm)"
http://www.pulspower.com/fileadmin/Dateien/pdf/uc10e241.pdf,"//media.digikey.com/Photos/PULS,%20LP/MFG_UC10.241.jpg",1736-1006-ND,UC10.241,"PULS, LP",DIN RAIL BUFFERMOD 6KWS 24V 15A,48,0,"720.00000","0","1","DIMENSION U","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","360W","-","9 seconds","-","24V","-","-","-","4.606"" L x 4.961"" W (117.00mm x 126.00mm)","4.882"" (124.00mm)"
https://www.meanwell.com/Upload/PDF/DR-UPS40/DR-UPS40-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_DR-UPS40.jpg,1866-1020-ND,DR-UPS40,MEAN WELL USA Inc.,UPS 24V 40A DIN RAIL,111,0,"46.03000","0","1","DR-UPS40","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","-","-","-","-","24V","-","-","-","2.185"" L x 3.937"" W (55.50mm x 100.00mm)","4.929"" (125.20mm)"
https://assets.tripplite.com/product-pdfs/en/internet550u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/INTERNET550U.jpg,TL393-ND,INTERNET550U,Tripp Lite,UPS 550VA 300W 120V 8OUT W/RJ11,37,0,"88.90000","0","1","Internet Office®","Active","Standby (No Regulation)","Desktop, Home Theater","Desktop","550VA / 300W","8 (4 UPS, 4 Surge Only)","3.5 minutes","RJ11","120V","NEMA 5-15P","NEMA 5-15R","6' (1.83m)","10.866"" L x 5.748"" W (276.00mm x 146.00mm)","3.071"" (78.00mm)"
http://www.stacoenergy.com/images/staco/literature_finder/english/ups/unistar-sb/user-manual/003-2580.pdf,//media.digikey.com/Photos/Staco%20Energy%20Photos/MFG_SB-SERIES.jpg,452-1174-ND,SB-10001,Staco Energy Products Company,UPS 120V 1KVA/600W 6 OUTLETS,41,0,"111.00000","0","1","Unistar® SB","Active","Line Interactive (Input Regulation)","Desktop, Home Theater","Tower","1kVA / 600W","6 (UPS)","4 minutes","-","120V","-","-","-","12.600"" L x 5.100"" W (320.04mm x 129.54mm)","7.200"" (182.88mm)"
https://assets.tripplite.com/product-pdfs/en/omni900lcd.pdf,//media.digikey.com/Photos/Tripplite%20Photos/OMNI900LCD.jpg,TL359-ND,OMNI900LCD,Tripp Lite,UPS 900VA 8OUT LCD DISP USB,26,0,"170.75000","0","1","OmniSmart™","Active","Line Interactive (Input Regulation)","Desktop, Home Theater","Tower","900VA / 475W","8 (4 UPS, 4 Surge Only)","3 minutes","-","120V","NEMA 5-15P","NEMA 5-15R","6' (1.83m)","7.244"" L x 3.661"" W (184.00mm x 93.00mm)","11.850"" (301.00mm)"
http://www.deltapsu.com/products/download/Datasheet/DRU-24V40ABN,//media.digikey.com/Photos/Delta%20Photos/MFG_DRU-24V40ABN.jpg,1145-1104-ND,DRU-24V40ABN,Delta Electronics,UPS MODULE 40A 24V DIN,93,0,"64.66000","0","1","CliQ II","Active","-","General Purpose, Industrial Control","Din Rail","960W","-","4.5 minutes","-","24V","-","-","-","4.618"" L x 1.969"" W (117.30mm x 50.00mm)","4.764"" (121.00mm)"
https://assets.tripplite.com/product-pdfs/en/smart1500lcd.pdf,//media.digikey.com/photos/Tripplite%20Photos/Tripplite_SMART1500LCD.jpg,TL362-ND,SMART1500LCD,Tripp Lite,UPS 1500VA 8OUT LCD DISP USB,24,0,"301.63000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Desktop, Home Theater","Rackmount","1.5kVA / 900W","8 (UPS)","3.5 minutes","RJ45","120V","NEMA 5-15P","NEMA 5-15R","6' (1.83m)","10.500"" L x 17.252"" W (266.70mm x 438.20mm)","3.500"" (88.90mm)"
https://assets.tripplite.com/product-pdfs/en/smx500rt1u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMX500RT1U.jpg,TL1203-ND,SMX500RT1U,Tripp Lite,UPS 500VA 300W 7OUT USB RS232 1U,6,0,"311.27000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount","500VA / 300W","7 (6 UPS, 1 Surge Only)","5 minutes","-","230V","IEC 320-C14","IEC 320-C13","-","11.610"" L x 17.319"" W (294.90mm x 439.90mm)","1.728"" (43.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2905907.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2905907.jpg,277-11714-ND,2905907,Phoenix Contact,UPS 24VDC 2.5A DIN RAIL,5,0,"315.00000","0","1","UNO","Active","Standby (No Regulation)","-","Din Rail","60W","-","-","-","24V","-","-","-","3.307"" L x 4.331"" W (84.00mm x 110.00mm)","3.543"" (90.00mm)"
http://www.altechcorp.com/power/CB-CBI_SpecSheets/cbi%20data%20sheets/CBI245A.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_CBI12xx.jpg,1920-1194-ND,CBI245A,Altech Corporation,UPS 24VDC 5A DIN RAIL,21,0,"341.69000","0","1","-","Active","-","General Purpose, Industrial Control","Din Rail","17W","-","-","RJ45","24V","-","-","-","5.320"" L x 2.560"" W (135.13mm x 65.02mm)","4.530"" (115.06mm)"
https://assets.tripplite.com/product-pdfs/en/smart1500lcdxl.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART1500LCDXL.jpg,TL1153-ND,SMART1500LCDXL,Tripp Lite,UPS SMART LCD AVR 120V EXT RUN,6,0,"366.04000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","General Purpose, Industrial Control","Rackmount, Tower","1.5kVA / 900W","8 (UPS)","4 minutes","RJ45","120V","NEMA 5-15P","NEMA 5-15R (8)","6' (1.83m)","10.500"" L x 17.250"" W (266.70mm x 438.15mm)","3.500"" (88.90mm)"
