Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Working Dimensions","Interface","Voltage - Supply","Contents"
https://www.lulzbot.com/sites/default/files/Mini-2-Spec-Sheet.pdf,//media.digikey.com/Photos/LulzBot/MFG_LULZBOT-MINI.jpg,1942-1000-ND,KT-PR0047NA,LulzBot,LULZBOT MINI 2 NORTH AMERICA,11,0,"1500.00000","0","1","-","Mini 2","Active","6.300"" x 6.300"" x 7.090"" (160.00mm x 160.00mm x 180.00mm)","SD, USB","24VDC @ 6.25A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Pro_SpecSheet.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-PR0050.jpg,1942-1128-ND,KT-PR0050NA,LulzBot,TAZ PRO 3D PRINTER NORTH AMERICA,6,0,"4950.00000","0","1","-","TAZ PRO","Active","11.020"" x 11.020"" x 11.220"" (280.00mm x 280.00mm x 285.00mm)","USB","24VDC @ 21A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
https://www.lulzbot.com/sites/default/files/Mini-2-Spec-Sheet.pdf,//media.digikey.com/Photos/LulzBot/MFG_LULZBOT-MINI.jpg,1942-1112-ND,KT-PR0047EU,LulzBot,LULZBOT MINI 2 EUROPE,11,0,"1500.00000","0","1","-","Mini 2","Active","6.300"" x 6.300"" x 7.090"" (160.00mm x 160.00mm x 180.00mm)","SD, USB","24VDC @ 6.25A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Pro_SpecSheet.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-PR0050.jpg,1942-1129-ND,KT-PR0050EU,LulzBot,LULZBOT TAZ PRO 3D PRINTER EU,8,0,"4950.00000","0","1","-","TAZ PRO","Active","11.020"" x 11.020"" x 11.220"" (280.00mm x 280.00mm x 285.00mm)","USB","24VDC @ 21A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/3D40%E2%80%9001_Web.pdf,-,2017-1007-ND,3D40-01,Dremel,DREMEL 3D40 IDEA BUILDER 3D PRIN,4,0,"1299.01000","0","1","-","-","Active","10.000"" x 6.000"" x 3.543"" (254.00mm x 152.40mm x 90.00mm)","USB","110V, 120V","3D Printer, Accessories, Cable(s), Power Supply, PLA Filament, User Manual"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/3D40%E2%80%90EDU_Web.pdf,-,2017-1006-ND,3D40-EDU,Dremel,DREMEL 3D40 PRINTER - EDU KIT,4,0,"1599.01000","0","1","-","-","Active","10.000"" x 6.000"" x 3.543"" (254.00mm x 152.40mm x 90.00mm)","USB","110V, 120V","3D Printer, Accessories, Cable(s), Power Supply, PLA Filament, User Manual"
-,-,2017-1005-ND,3D45-01,Dremel,DREMEL 3D45 IDEA BUILDER 3D PRIN,4,0,"1799.01000","0","1","-","-","Active","10.000"" x 6.000"" x 3.543"" (254.00mm x 152.40mm x 90.00mm)","WiFi","110V, 120V","3D Printer, Accessories, Cable(s), Power Supply, PLA Filament, User Manual"
http://download.lulzbot.com/TAZ/6.02/documentation/manual/9780989378482_interior_r6.02.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-PR0041NA.jpg,1942-1001-ND,KT-PR0041NA,LulzBot,TAZ 6 3D PRINTER NORTH AMERICA,6,0,"2500.00000","0","1","-","TAZ 6","Obsolete","11.020"" x 11.020"" x 9.800"" (280.00mm x 280.00mm x 250.00mm)","SD, USB","24VDC @ 21A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
http://download.lulzbot.com/TAZ/6.02/documentation/manual/9780989378482_interior_r6.02.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-PR0041NA.jpg,1942-1113-ND,KT-PR0041EU,LulzBot,TAZ 6 3D PRINTER EUROPE,3,0,"2500.00000","0","1","-","TAZ 6","Obsolete","11.020"" x 11.020"" x 9.800"" (280.00mm x 280.00mm x 250.00mm)","SD, USB","24VDC @ 21A","3D Printer, Accessories, Cable(s), Power Supply, Quick Start Guide, SD Card, Tool Kit"
https://github.com/Arduinolibrary/Dream_Maker_Overlord/raw/master/Overlord%20Quick%20start%20guide-EN.PDF,//media.digikey.com/Photos/DFRobot/DFRobot-3DP0005-CB.jpg,1738-1226-ND,3DP0005-CB-US,DFRobot,OVERLORD 3D PRINTER - CLASSIC BL,1,0,"668.47000","0","1","-","Overlord","Active","5.905"" Dia x 6.300"" H (150.00mm x 160.00mm)","SD, USB, WiFi","24VDC @ 5A","3D Printer, Accessories, Cable(s), Power Supply, PLA Filament, SD Card, User Manual"
