Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3099AB_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3099AB.jpg,3M162598-ND,3099AB,3M,3D PLATFORM 7""x8"" SHT 1=1SHT,357,0,"8.27000","0","1","-","Active","PEI Sheet","3D Printers, ABS/PLA Filaments"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Dual_Extruder_v3_Tool_Head_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-CP0127.jpg,1942-1022-ND,KT-CP0127,LulzBot,LULZBOT TAZ DUAL EXTRUDER V3 TOO,4,0,"495.00000","0","1","-","Active","Dual Extruder Tool Head","LulzBot TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Modular_Print_Bed_Heater_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0013.JPG,1942-1012-ND,KT-HB0013,LulzBot,LULZBOT TAZ MODULAR PRINT BED HE,2,0,"125.00000","0","1","-","Active","Print Bed Heater","LulzBot TAZ 3, TAZ 4, TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Single_Extruder_Tool_Head_V2.1_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-CP0096.JPG,1942-1021-ND,KT-CP0096,LulzBot,LULZBOT TAZ SINGLE EXTRUDER TOOL,2,0,"195.00000","0","1","-","Active","Extruder Tool Head","LulzBot TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/LulzBot_Mini_PEI_Sheet_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0004.jpg,1942-1005-ND,KT-HB0004,LulzBot,LULZBOT MINI PEI SHEET,13,0,"25.00000","0","1","-","Active","PEI Sheet","LulzBot Mini"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Glass_PEI_Print_Surface_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0012.JPG,1942-1013-ND,KT-HB0012,LulzBot,LULZBOT TAZ GLASS/PEI PRINT SURF,9,0,"75.00000","0","1","-","Active","Glass/PEI Print Surface","LulzBot TAZ 3, TAZ 4, TAZ 5, TAZ 6"
http://download.lulzbot.com/retail_parts/Completed_Parts/Nylon_LulzBot_3D_Printer_Enclosure_by_galaxG_Design_World_KT-MS0003/Lulzbot_Cover_Set-Up_Instructions_Final.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-MS0003.jpg,1942-1004-ND,KT-MS0003,LulzBot,NYLON LULZBOT 3D PRINTER ENCLOSU,2,0,"80.00000","0","1","-","Active","Enclosure","LulzBot Mini, TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Mini_Modular_Print_Bed_Heater_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0011.JPG,1942-1010-ND,KT-HB0011,LulzBot,LULZBOT MINI MODULAR PRINT BED H,2,0,"80.00000","0","1","-","Active","Print Bed Heater","LulzBot Mini"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Mini_Heat_Bed_Kit_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0003.jpg,1942-1009-ND,KT-HB0003,LulzBot,LULZBOT MINI HEAT BED KIT,2,0,"95.00000","0","1","-","Active","Heat Bed Kit","LulzBot Mini"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Mini_Mini2_Enclosure_v2_11-8-18.pdf,-,1942-1125-ND,PP-FP0160,LulzBot,LULZBOT MINI ENCL V2 PRINTED SOL,4,0,"250.00000","0","1","-","Active","Enclosure","LulzBot Mini, Mini2"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/SE_ToolHead_SingleExtruder_0.5mm_Web.pdf,-,1942-1127-ND,KT-CP0136,LulzBot,LULZBOT SE TOOL HEAD SGL 0.5MM,4,0,"250.00000","0","1","-","Active","Tool Head","LulzBot Mini 1, TAZ6, TAZ 5"
https://www.lulzbot.com/sites/default/files/Aerostruder_v2_Micro_SpecSheet_01.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-CP0138_View-1.jpg,1942-1097-ND,KT-CP0138,LulzBot,LULZBOT SL TOOL HEAD,6,0,"300.00000","0","1","-","Active","Tool Head","LulzBot Mini, TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Taz_6_Enclosure_v2_10-27-18.pdf,-,1942-1126-ND,PP-FP0159,LulzBot,LULZBOT TAZ 6 ABS+ENCL PRINT SOL,1,0,"375.00000","0","1","-","Active","Enclosure","LulzBot TAZ 6"
https://www.lulzbot.com/sites/default/files/HSPlus_1-2_SpecSheet.pdf,-,1942-1115-ND,KT-CP0134,LulzBot,LULZBOT HS+ TOOL HEAD HARDENED S,5,0,"596.00000","0","1","-","Active","Tool Head","LulzBot Mini, TAZ 5, TAZ 6"
https://www.lulzbot.com/sites/default/files/HS_0-8_SpecSheet.pdf,-,1942-1114-ND,KT-CP0142,LulzBot,LULZBOT HS TOOL HEAD HARDENED ST,2,0,"596.00000","0","1","-","Active","Tool Head","LulzBot Mini, TAZ 5, TAZ 6"
-,-,2017-1091-ND,GS45-01,Dremel,GS45-01 GLUE STICK - 3D45,40,0,"7.99000","0","1","-","Active","Glue Stick","-"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/3D40_Flexible_Build_Plate_10-25-18.pdf,-,2017-1140-ND,BP40-FLX-02,Dremel,3D40 FLEXIBLE BUILD PLATFORM,10,0,"24.99000","0","1","*","Active","-","-"
-,-,2017-1009-ND,BT20-01,Dremel,DREMEL 3D PRINTING BT20-01 BUILD,10,0,"29.99000","0","1","-","Active","Build Sheet","-"
-,-,2017-1010-ND,BT40-01,Dremel,BT40-01 DREMEL 3D40 BUILD SHEET,10,0,"29.99000","0","1","-","Active","Build Sheet","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0436_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0436.jpg,1738-1132-ND,FIT0436,DFRobot,CARTRIDGE HEATER FOR OVERLORD 3D,0,0,"8.24000","0","1","-","Active","Cartridge Heater","OverLord, OverLord Pro"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Wiper_Replacement_Kit_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-CP0102.JPG,1942-1007-ND,KT-CP0102,LulzBot,LULZBOT WIPER REPLACEMENT KIT,0,0,"10.00000","0","1","-","Active","Wipe Pad","LulzBot Mini, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_Heat_Bed_Kit_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0001.JPG,1942-1008-ND,KT-HB0001,LulzBot,LULZBOT TAZ 5/6 HEAT BED KIT,1,0,"150.00000","0","1","-","Active","Heat Bed Kit","LulzBot TAZ 4, TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0276_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0276.JPG,1738-1037-ND,FIT0276,DFRobot,GREASE FOR 3D PRINTER (5 GRAM),4,0,"0.98000","0","1","-","Active","Grease","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0282_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0282.jpg,1738-1121-ND,FIT0282,DFRobot,3D PRINTER HEATER 19V38W,5,0,"6.59000","0","1","-","Active","Print Bed Heater","-"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Mini_Glass_PEI_Print_Surface_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0010.JPG,1942-1011-ND,KT-HB0010,LulzBot,LULZBOT MINI GLASS/PEI PRINT SUR,1,0,"40.00000","0","1","-","Active","Glass/PEI Print Surface","LulzBot Mini"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/TAZ_PEI_Sheet_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-HB0000.jpg,1942-1006-ND,KT-HB0000,LulzBot,LULZBOT TAZ PEI SHEET,5,0,"45.00000","0","1","-","Active","PEI Sheet","-"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Univ_Tool_Head_Adapter_Mini1_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_KT-CP0141.JPG,1942-1117-ND,KT-CP0141,LulzBot,LULZBOT MINI 1 UNIVERSAL TOOL HE,5,0,"46.00000","0","1","-","Active","Tool Head","LulzBot Mini"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/Univ_Tool_Head_Adapter_TAZ_5-6_Web.pdf,-,1942-1116-ND,KT-CP0140,LulzBot,LULZBOT TAZ 5/6 UNIVERSAL TOOL H,2,0,"50.00000","0","1","-","Active","Tool Head","LulzBot TAZ 5, TAZ 6"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0243_Web.pdf,-,FIT0243-ND,FIT0243,DFRobot,PFA TUBE (1M),0,0,"5.46000","0","1","-","Active","PFA Tube","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0440_Web.pdf,-,FIT0440-ND,FIT0440,DFRobot,SD CARD FOR OVERLORD 3D PRINTER,0,0,"6.44000","0","1","-","Active","SD Card","OverLord, OverLord Pro"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0434_Web.pdf,-,FIT0434-ND,FIT0434,DFRobot,BELT TENSIONER FOR OVERLORD 3D P,0,0,"8.24000","0","1","-","Active","Belt Tensioner","OverLord, OverLord Pro"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0254_Web.pdf,-,FIT0254-ND,FIT0254,DFRobot,PEEK INSULATOR,0,0,"14.94000","0","1","-","Active","Insulator","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0307_Web.pdf,-,FIT0307-ND,FIT0307,DFRobot,PTFE-PFA ADAPTER,0,0,"15.30000","0","1","-","Active","PTFE-PFA Adapter","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0432_Web.pdf,-,FIT0432-ND,FIT0432,DFRobot,NOZZLE PLATFORM FOR OVERLORD 3D,0,0,"38.11000","0","1","-","Active","Nozzle Platform","OverLord, OverLord Pro"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/3D40_Flexible_Build_Plate_10-25-18.pdf,-,2017-1139-ND,BP40-FLX-01,Dremel,3D40 FLEX BUILD PLATE PACKAGE,5,0,"64.99000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0431_Web.pdf,-,FIT0431-ND,FIT0431,DFRobot,EXTRUDER FOR OVERLORD 3D PRINTER,0,0,"65.92000","0","1","-","Active","Extruder","OverLord, OverLord Pro"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/3DP0025_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_3DP0025.jpg,3DP0025-ND,3DP0025,DFRobot,E3D NOZZLE UPGRADE KIT FOR OVERL,0,0,"71.07000","0","1","-","Active","E3D Nozzle Upgrade Kit","OverLord, OverLord Pro"
-,-,BP20-01DR-ND,BP20-01,Dremel,BP20-01 DREMEL 3D20 BUILD PLATFO,0,0,"19.99000","0","1","-","Active","Build Platform","3D20"
-,-,BP40-01DR-ND,BP40-01,Dremel,BP40-01 DREMEL 3D40 BUILD PLATFO,0,0,"24.99000","0","1","-","Active","Build Platform","3D40"
-,-,BP45-01DR-ND,BP45-01,Dremel,BP45-01 DREMEL 3D45 BUILD PLATFO,0,0,"24.99000","0","1","-","Active","Build Platform","3D45"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3098_Web.pdf,-,1528-2942-ND,3098,Adafruit Industries LLC,PRINTINZ SKIN FOR ULTIMAKER - 22,0,0,"28.13000","0","1","*","Active","-","-"
-,-,BT41-01DR-ND,BT41-01,Dremel,BT41-01 DREMEL 3D BLUE TAPE (10),0,0,"29.99000","0","1","-","Active","Build Tape","-"
-,-,3D40-EDU2DR-ND,3D40-EDU2,Dremel,3D40 EDU ACCESSORIES,0,0,"299.99000","0","1","-","Active","Accessory Kit","3D40"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/KIT0099_Web.pdf,-,KIT0099-ND,KIT0099,DFRobot,HOT END KIT FOR OVERLORD 3D PRIN,0,0,"Obsolete","0","1","-","Obsolete","Hot End","OverLord, OverLord Pro"
