Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filament Material","Color","Filament Diameter","Weight","Tensile Strength","Flex Strength","Density","Operating Temperature","Features"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_ABSxxBK1.jpg,473-1273-ND,ABS17BK1,MG Chemicals,FILAMENT BLACK ABS 0.07"" 1KG,46,0,"25.25000","0","1","-","Active","ABS (Acrylonitrile Butadiene Styrene)","Black","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_ABSxxWH1.jpg,473-1277-ND,ABS17WH1,MG Chemicals,FILAMENT WHITE ABS 0.07"" 1KG,23,0,"25.25000","0","1","-","Active","ABS (Acrylonitrile Butadiene Styrene)","White","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-pla.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PLAxxBK1.jpg,473-1279-ND,PLA17BK1,MG Chemicals,FILAMENT BLACK PLA 0.07"" 1KG,31,0,"27.49000","0","1","-","Active","PLA (Polylactide)","Black","0.070"" (1.75mm)","2.205 lb (1.00kg)","100N/mm²","-","1.24g/cm³","210°C ~ 220°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-pla.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PLAxxGY1.jpg,473-1282-ND,PLA17GY1,MG Chemicals,FILAMENT GRAY PLA 0.07"" 1KG,17,0,"27.49000","0","1","-","Active","PLA (Polylactide)","Gray","0.070"" (1.75mm)","2.205 lb (1.00kg)","100N/mm²","-","1.24g/cm³","210°C ~ 220°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-pla.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PLAxxTL1.jpg,473-1434-ND,PLA17TL1,MG Chemicals,FILAMENT TRANS PLA 0.07"" 1KG,16,0,"27.49000","0","1","-","Active","PLA (Polylactide)","Translucent","0.070"" (1.75mm)","2.205 lb (1.00kg)","100N/mm²","-","1.24g/cm³","210°C ~ 220°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-pla.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PLAxxWH1.jpg,473-1452-ND,PLA17WH1,MG Chemicals,FILAMENT WHITE PLA 0.07"" 1KG,8,0,"27.49000","0","1","-","Active","PLA (Polylactide)","White","0.070"" (1.75mm)","2.205 lb (1.00kg)","100N/mm²","-","1.24g/cm³","210°C ~ 220°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filaments-pla.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PLAxxOR1.jpg,473-1284-ND,PLA17OR1,MG Chemicals,FILAMENT ORANGE PLA 0.07"" 1KG,8,0,"27.49000","0","1","-","Active","PLA (Polylactide)","Orange","0.070"" (1.75mm)","2.205 lb (1.00kg)","100N/mm²","-","1.24g/cm³","210°C ~ 220°C","-"
https://www.mgchemicals.com/downloads/tds/tds-3d-filament-petg.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PETGxxBK1.jpg,473-1288-ND,PETG17BK1,MG Chemicals,FILAMENT BLACK PETG 0.07"" 1KG,6,0,"28.31000","0","1","-","Active","PETG (Polyethylene Terephthalate Glycol-modified)","Black","0.070"" (1.75mm)","2.205 lb (1.00kg)","50N/mm²","800N/mm²","1.27g/cm³","210°C ~ 240°C","-"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/PolyLite_PLA_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_TrueWhite.JPG,1942-1077-ND,RM-PL0128,LulzBot,FILAMENT WHITE PLA 0.112"" 1KG,19,0,"39.08000","0","1","PolyLite™","Active","PLA (Polylactide)","White","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","205°C","-"
//media.digikey.com/pdf/Data%20Sheets/LulzBot%20PDFs/PolyLite_PLA_Web.pdf,//media.digikey.com/Photos/LulzBot/MFG_RM-NY0015.JPG,1942-1070-ND,RM-PL0121,LulzBot,FILAMENT BLACK PLA 0.112"" 1KG,11,0,"39.08000","0","1","PolyLite™","Active","PLA (Polylactide)","Black","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","205°C","-"
