Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Supplier Device Package"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_6.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65808N1004D1.JPG,495-5243-ND,B65808N1004D001,EPCOS (TDK),BOBBIN COIL FORMER RM 6,8322,0,"1.36000","0","1","B65808","Active","Bobbin (Coil Former), Vertical","RM","RM 6"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_20_10_6.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66206W1110T1.jpg,495-5369-ND,B66206W1110T001,EPCOS (TDK),BOBBIN COIL FORMER E 20 X 10 X 6,2160,0,"1.85000","0","1","B66206","Active","Bobbin (Coil Former), Vertical","E","E 20 x 10 x 6"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_9_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65518D2001X.JPG,495-5108-ND,B65518D2001X000,EPCOS (TDK),MOUNTING ASSEMBLY P 9 X 5,5841,0,"2.47000","0","1","B65518","Active","Mounting Assembly","P","P 9 x 5"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/RM7_ILP.pdf,//media.digikey.com/Photos/Ferroxcube/CLI-RM7%5EILP.jpg,1779-1268-ND,CLI-RM7/ILP,Ferroxcube,CLIP,15638,0,"0.20000","0","1","-","Active","Clip","RM","RM 7"
http://ferroxcube.home.pl/prod/assets/rm8i.pdf,//media.digikey.com/Photos/Ferroxcube/CLI%5EP-RM8%5EI.jpg,1779-1261-ND,CLI/P-RM8/I,Ferroxcube,CLIP,5672,0,"0.20000","0","1","-","Active","Clamp","RM","RM 8"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65806B2203X.JPG,495-5215-ND,B65806B2203X000,EPCOS (TDK),CLAMP RM 5,2144,0,"0.24000","0","1","B65806","Active","Clamp","RM","RM 5"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65806J2204X.JPG,495-5218-ND,B65806J2204X000,EPCOS (TDK),CLAMP RM 5,1910,0,"0.25000","0","1","B65806","Active","Clamp","RM","RM 5"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_6.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65808B2203X.JPG,495-5239-ND,B65808B2203X000,EPCOS (TDK),CLAMP RM 6,6571,0,"0.26000","0","1","B65808","Active","Clamp","RM","RM 6"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/efd_15_8_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66414B2000X.JPG,495-5516-ND,B66414B2000X000,EPCOS (TDK),YOKE EFD 15 X 8 X 5,3171,0,"0.26000","0","1","B66414","Active","Yoke","EFD","EFD 15 x 8 x 5"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P11_7.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P11%5E7-1S-C.JPG,1779-1329-ND,CP-P11/7-1S,Ferroxcube,COIL FORMER,9988,0,"0.27000","0","1","-","Active","Bobbin (Coil Former)","P","P 11 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P14_8.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P14%5E8-2S.JPG,1779-1333-ND,CP-P14/8-2S,Ferroxcube,COIL FORMER,30190,0,"0.28000","0","1","-","Active","Bobbin (Coil Former)","P","P 14 x 8"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_18_4_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65804P2204X.JPG,495-5203-ND,B65804P2204X000,EPCOS (TDK),CLAMP RM 4,1112,0,"0.28000","0","1","B65804","Active","Clamp","-","-"
