Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Supplier Device Package","Material","Diameter","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Height","Length","Width"
https://en.tdk.eu/inf/80/db/fer/r_10_0_6_00_4_00.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0038X038.JPG,495-3847-ND,B64290L0038X038,EPCOS (TDK),FERRITE CORE TOROID 4.09UH T38,29152,0,"0.34000","0","1","B64290","Active","Toroid","-","T38","10.80mm","4.09µH","±30%","Ungapped","-","10000","3.07","24.07","7.83","-","188","Epoxy","4.75mm","-","-"
https://en.tdk.eu/inf/80/db/fer/r_6_30_3_80_2_50.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290P0037X038.JPG,495-3873-ND,B64290P0037X038,EPCOS (TDK),FERRITE CORE TOROID 2.53UH T38,20348,0,"0.53000","0","1","B64290","Active","Toroid","-","T38","6.32mm","2.53µH","±30%","Ungapped","-","10000","4.97","15.21","3.06","-","46.5","Parylene","2.52mm","-","-"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/er_32_5_21.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66501G0000X187.jpg,495-75541-ND,B66501G0000X187,EPCOS (TDK),FERRITE CORE ER N87 1PC,3079,0,"2.32000","0","1","B66501","Active","ER","ER 32 x 5 x 21","N87","-","-","-","Ungapped","-","-","-","-","-","-","-","Uncoated","5.10mm","32.00mm","21.00mm"
https://en.tdk.eu/inf/80/db/fer/r_34_0_20_5_10_0.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0058X830.JPG,495-3858-ND,B64290L0058X830,EPCOS (TDK),FERRITE CORE TOROID 4.36UH N30,1532,0,"2.86000","0","1","B64290","Active","Toroid","-","N30","35.50mm","4.36µH","±25%","Ungapped","-","4300","1.24","82.06","66.08","-","5423","Epoxy","11.10mm","-","-"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/r_34_0_20_5_12_5.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0048X830.JPG,495-3857-ND,B64290L0048X830,EPCOS (TDK),FERRITE CORE TOROID 5.46UH N30,5063,0,"3.49000","0","1","B64290","Active","Toroid","-","N30","35.50mm","5.46µH","±25%","Ungapped","-","4300","0.99","82.06","82.6","-","6778","Epoxy","13.60mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/Ferroxcube%20PDFs/TX36_23_15-4C65.pdf,//media.digikey.com/Photos/Ferroxcube/TX36%5E23%5E15.jpg,1779-1607-ND,TX36/23/15-4C65,Ferroxcube,FERRITE CORES ROUND,1638,0,"5.37000","0","1","-","Active","Toroid","TX 36 x 23 x 15","4C65","37.15mm","-","-","-","-","-","-","-","-","-","-","Epoxy","16.00mm","-","-"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_14.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65887ER87.JPG,495-5337-ND,B65887E0000R087,EPCOS (TDK),FERRITE CORE RM 6UH N87 2PCS,1126,0,"8.34000","0","1","B65887","Active","RM","RM 14","N87","-","6µH","-20%, +30%","Ungapped","1670","2200","0.35","70","200","170","14000","Uncoated","15.10mm","42.20mm","19.00mm"
https://en.tdk.eu/inf/80/db/fer/r_50_0_30_0_20_0.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0082X087.JPG,495-3872-ND,B64290L0082X087,EPCOS (TDK),FERRITE CORE TOROID 4.46UH N87,875,0,"10.18000","0","1","B64290","Active","Toroid","-","N87","51.80mm","4.46µH","±25%","Ungapped","-","2200","0.62","120.4","195.7","-","23560","Epoxy","21.30mm","-","-"
https://en.tdk.eu/inf/80/db/fer/r_50_0_30_0_20_0.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0082X830.JPG,495-3871-ND,B64290L0082X830,EPCOS (TDK),FERRITE CORE TOROID 8.7UH N30,4978,0,"11.05000","0","1","B64290","Active","Toroid","-","N30","51.80mm","8.7µH","±25%","Ungapped","-","4300","0.62","120.4","195.7","-","23560","Epoxy","21.30mm","-","-"
https://en.tdk.eu/inf/80/db/fer/r_63_0_38_0_25_0.pdf,//media.digikey.com/Photos/Epcos%20Photos/B64290L699X65.JPG,495-5087-ND,B64290L0699X065,EPCOS (TDK),FERRITE CORE TOROID 12.6UH T65,297,0,"19.34000","0","1","B64290","Active","Toroid","-","T65","65.30mm","12.6µH","±30%","Ungapped","-","5000","0.5","152.1","305.9","-","46530","Epoxy","26.60mm","-","-"
