Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Gauge","Conductor Material","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Length - Approximate","Ratings"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11363_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11363.jpg,1568-1088-ND,PRT-11363,SparkFun Electronics,KIT MAGNET WIRE,146,0,"11.95000","0","1","-","Active","22 AWG, 26 AWG, 30 AWG","-","-","-","Assorted","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600232.JPG,1175-1692-ND,600232,CNC Tech,MW35-C HY 32AWG 1KG/2.2LBS SPOOL,250,0,"88.02000","0","1","-","Active","32 AWG","Copper, Annealed Bare","Polyamide","0.010"" (0.25mm)","11399.6' (3475.5m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600228.JPG,1175-1690-ND,600228,CNC Tech,MW35-C HY 28AWG 1KG/2.2LBS SPOOL,107,0,"94.84000","0","1","-","Active","28 AWG","Copper, Annealed Bare","Polyamide","0.015"" (0.38mm)","4587.4' (1398.6m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600218.JPG,1175-1685-ND,600218,CNC Tech,MW35-C HY 18AWG 1KG/2.2LBS SPOOL,235,0,"101.43000","0","1","-","Active","18 AWG","Copper, Annealed Bare","Polyamide","0.043"" (1.09mm)","448' (136.6m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1715-ND,610232,CNC Tech,MW-28C SL 32AWG 1KG/2.2LBS,52,0,"87.21000","0","1","-","Active","32 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.009"" (0.23mm)","11399.6' (3475.5m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1716-ND,610234,CNC Tech,MW-28C SL 34AWG 1KG/2.2LBS,32,0,"88.02000","0","1","-","Active","34 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.007"" (0.18mm)","18350.3' (5594.6m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600230.JPG,1175-1691-ND,600230,CNC Tech,MW35-C HY 30AWG 1KG/2.2LBS SPOOL,212,0,"91.16000","0","1","-","Active","30 AWG","Copper, Annealed Bare","Polyamide","0.012"" (0.31mm)","7281.3' (2219.9m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8056_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1984-ND,8056,Belden Inc.,MW-28C SL 32AWG,134,0,"93.86000","0","1","-","Active","32 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.009"" (0.23mm)","2515.0' (767m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8058_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1986-ND,8058,Belden Inc.,MW-28C SL 36AWG,27,0,"105.17000","0","1","-","Active","36 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.006"" (0.16mm)","6397.6' (1950m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8085_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1996-ND,8085,Belden Inc.,MW-35C HY 38AWG,32,0,"269.94000","0","1","-","Active","38 AWG","Copper, Annealed Bare","Polyamide","0.005"" (0.13mm)","19300.0' (5883m)","MW 74-C HY"
https://catalog.belden.com/techdata/EN/8074_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1988-ND,8074,Belden Inc.,MW-35C HY 16AWG,28,0,"126.85000","0","1","-","Active","16 AWG","Copper, Annealed Bare","Polyamide","0.054"" (1.37mm)","126.0' (38m)","MW 35-C HY"
