Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Kit Type","Main Purpose","Interconnect System","Suggested Programming Environment","Utilized IC / Part","Included MCU/MPU Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/Micro_bit_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_MBIT0003.jpg,1778-1133-ND,MBIT0003,Pimoroni Ltd,MICRO:BIT (MICRO:BIT ESSENTIALS,421,0,"23.07000","0","1","-","Active","RJ11 ITU","MCU","micro:bit","Microsoft MakeCode, Python","nRF51822, MMA8652, MAG3110, KL26Z","BBC micro:bit"
//media.digikey.com/pdf/Data%20Sheets/Particle%20PDFs/Electron_2G_Kit_Global_Web.pdf,"//media.digikey.com/Photos/Particle%20Industries,%20Inc/MFG_E350KIT.jpg",1878-1011-ND,E350KIT,"Particle Industries, Inc.",ELECTRON KIT 2G : GLOBAL,154,0,"49.26000","0","1","-","Active","RF","Wireless Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Particle%20PDFs/Electron_3G_Kit_Americas_Aus_Web.pdf,"//media.digikey.com/Photos/Particle%20Industries,%20Inc/MFG_E260KIT.jpg",1878-1012-ND,E260KIT,"Particle Industries, Inc.",ELECTRON 3G KIT(AMERICAS/AUS),399,0,"69.27000","0","1","-","Active","RF","Wireless Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Particle%20PDFs/Electron_3G_Kit_Eur_Asia_Afr_Web.pdf,"//media.digikey.com/Photos/Particle%20Industries,%20Inc/MFG_E270KIT.jpg",1878-1013-ND,E270KIT,"Particle Industries, Inc.",ELECTRON 3G KIT(EUR/AFR/ASIA),143,0,"69.27000","0","1","-","Active","RF","Wireless Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/GKX00006_Web.pdf,//media.digikey.com/Photos/Arduino/MFG_GKX00006.jpg,1050-1147-ND,GKX00006,Arduino,ARDUINO MKR IOT BUNDLE,121,0,"69.99000","0","1","-","Active","Starter Kit","IoT Kit","Arduino MKR","Arduino IDE","ATSAMW25","MKR1000"
//media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/Starter_Kit_MultiLanguage_Web.pdf,//media.digikey.com/photos/Arduino/K000007.jpg,1050-1075-ND,K000007,Arduino,STARTER KIT W/ARDUINO BOARD,120,0,"87.89000","0","1","-","Active","Starter Kit","MCU","Arduino R3 Shield","Arduino IDE","ATmega328P","Arduino Uno R3"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/Raspberry_Pi3B+_StarterKit_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_PIM337.jpg,1778-1195-ND,PIM337,Pimoroni Ltd,RASPBERRY PI 3 B+ STARTER KIT,32,0,"101.87000","0","1","-","Active","Starter Kit","MCU","Raspberry Pi HAT (40 pin)","-","BCM2837","Raspberry Pi 3 Model B+"
https://wiki.analog.com/university/tools/pluto,//media.digikey.com/Photos/Analog%20Devices%20Photos/MFG_ADALM-PLUTO.jpg,ADALM-PLUTO-ND,ADALM-PLUTO,Analog Devices Inc.,SDR ACTIVE LEARNING PLATFORM,435,3274,"136.80000","0","1","-","Active","RF","Wireless, RF","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/EngKit_Brochure_2018.pdf,//media.digikey.com/Photos/Arduino/MFG_AKX00004_View-1.jpg,1050-1157-ND,AKX00004,Arduino,ARDUINO ENGINEERING KIT,120,0,"299.00000","0","1","-","Active","Starter Kit","MCU","Arduino MKR","Arduino IDE, MATLAB, Simulink","ATSAMW25","MKR1000"
//media.digikey.com/pdf/Data%20Sheets/Trenz%20Electronic%20PDFs/27761_Web.pdf,//media.digikey.com/Photos/Trenz-Electronic-GmbH/27760.jpg,1686-1034-ND,27761,Trenz Electronic GmbH,KIT STARTER STEMLAB 125-14,49,0,"311.10000","0","1","Red Pitaya","Active","Starter Kit","MCU","-","-","-","-"
