Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
https://cdn-shop.adafruit.com/product-files/2935/P2935B+datasheet.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2935.JPG,1528-1777-ND,2935,Adafruit Industries LLC,POWER RELAY MODULE 4-OUTLET,138,0,"24.95000","0","1","-","Active","Power Relay","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1361_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1361.jpg,1528-2211-ND,1361,Adafruit Industries LLC,PRESSURE-SENSITIVE CONDUCTIVE SH,453,0,"4.95000","0","1","Velostat®","Active","Conductive Film","-"
https://cdn-shop.adafruit.com/product-files/2773/2773datasheet.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2773.jpg,1528-2172-ND,2773,Adafruit Industries LLC,MUSCLE SENSOR EMG ELECTR 6 PACK,183,0,"4.95000","0","1","-","Active","EMG Electrodes","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/102991074_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_102991074.jpg,1597-1677-ND,102991074,"Seeed Technology Co., Ltd",PIXY 2 CMUCAN5 SMART SENSOR,34,0,"70.00000","0","1","-","Active","Vision Sensor","Arduino, Raspberry Pi"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20Sensor%20PDFs/Pulse_Sensor.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/SEN-11574.jpg,1568-1247-ND,SEN-11574,SparkFun Electronics,PULSE SENSOR FOR ARDUINO,88,0,"24.95000","0","1","Original Pulse Sensor","Active","Pulse Sensor","Arduino"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14865_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14865.jpg,1568-1906-ND,COM-14865,SparkFun Electronics,INFRARED REMOTE CONTROL,33,0,"3.95000","0","1","-","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-11192_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11192.jpg,1568-1621-ND,COM-11192,SparkFun Electronics,FOOT PEDAL SWITCH,26,0,"5.95000","0","1","-","Active","Foot Switch","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0265_Web.pdf,-,1738-1426-ND,SEN0265,DFRobot,PIXY 2 CMUCAM5 IMAGE SENSOR ROBO,10,0,"75.90000","0","1","-","Active","Image Sensor","Arduino, Raspberry Pi"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3064_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3064.jpg,1528-1679-ND,3064,Adafruit Industries LLC,JST-PH2 EXTENSION CABLE 2PIN 20"",85,0,"2.95000","0","1","-","Active","JST Extension Cable","-"
//media.digikey.com/pdf/Data%20Sheets/Terasic%20Technologies/FXX-3006-JES_Web.pdf,//media.digikey.com/Photos/Terasic%20Tech%20Photos/FXX-3006-JES.jpg,FXX-3006-JES-ND,FXX-3006-JES,Terasic Inc.,INFRARED REMOTE CONTROL,61,0,"6.25000","0","1","-","Active","Infrared Remote Control","DE1-SoC, DE2-115"
https://cdn-learn.adafruit.com/downloads/pdf/bluefruit-bluetooth-wireless-foot-pedal-switch.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_423.jpg,1528-1137-ND,423,Adafruit Industries LLC,FOOT SWITCH NO/NC RUBBER 2M CBL,66,0,"7.50000","0","1","-","Active","Foot Switch","ATtiny85"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3872_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3872.jpg,1528-2688-ND,3872,Adafruit Industries LLC,5V ELECTROMAGNET 2.5 KG HOLDING,45,0,"7.50000","0","1","-","Active","Electromagnet","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3873_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3873.jpg,1528-2689-ND,3873,Adafruit Industries LLC,5V ELECTROMAGNET 5KG HOLDING FOR,32,0,"9.95000","0","1","-","Active","Electromagnet","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3874_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3874.jpg,1528-2690-ND,3874,Adafruit Industries LLC,5V ELECTROMAGNET 10 KG HOLDING F,23,0,"14.95000","0","1","-","Active","Electromagnet","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3875_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3875.jpg,1528-2691-ND,3875,Adafruit Industries LLC,5V ELECTROMAGNET 25 KG HOLDING F,24,0,"19.95000","0","1","-","Active","Electromagnet","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P3010002_Web.pdf,-,1890-1132-ND,P3010002,"Makeblock Co., LTD.",ME AUDIO PLAYER V1,6,0,"14.99000","0","1","-","Active","Audio Player","Codey"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/JBM-016_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_JBM-016.jpg,1910-1064-ND,JBM-016,Pi Supply,JUSTBOOM IR REMOTE,36,0,"21.00000","0","1","JustBoom","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0445_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0445.jpg,1910-1042-ND,PIS-0445,Pi Supply,OSMC REMOTE CONTROL,26,0,"26.53000","0","1","-","Active","Remote Control","Raspberry Pi"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0009_Web.pdf,//media.digikey.com/Photos/Pi-Supply/PIS-0009.JPG,1910-1041-ND,PIS-0009,Pi Supply,FLIRC USB IR REMOTE DONGLE FOR R,17,0,"34.99000","0","1","FLIRC","Active","Infrared Remote Dongle","Raspberry Pi"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/JBM-017_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_JBM-017.jpg,1910-1049-ND,JBM-017,Pi Supply,JUSTBOOM SMART REMOTE,25,0,"35.00000","0","1","JustBoom","Active","Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1030024_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_P103002X.jpg,1890-1081-ND,P1030024,"Makeblock Co., LTD.",CODEY ROCKY,24,0,"99.00000","0","1","-","Active","Controller","Codey"
-,//media.digikey.com/Photos/Makeblock/MFG_P103002X.jpg,1890-1082-ND,P1030026,"Makeblock Co., LTD.",CODEY ROCKY W/ BLUETOOTH DONGLE,19,0,"103.00000","0","1","-","Active","Controller","Codey"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3881_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3881.jpg,1528-2701-ND,3881,Adafruit Industries LLC,ROTATING DOOR LOCK DC MOTOR,26,0,"2.50000","0","1","-","Active","DC Motor","Arduino"
