Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
https://www.sparkfun.com/datasheets/Robotics/Other/spec%20sheet.jpeg,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-10398.jpg,1568-1344-ND,ROB-10398,SparkFun Electronics,VACUUM PUMP 12VDC 0-16"" HG,161,0,"14.95000","0","1","-","Active","Vacuum Pump","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1150_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1150.jpg,1528-1404-ND,1150,Adafruit Industries LLC,PERISTALTIC PUMP W/SILICON TUBE,125,0,"24.95000","0","1","-","Active","Peristaltic Pump","Liquids"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/50000_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_50000.jpg,1890-1035-ND,50000,"Makeblock Co., LTD.",AIR PUMP MOTOR - DC 12V/370-02PM,75,0,"10.99000","0","1","-","Active","Air Pump","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/50200_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_50200.jpg,1890-1046-ND,50200,"Makeblock Co., LTD.",WATER PUMP MOTOR - DC 12V/370-04,88,0,"12.99000","0","1","-","Active","Water Pump","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3910_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3910.jpg,1528-2708-ND,3910,Adafruit Industries LLC,PERISTALTIC LIQUID PUMP WITH SIL,79,0,"24.95000","0","1","-","Active","Peristaltic Pump","Liquids"
-,//media.digikey.com/Photos/Makeblock/50001.JPG,1890-1063-ND,50001,"Makeblock Co., LTD.",AIR PUMP MOTOR DC 12V/3202PM,28,0,"7.99000","0","1","-","Obsolete","Air Pump","Aquarium Tank Oxygen Circulate, DIY Projects"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0563_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0563.jpg,1738-1398-ND,FIT0563,DFRobot,DC MINI IMMERSIBLE WATER PUMP 6V,14,0,"9.48000","0","1","-","Active","Water Pump","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-10455_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-10455.jpg,ROB-10455-ND,ROB-10455,SparkFun Electronics,LIQUID PUMP - 350GPH 12V,0,0,"15.00000","0","1","-","Active","Water Pump","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/50220_Web.pdf,-,1890-1141-ND,50220,"Makeblock Co., LTD.",MICRO PERISTALTIC PUMP DC12.0V,5,0,"44.99000","0","1","-","Obsolete","Peristaltic Pump","Liquids"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0523_Web.pdf,-,DFR0523-ND,DFR0523,DFRobot,GRAVITY: DIGITAL PERISTALTIC PUM,0,0,"61.29000","0","1","-","Active","Peristaltic Pump","Liquids"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/WIG-12915_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_WIG-12915_A.jpg,WIG-12915-ND,WIG-12915,SparkFun Electronics,BARTENDRO DISPENSER PERISTALTIC,0,0,"143.75000","0","1","-","Active","Peristaltic Pump","Liquids"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_108990002.jpg,108990002-ND,108990002,"Seeed Technology Co., Ltd",STEPPER MOTOR W/SLIDDER,3,0,"15.20000","0","1","-","Active","Stepper Motor","Mini CNC Machines, Mini Laser Cutters, Mini Printers"
-,-,114990072-ND,114990072,"Seeed Technology Co., Ltd",WATER PUMP DC 12V,0,0,"Obsolete","0","4","-","Obsolete","Water Pump","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990073.jpg,114990073-ND,114990073,"Seeed Technology Co., Ltd",MINI WATER PUMP 6V,0,0,"Obsolete","0","8","-","Obsolete","Water Pump","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990074.jpg,114990074-ND,114990074,"Seeed Technology Co., Ltd",MINI PRESSURE PUMP 3V 350MA,0,0,"Obsolete","0","15","-","Obsolete","Pressure Pump","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990075.jpg,114990075-ND,114990075,"Seeed Technology Co., Ltd",MINI VACUUM PUMP 6V,0,0,"Obsolete","0","4","-","Obsolete","Vacuum Pump","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_102990141.jpg,102990141-ND,102990141,"Seeed Technology Co., Ltd",EXTRUDER CTRLR CARD W/T-COUPLE,0,0,"Obsolete","0","1","-","Obsolete","Extruder Controller Card","3D Printers, CNC Machines"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/108990019_Web.pdf,-,108990019-ND,108990019,"Seeed Technology Co., Ltd",MINI WATER PUMP 6V,0,0,"Obsolete","0","7","-","Obsolete","Water Pump","-"
