Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Utilized IC / Part","Interconnect System","Suggested Programming Environment","Included MCU/MPU Board(s)","Contents"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/99808_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_99808.jpg,1890-1011-ND,99808,"Makeblock Co., LTD.",AIRBLOCK,137,0,"129.34000","0","1","Airblock","Active","Hexacopter","STM32","Airblock","Makeblock App","-","Base(s), Battery(s), Cable(s), Charger(s), Cover(s), Module(s), Rotor(s)"
http://download.makeblock.com/ranger/instruction/mBot-Ranger_Blue_Instruction%20Book.pdf,//media.digikey.com/Photos/Makeblock/MFG_90092.jpg,1890-1014-ND,90092,"Makeblock Co., LTD.",MBOT RANGER ROBOT KIT BLUETOOTH,35,0,"149.99000","0","1","mBot Ranger","Active","Tank Tread","ATmega2560","Makeblock Me","Arduino IDE, mBlock","Me Auriga","Board(s), Cable(s), Chassis, Components, Hardware, Sensor(s), Treads, Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/Braccio_QSG.pdf,//media.digikey.com/Photos/Arduino/MFG_T050000.jpg,1050-1135-ND,T050000,Arduino,TINKERKIT BRACCIO (US.EU.UK.AU P,49,0,"218.90000","0","1","TinkerKit","Active","Arm","-","Arduino R3 Shield, TinkerKit","-","-","Board(s), Cable(s), Chassis, Power Supply, Servo(s)"
http://download.makeblock.com/ultimate2/rar/Ultimate-V2.0_10-in-1%20Robot%20Kit%20Instructions.rar,//media.digikey.com/Photos/Makeblock/MFG_90040_contents.jpg,1890-1015-ND,90040,"Makeblock Co., LTD.",ULTIMATE 2.0 - 10-IN-1 ROBOT KIT,54,0,"349.99000","0","1","-","Active","Wheeled","ATMEGA2560-16AU","Makeblock Me","Makeblock App, mBlock","MegaPi","Beam(s), Board(s), Cable(s), Components, Hardware, Motor(s), Treads, Wheel(s)"
https://www.kitronik.co.uk/pdf/move-mini-instruction-booklet-web-version.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_5624.jpg,1927-1081-ND,5624,Kitronik Ltd.,:MOVE MINI BUGGY KIT (EXCL MICRO,139,0,"30.00000","0","1",":MOVE","Active","Wheeled","nRF51822, MMA8652, MAG3110, KL26Z","micro:bit","Microsoft MakeCode","Servo:Lite","Battery(s), Board(s), Chassis, Servo(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14216_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14216.jpg,1568-1656-ND,KIT-14216,SparkFun Electronics,MICRO BOT KIT,46,0,"65.00000","0","1","micro:bot","Active","Wheeled","DRV8835, CY8C4245LQI","micro:bit","Microsoft MakeCode, Python","-","Board(s), Chassis, Components, Hardware, Motor(s), Servo(s), Wheel(s)"
http://download.makeblock.com/mbot/mBot_V1.1_Blue_STD_Instruction_EN_D1.2.1_7.40.4100_Print.pdf,//media.digikey.com/Photos/Makeblock/MFG_90107.jpg,1890-1016-ND,90107,"Makeblock Co., LTD.",MBOT V1.1-PINK(BLUETOOTH VERSION,59,0,"70.35000","0","1","mBot","Active","Wheeled","ATmega238","Makeblock Me","Arduino IDE, mBlock","mCore","Board(s), Cable(s), Chassis, Components, Hardware, Sensor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3235_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/3235.JPG,1528-1830-ND,3235,Adafruit Industries LLC,ADABOX002 FEATHER BLE MINI ROBOT,27,0,"79.95000","0","1","AdaBox","Active","Wheeled","ATmega32u4, nRF51, TB6612","Feather","Arduino IDE","Adafruit Feather 32u4 Bluefruit LE","Board(s), Chassis, Components, Hardware, Manual, Wheel(s)"
https://www.kitronik.co.uk/pdf/move-mini-instruction-booklet-web-version.pdf,-,1927-CK_5624DK_01-ND,CK_5624DK_01,Kitronik Ltd.,:MOVE MINI W_BUMPER DK EDITION,120,0,"32.10000","0","1","*","Active","-","-","-","-","-","-"
https://cdn-learn.adafruit.com/downloads/pdf/my-mini-race-car.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3512_Kit-Contents.jpg,1528-2281-ND,3512,Adafruit Industries LLC,MYMINIRACECAR PROJECT PACK - FEA,48,0,"94.95000","0","1","-","Obsolete","Wheeled","ATmega32u4, nRF51, TB6612 , HTU21D-F","Feather","Arduino IDE","Adafruit Feather 32u4 Bluefruit LE","Board(s), Chassis, Components, Hardware, Motor(s), Wheel(s)"
