Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Type","Specifications"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-09350_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-09350.jpg,1568-1451-ND,DEV-09350,SparkFun Electronics,SLIDE SWITCH,104,0,"1.75000","0","1","-","Active","Human Interface","Slide Switch","-"
https://learn.adafruit.com/downloads/pdf/introducing-gemma.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1222.jpg,1528-1297-ND,1222,Adafruit Industries LLC,WEARABLE PLATFORM GEMMA V2 MINI,273,0,"9.95000","0","1","Gemma","Active","MCU","Attiny85","-"
https://cdn-learn.adafruit.com/downloads/pdf/adafruit-gemma-m0.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3501.JPG,1528-2348-ND,3501,Adafruit Industries LLC,ADAFRUIT GEMMA M0 - MINIATURE WE,163,0,"9.95000","0","1","Gemma","Active","MCU","ATSAMD21E18","-"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/Hexiwear_Power_User_Pack_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-2150.JPG,1471-1562-ND,MIKROE-2150,MikroElektronika,HEXIWEAR POWER USER PACK,34,0,"100.98000","0","1","Hexiwear","Active","Interface","IOT Development","Docking Station, Wristband, Masks, Cable"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1025-ND,MX01-RED-P4,Inolux,FABRIC LED,384,0,"8.89000","0","1","MX01","Active","Lighting","LED Red","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1027-ND,MX01-BLUE-P4,Inolux,FABRIC LED,395,0,"10.24000","0","1","MX01","Active","Lighting","LED Blue","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1026-ND,MX01-GREEN-P4,Inolux,FABRIC LED,395,0,"11.60000","0","1","MX01","Active","Lighting","LED Green","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1028-ND,MX01-WHITE-P4,Inolux,FABRIC LED,310,0,"11.60000","0","1","MX01","Active","Lighting","LED White","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1021-ND,MX01-RED-P2,Inolux,FABRIC LED,396,0,"12.16000","0","1","MX01","Active","Lighting","LED Red","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1023-ND,MX01-BLUE-P2,Inolux,FABRIC LED,395,0,"13.02000","0","1","MX01","Active","Lighting","LED Blue","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1022-ND,MX01-GREEN-P2,Inolux,FABRIC LED,397,0,"15.08000","0","1","MX01","Active","Lighting","LED Green","39.37"" (1000.0mm) Length"
http://www.inolux-corp.com/datasheet/Module-solution/Fabric-LED-MX01-Series.pdf,//media.digikey.com/Photos/Inolux/MX01-SERIES.jpg,1830-1024-ND,MX01-WHITE-P2,Inolux,FABRIC LED,306,0,"15.08000","0","1","MX01","Active","Lighting","LED White","39.37"" (1000.0mm) Length"
http://www.dialog-semiconductor.com/sites/default/files/da14681_wearable_development_kit_product_brief.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/DA14681-01DKWEAR.jpg,1564-1056-ND,DA14681-01DKWEAR,Dialog Semiconductor GmbH,A WEARABLE DEVELOPMENT KIT,19,0,"256.21000","0","1","SmartBond™","Active","Kit","Starter Pack","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-13902_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/DEV-13902.JPG,1568-1454-ND,DEV-13902,SparkFun Electronics,LED WHITE LILYPAD 5PCS,93,0,"2.95000","0","1","LilyPad","Active","Lighting","LED White","5 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14013_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/DEV-14013.JPG,1568-1458-ND,DEV-14013,SparkFun Electronics,LED RED LILYPAD 5PCS,35,0,"2.95000","0","1","LilyPad","Active","Lighting","LED Red","5 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14012_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14012.JPG,1568-1457-ND,DEV-14012,SparkFun Electronics,LED BLUE 5PCS,33,0,"2.95000","0","1","LilyPad","Active","Lighting","LED Blue","5 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-11288_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11288.jpg,1568-1797-ND,COM-11288,SparkFun Electronics,HEATING PAD 5VDC 750MA 5X10CM,66,0,"3.95000","0","1","-","Active","Resistive Heating","Heating Pad","3.94"" L x 1.97"" W (100.00mm x 50.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-08777_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-08777.jpg,1568-1789-ND,DEV-08777,SparkFun Electronics,TEMPERATURE SENSOR,28,0,"4.50000","0","1","LilyPad","Active","Sensor","Temperature","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-10275_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-10275.jpg,1568-1452-ND,DEV-10275,SparkFun Electronics,LILYPAD FTDI BASIC BREAKOUT - 5V,22,0,"15.95000","0","1","LilyPad","Active","Interface","USB to UART","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-08776_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-08776.jpg,1568-1450-ND,DEV-08776,SparkFun Electronics,BUTTON BOARD,184,0,"1.95000","0","1","-","Active","Human Interface","Button","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14011_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14011.jpg,1568-1456-ND,DEV-14011,SparkFun Electronics,DEV BOARD LILYPAD LED GREEN,59,0,"2.95000","0","1","LilyPad","Active","Lighting","LED Green","5 Pieces"
https://cdn-learn.adafruit.com/downloads/pdf/adafruit-led-sequins.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3377.jpg,1528-1860-ND,3377,Adafruit Industries LLC,ADAFRUIT LED SEQUINS MULTICOLOR,51,0,"3.95000","0","1","-","Active","Lighting","LED","5 Pieces"
https://cdn-shop.adafruit.com/product-files/1168/Pn1168_Datasheet.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1168.jpg,1528-1285-ND,1168,Adafruit Industries LLC,WOVEN FABRIC COND SILVER 20CM SQ,49,0,"4.95000","0","1","-","Active","Sewing","Conductive Fabric","7.87"" x 7.87"" (200mm x 200mm)"
https://cdn-learn.adafruit.com/downloads/pdf/conductive-thread.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_640.jpg,1528-1267-ND,640,Adafruit Industries LLC,THREAD 316L THIN COND 2PLY 76',43,0,"6.95000","0","1","-","Active","Sewing","Conductive Thread","76' (23.16m)"
https://cdn-learn.adafruit.com/downloads/pdf/flora-sensors.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1356.jpg,1528-1317-ND,1356,Adafruit Industries LLC,FLORA COLOR SENSOR WHT TCS34725,67,0,"7.95000","0","1","Flora","Active","Sensor","Color","TCS34725"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/641_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_641.jpg,1528-1268-ND,641,Adafruit Industries LLC,THREAD 316L THIN COND 3PLY 60',66,0,"9.95000","0","1","-","Active","Sewing","Conductive Thread","60' (18.3m)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1364_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1364.jpg,1528-2563-ND,1364,Adafruit Industries LLC,KNIT JERSEY CONDUCTIVE FABRIC,51,0,"14.95000","0","1","-","Active","Sewing","Conductive Fabric","7.87"" x 7.87"" (200mm x 200mm)"
https://cdn-learn.adafruit.com/downloads/pdf/getting-started-with-flora.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_659.jpg,1528-1269-ND,659,Adafruit Industries LLC,FLORA ELECTRONIC PLATFORM V3,38,0,"14.95000","0","1","Flora","Active","MCU","ATmega32U4","-"
https://learn.adafruit.com/downloads/pdf/flora-accelerometer.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1247.jpg,1528-1304-ND,1247,Adafruit Industries LLC,FLORA ACCEL/COMPASS SENS LSM303,26,0,"14.95000","0","1","Flora","Active","Sensor","Accelerometer, Compass","LSM303"
-,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/DEV-13342.jpg,1568-1337-ND,DEV-13342,SparkFun Electronics,LILYPAD ARDUINO 328 MAIN BOARD,26,0,"15.95000","0","1","LilyPad","Active","MCU","ATmega328","-"
https://learn.adafruit.com/downloads/pdf/adafruit-flora-bluefruit-le.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2487.jpg,1528-1351-ND,2487,Adafruit Industries LLC,MOD FLORA WEARABLE BLUEFRUIT LE,10,0,"17.50000","0","1","Flora","Active","RF","BLE","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-12049_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-12049.jpg,1568-1453-ND,DEV-12049,SparkFun Electronics,ARDUINO USB - ATMEGA32U4 BOARD,29,0,"25.95000","0","1","LilyPad","Active","MCU","ATmega32U4","-"
https://cdn-learn.adafruit.com/downloads/pdf/adafruit-neopixel-uberguide.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1559.jpg,1528-2140-ND,1559,Adafruit Industries LLC,LED NEOPIXEL FLORA RGB V2 20PC,17,0,"34.95000","0","1","Flora","Active","Lighting","Neopixel","20 Pieces"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/Hexiwear_Docking_Station_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-2094.JPG,1471-1561-ND,MIKROE-2094,MikroElektronika,HEXIWEAR DOCKING STATION,35,0,"39.78000","0","1","Hexiwear","Active","Interface","Docking Station","Expansion Board"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/Hexiwear_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-2026.JPG,1471-1556-ND,MIKROE-2026,MikroElektronika,HEXIWEAR SMART WATCH CONTROLLER,90,0,"49.98000","0","1","Hexiwear","Active","Interface","IOT Development","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2566_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2566.jpg,1528-2125-ND,2566,Adafruit Industries LLC,FLORA SEWABLE 3-PIN JST WIRING A,28,0,"1.95000","0","1","Flora","Active","Interface","Adapter","3-Pin JST-PH Cable"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/Hexiwear_Color_Pack_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-2149.JPG,1471-1560-ND,MIKROE-2149,MikroElektronika,HEXIWEAR COLOR PACK BLACK,16,0,"20.30000","0","1","Hexiwear","Active","Accessories Kit","Cover, Wristband","Black"
