Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Accessory Type","For Use With/Related Products"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS9093A+.JPG,DS9093A+-ND,DS9093A+,Maxim Integrated,IBUTTON KEY RING MOUNT BLACK,11948,23900,"1.28000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS9093F+.JPG,DS9093F+-ND,DS9093F+,Maxim Integrated,IBUTTON KEY RING MOUNT BLACK,1812,4214,"1.61000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9092L.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9092L+.JPG,DS9092L+-ND,DS9092L+,Maxim Integrated,IBUTTON PROBE PANEL MOUNT W/LED,887,10500,"14.75000","0","1","Bulk","-","Active","Probe Driver, Probe Receiver","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS1402-BP8-DS1402D-DR8.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1402D-DR8+.JPG,DS1402D-DR8+-ND,DS1402D-DR8+,Maxim Integrated,CABLE 8' BLUE DOT TO RJ11,155,0,"27.35000","0","1","Bulk","1-Wire®","Active","Cable","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9093AY+.jpg,DS9093AY+-ND,DS9093AY+,Maxim Integrated,IBUTTON KEY RING MOUNT YELLOW,5934,21400,"0.89000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9093AR+.jpg,DS9093AR+-ND,DS9093AR+,Maxim Integrated,IBUTTON KEY RING MOUNT RED,1226,17500,"1.09000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9093N+.jpg,DS9093N+-ND,DS9093N+,Maxim Integrated,IBUTTON FOB BLACK,6405,13300,"1.17000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093A-DS9093N.pdf,//media.digikey.com/photos/Maxim%20Photos/DS9093AG+.JPG,DS9093AG+-ND,DS9093AG+,Maxim Integrated,IBUTTON KEY RING MOUNT GREEN,2114,13600,"1.21000","0","1","Bulk","iButton®","Active","Ring Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9093P-DS9093S.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9093S+.jpg,DS9093S+-ND,DS9093S+,Maxim Integrated,IBUTTON MOUNT 2HOLE,1269,4000,"1.32000","0","1","Bulk","iButton®","Active","Wall Mount","iButton®"
https://datasheets.maximintegrated.com/en/ds/DS9100A-DS9100C.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS9100-A+.JPG,DS9100-A+-ND,DS9100-A+,Maxim Integrated,CONTACT TOUCH AND HOLD,2134,489,"2.13000","0","1","Bulk","iButton®","Active","Holder","iButton®"
