Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Size","Memory Type","Form Factor","Speed - Read","Speed - Write","Voltage - Supply","Type","Current - Max","Operating Temperature","Weight","Size / Dimension"
https://www.swissbit.com/data/view.php?q=X-60m/X-60m_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFSA016GU2AA2TO-I-GS-216-STD.jpg,1052-1216-ND,SFSA030GU2AA1TO-I-LB-216-STD,Swissbit,SSD 30GB MSATA MLC SATA III 3.3V,394,0,"77.00000","0","1","X-60M","Active","30GB","FLASH - NAND (MLC)","mSATA","280MB/s","50MB/s","3.3V","SATA III","265mA","-40°C ~ 85°C","-","50.80mm x 29.85mm x 3.50mm"
-,//media.digikey.com/Photos/ATP%20Electronics/AF8GSSGH-AABXP.JPG,AF8GSSGH-OEM-ND,AF8GSSGH-OEM,"ATP Electronics, Inc.",SSD 8GB EUSB SLC 5V,67,0,"91.84000","0","1","-","Active","8GB","FLASH - NAND (SLC)","Disk-On-Module, eUSB","30MB/s","27MB/s","5V","-","-","-40°C ~ 85°C","-","36.90mm x 26.60mm x 11.50mm"
http://www.atpinc.com/downloadlog/ef088f3267f69470,//media.digikey.com/photos/ATP%20Electronics/AF8GSSHI-OEM_Side-A.jpg,AF8GSSHI-OEM-ND,AF8GSSHI-OEM,"ATP Electronics, Inc.",SSD 8GB MSATA SLC SATA III 3.3V,40,0,"120.09000","0","1","-","Active","8GB","FLASH - NAND (SLC)","mSATA","530MB/s","430MB/s","3.3V","SATA III","-","-40°C ~ 85°C","-","50.80mm x 29.80mm x 3.70mm"
https://www.swissbit.com/data/view.php?q=X-60m/X-60m_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFSA120GU2AA4TO-I-LB-216-STD.jpg,1052-1218-ND,SFSA120GU2AA4TO-I-LB-216-STD,Swissbit,SSD 120GB MSATA MLC SATAIII 3.3V,306,0,"183.86000","0","1","X-60M","Active","120GB","FLASH - NAND (MLC)","mSATA","520MB/s","185MB/s","3.3V","SATA III","500mA","-40°C ~ 85°C","-","50.80mm x 29.85mm x 3.50mm"
https://swissbit.com/data/X-60/X-60_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFSA030GQ1AA1TO-I-LB-216-STD.jpg,1052-1272-ND,SFSA120GQ1AA4TO-I-LB-216-STD,Swissbit,SSD 120GB 2.5"" MLC SATA III,58,0,"196.39000","0","1","X-60","Active","120GB","FLASH - NAND (MLC)","2.5""","520MB/s","450MB/s","3.3V, 5V","SATA III","1.2A","-40°C ~ 85°C","-","100.20mm x 69.85mm x 7.00mm"
https://www.micron.com/~/media/documents/products/data-sheet/ssd/it/m500it_msata_-industrial.pdf,-,557-1813-ND,MTFDDAT256MBD-1AK12ITYY,Micron Technology Inc.,SSD M500IT 256GB MSATA,93,0,"297.68000","0","1","M500IT","Active","256GB","FLASH - NAND (MLC)","mSATA","500MB/s","250MB/s","3.3V","SATA III","-","-40°C ~ 85°C","0.353 oz (10g)","50.80mm x 29.85mm x 4.75mm"
http://www.virtium.com/wp-content/uploads/2016/01/PB011-1114-03-StorFly-300-Product-Brief.pdf,//media.digikey.com/Photos/Virtium/VSF302PI032G-100.JPG,1550-1017-ND,VSF302PI032G-100,Virtium LLC,SSD 32GB MSATA SLC SATA III 5V,68,0,"341.80000","0","1","StorFly® 300","Active","32GB","FLASH - NAND (SLC)","mSATA","370MB/s","280MB/s","5V","SATA III","-","-40°C ~ 85°C","-","50.00mm x 29.85mm x 3.70mm"
http://www.virtium.com/wp-content/uploads/2018/02/PB001-1114-03-StorFly-18-Product-Brief-V2.pdf,//media.digikey.com/Photos/Virtium/VSFB18PI.jpg,1550-1025-ND,VSFB18PI032G-100,Virtium LLC,SSD 32GB 1.8"" SLC SATA III,50,0,"351.51000","0","1","StorFly® 18","Active","32GB","FLASH - NAND (SLC)","1.8""","370MB/s","280MB/s","-","SATA III","-","-40°C ~ 85°C","-","78.25mm x 54.00mm x 5.00mm"
http://advdownload.advantech.com/productfile/PIS/SQF-S25%20630/Product%20-%20Datasheet/SQF-S25%20630_830_DS(02.22.16)20160317192116.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/SQF-S25M8-512G-SAE.JPG,SQF-S25M8-512G-SAE-ND,SQF-S25M8-512G-SAE,Advantech Corp,SSD 512GB MLC 2.5"" SATAIII,76,0,"512.52000","0","1","SQF-S25 830","Active","512GB","FLASH - NAND (MLC)","2.5""","540MB/s","520MB/s","-","SATA III","2A","-40°C ~ 85°C","-","100.20mm x 69.85mm x 7.00mm"
http://www.virtium.com/wp-content/uploads/2016/01/PB009-1114-03-StorFly-25-Product-Brief.pdf,//media.digikey.com/Photos/Virtium/MFG_StorFly-25.jpg,1550-1102-ND,VSFB25XI120G-150,Virtium LLC,2.5"" 7MM SATA-III 6GB,163,0,"318.51000","0","1","StorFly® 25","Active","120GB","FLASH - NAND (MLC)","2.5""","530MB/s","460MB/s","5V","SATA III","-","-40°C ~ 85°C","-","100.50mm x 69.85mm x 5.00mm"
